market_code,股票代码,涨停原因类别[20260413],code
33,001270.SZ,T/R芯片+商业航天+扭亏为盈+摘帽预期,001270
33,301667.SZ,储能+宁德时代概念+电池液冷板+数据中心液冷,301667
17,600152.SH,钠离子电池+定增+消费电子,600152
33,000889.SZ,,000889
33,002678.SZ,文旅转型+智能钢琴+机器人合作+广州国资,002678
17,603682.SH,城市更新+租售同权+轻资产运营,603682
33,001203.SZ,锂矿放量+固态电池+铁矿龙头,001203
17,603350.SH,机器人+两轮车+越南产能+业绩增长,603350
17,600527.SH,复合短纤维+涤纶毛条,600527
33,002929.SZ,算力出海+AI智能体+中标光伏,002929
33,000752.SZ,ST重整+拟全资控股拉萨啤酒+业绩预增,000752
33,000026.SZ,拟收购长空齿轮+中航工业旗下,000026
22,603721.SH,AI微短剧+长沙国资+扭亏,603721
22,600696.SH,,600696
22,603389.SH,ST板块+锆钛选矿+世博家具,603389
17,603897.SH,机器人+电磁线+新能源汽车,603897
22,603813.SH,退市博弈+氢能物流+电商物流,603813
17,600396.SH,火电+氢能+央企,600396
17,600337.SH,重整预期+AI智家+拟收购万德溙（铜缆）,600337
17,600423.SH,,600423
33,003004.SZ,亏损收窄+安消一体化+ST博弈,003004
17,603177.SH,钠离子电池+超超临界发电+大气治理,603177
17,600773.SH,盐湖提锂+年报落地+上海国资,600773
22,600238.SH,保壳博弈+保健酒+海南国资,600238
22,603580.SH,退市博弈+轻型输送带+新能源电池配件,603580
33,002512.SZ,商业航天+卫星通信+显示主板,002512
33,002124.SZ,猪肉+预重整+销量增长,002124
33,002047.SZ,年报扭亏+申请摘帽+珠海国资+光耦合器,002047
33,002005.SZ,ST摘帽预期+LED封装+小家电出口,002005
33,001299.SZ,燃气+综合能源转型+年报增长+西部大开发,001299
33,002876.SZ,柔性屏+大尺寸TV+国产化,002876
33,002902.SZ,800G光模块+AI算力+车载磁性元器件,002902
17,603738.SH,625MHz晶振+光模块+石英晶体+人形机器人,603738
33,002364.SZ,宁德时代入股+HVDC+数据中心电源,002364
17,600032.SH,绿电+氢能+浙江国资,600032
22,603843.SH,,603843
33,003018.SZ,液冷收购+瓶盖龙头+饮料供应链,003018
33,002199.SZ,碳酸锂+石英晶体+退市博弈,002199
17,688813.SH,PCB+铜箔+陕西国资+次新股,688813
17,600176.SH,电子布涨价+风电纱+央企,600176
33,002528.SZ,庭外重组+深圳国资+智慧城市+AI安防,002528
22,603557.SH,童装童鞋+三胎概念+此前获赠资产+ST板块,603557
33,000402.SZ,商业地产+城市更新+减债+北京国资,000402
