code,market_code,股票代码,涨停原因类别[20260203]
000610,33,000610.SZ,
000811,33,000811.SZ,液冷+核聚变+HRSG+航天燃料+烟台国资
603618,17,603618.SH,特高压+光通信+超薄铜箔
003035,33,003035.SZ,扭亏为盈+虚拟电厂+零碳园区+央企背景
000820,33,000820.SZ,
000711,33,000711.SZ,ITO靶材+金属铟+资产注入
688680,17,688680.SH,太空光伏+PDCLC调光膜
688516,17,688516.SH,太空光伏+光模块AOI+半导体封测
603095,17,603095.SH,纺织机械+高端装备+AI验布机
600355,22,600355.SH,
600785,17,600785.SH,股权转让+零售+黄金零售
002165,33,002165.SZ,环氧丙烷+技改试产+硬泡聚醚
600986,17,600986.SH,AI营销+算力租赁+GEO概念+浙江国资
000995,33,000995.SZ,白酒+区域强牌+控股股东增持
600266,17,600266.SH,商业航天+北京国资+房地产
603612,17,603612.SH,固态电池+预焙阳极+业绩预增
603718,17,603718.SH,
600696,22,600696.SH,
603389,22,603389.SH,
603773,17,603773.SH,CPO+商业航天+玻璃基板
002455,33,002455.SZ,锂电闭环+负极放量+石墨涨价
002581,33,002581.SZ,创新药+生物医药
000668,33,000668.SZ,扭亏为盈+房地产去化+跨境物流转型
603429,17,603429.SH,
603813,22,603813.SH,
000534,33,000534.SZ,燃气轮机出口+低空经济+高温合金
603051,17,603051.SH,太空光伏+人形机器人+电子皮肤
002898,33,002898.SZ,AI服务器+原料药制剂一体化
002361,33,002361.SZ,商业航天+无人机+聚酯树脂+地方国企
605123,17,605123.SH,可转债+商业航天+可控核聚变
603920,17,603920.SH,人形机器人+PCB概念+数据中心+佛山国资
600238,22,600238.SH,
600683,17,600683.SH,京津冀规划+北京国资+TOD轨道物业
603580,22,603580.SH,
002922,33,002922.SZ,拟H股上市+变压器+数据中心
600590,17,600590.SH,数据中心电源+扭亏为盈+军工装备
000736,33,000736.SZ,
002808,33,002808.SZ,
002865,33,002865.SZ,太空光伏+TOPCon电池+外销
600330,17,600330.SH,铌酸锂晶体+光通信/CPO+商业航天
000608,33,000608.SZ,控制权变更+商业地产+摘星预期
002785,33,002785.SZ,铀矿+锂资源+石材
000039,33,000039.SZ,商业航天+数据中心+海工装备
002058,33,002058.SZ,固态电池+铝塑膜+汽车检具
603285,17,603285.SH,回购完成+锂电材料+环保助剂
002364,33,002364.SZ,HVDC+智算中心+算力
603843,22,603843.SH,智算服务+赛马概念+有色金属
603172,17,603172.SH,分散染料涨价+聚酰亚胺+越南子公司
000821,33,000821.SZ,钙钛矿设备+锂电订单新高+北美突破
301362,33,301362.SZ,PCB钻针+LED照明+一带一路
000962,33,000962.SZ,定增过审+商业航天+央企
603031,17,603031.SH,商业航天+CPO+南孚电池+业绩预增
603557,22,603557.SH,电解铝+童装童鞋+ST板块
