涨停原因类别[20260506],code,market_code,股票代码
芯片IP+拟控股奎芯+成品油+一季报增长,603353,17,603353.SH
健康零食+东芯系入股+腾讯概念,603777,17,603777.SH
算力服务器PCB+泰国产能释放+一季度高增,001389,33,001389.SZ
数据中心+液冷阀门+出口占比高,002871,33,002871.SZ
风光储能+数据中心+电接触材料+业绩大增,603045,17,603045.SH
风电齿轮箱+大兆瓦产品+高端装备,603248,17,603248.SH
,300663,33,300663.SZ
,920575,151,920575.BJ
,000911,33,000911.SZ
算力租赁+电子纸+福建国资,002217,33,002217.SZ
,002667,33,002667.SZ
年报扭亏+轻型输送带+新能源电池配件,603580,22,603580.SH
电池铝箔+锂电池概念+扭亏为盈,603937,17,603937.SH
增资CPU+家电复合材料+年报增长,002290,33,002290.SZ
铝合金零部件+特斯拉+小米汽车+次新股,603418,17,603418.SH
锡锑锌铟+资源增储+广西国资,600301,17,600301.SH
短剧+游戏+唐山国资+一季度营收增长,600892,22,600892.SH
,000078,33,000078.SZ
ST更名+国资背景+建筑装饰,002856,33,002856.SZ
,600187,22,600187.SH
算力租赁+低空经济+车联网,002355,33,002355.SZ
预重整+光伏硅片+ST板块,603398,22,603398.SH
算力租赁+商业航天+OSS,003007,33,003007.SZ
PCB铜箔+固态电池铜箔+铜加工龙头,002203,33,002203.SZ
,600745,22,600745.SH
存储芯片+长兴半导体+文旅地产,000620,33,000620.SZ
半导体洁净室+海外EPC+城市更新,002081,33,002081.SZ
,603008,22,603008.SH
PI薄膜+PCB上游+商业航天+国产替代,688323,17,688323.SH
绿色地产+数字文旅,000863,33,000863.SZ
数据中心电源+HVDC+宁德时代入股,002364,33,002364.SZ
,002109,33,002109.SZ
算力租赁+重整预期+ST板块,603843,22,603843.SH
云计算+金融机具+光伏清洁机器人+国企改革,300368,33,300368.SZ
,000639,33,000639.SZ
,002514,33,002514.SZ
功率半导体+陶瓷管壳+北交所次新,920181,151,920181.BJ
算力租赁+IDC+东数西算,600589,17,600589.SH
,300396,33,300396.SZ
,600182,17,600182.SH
AI医疗+体检龙头+章建平新进,002044,33,002044.SZ
,600734,22,600734.SH
FCBGA载板+半导体转型+国资背景,002989,33,002989.SZ
,600080,22,600080.SH
碳酸锂+石英晶体+申请撤销退市风险警,002199,33,002199.SZ
铜箔+PCB+陕西国资+次新股,688813,17,688813.SH
圆柱电池+人形机器人+马来西亚产能,002245,33,002245.SZ
算电协同+东数西算+扭亏为盈+央企,000815,33,000815.SZ
探迹科技入主+要约收购完成+毛毯龙头,003041,33,003041.SZ
蒙电入苏+绿电+央企,601991,17,601991.SH
童装童鞋+三胎概念+ST板块+复牌,603557,22,603557.SH
一季度扭亏为盈+房地产+北京国资,000402,33,000402.SZ
