涨停原因类别[20260701],code,market_code,股票代码
图书发行+阶跃星辰（已澄清）+上海国资,600825,17,600825.SH
绿色地产+数字文旅+布局AI+股权转让,000863,33,000863.SZ
先进封装+半导体材料+光伏概念,603212,17,603212.SH
智享充电宝+精密钣金+新能源,002514,33,002514.SZ
血液净化+预灌封+一带一路+券商看好,603014,17,603014.SH
轮胎+新能源车+一季报增长,600182,17,600182.SH
参股半导体检测公司+海力士+工业母机+机器人,002559,33,002559.SZ
中报预增+白银+贵金属涨价+技改产能释放,000603,33,000603.SZ
电子皮肤+供货优必选+人形机器人,605488,17,605488.SH
绿电大基地+光伏治沙+央企,601991,17,601991.SH
机器人+资产处置+会展服务+上海国资,600826,17,600826.SH
职教龙头+AI人才确权平台+校企合作,002607,33,002607.SZ
控制权变更+农业机械+机器人+撤销退市风险警示,603789,22,603789.SH
定增+创新药+化学制药,002940,33,002940.SZ
林地资产转让+半导体并购+集装箱地板+无锡国资,600076,17,600076.SH
集装箱物流+中外运增持+海南自贸港,600179,17,600179.SH
回复问询函+人形机器人+ST板块,600053,22,600053.SH
ST板块+生态修复+碳汇,603359,22,603359.SH
钨钽铌资产注入+磁选装备+江西国资,600397,17,600397.SH
教育+银发经济+一季报增长,600661,17,600661.SH
ST板块+园区运营+天津国资,600082,22,600082.SH
RFID+AI融合+数智文旅,002161,33,002161.SZ
庭外重组+海外煤炭+委托加工,600180,22,600180.SH
塑料管道+*ST板块+智慧管网,002694,33,002694.SZ
半导体设备+芯慧联增资+工业杀菌剂提价,603360,17,603360.SH
能繁母猪去化+董事长变更+国企改革,600975,17,600975.SH
算力电源+锂电池+物联网,002052,33,002052.SZ
,600545,17,600545.SH
机器人+电子皮肤+高分子新材料,603725,17,603725.SH
债务和解+半导体封测+ST板块,000609,33,000609.SZ
算力+光伏+业绩增长,605289,17,605289.SH
,002522,33,002522.SZ
商业航天+焊割设备+机器人,603131,17,603131.SH
液冷技术储备+新能源汽车热管理+ST板块,002592,33,002592.SZ
,300290,33,300290.SZ
半导体引线框架+资产重组+一季报扭亏,603991,17,603991.SH
ST板块+控制权变更+光伏建筑一体化,603828,22,603828.SH
重整投资协议+BIPV光伏+ST板块,002620,33,002620.SZ
机器人+精密制造+华为,300539,33,300539.SZ
跨境电商+福州国资+盘活资产,000632,33,000632.SZ
中报预增+肉鸡养殖+种猪放量,002458,33,002458.SZ
中报预增+锂电材料+氟化液,002326,33,002326.SZ
CPO+股权转让+电子胶,603330,17,603330.SH
炭黑龙头+绿色炭黑+券商看好,002442,33,002442.SZ
锆产品涨价+氧化锆供给缺口+固态电池,002167,33,002167.SZ
胖东来调改+预制菜+一季报增长,601933,17,601933.SH
,600206,17,600206.SH
商业地产+并购转型预期+国资,600724,17,600724.SH
日用玻璃+跨境电商+澄清无重大重组,603021,22,603021.SH
存储芯片封测+SK海力士+无锡国资+一季报增长,600667,17,600667.SH
原料药CEP证书+创新药+化学制药,002923,33,002923.SZ
算力大单+收购秦淮数据+人形机器人,600673,17,600673.SH
商业航天+协议转让+数据中心+继电器龙头,600885,17,600885.SH
机器人+工业互联网+工业AI,002184,33,002184.SZ
扭亏为盈+低空经济+无锡国资,002883,33,002883.SZ
定增保壳+酒店旅游+西安国资,000610,33,000610.SZ
碳化硅+一季报增长+消费电子,603595,22,603595.SH
补选董事+克拉玛依国资+油服,002207,33,002207.SZ
出售半导体资产+显示面板+车载显示+福建国资,000536,33,000536.SZ
交换机+数据中心+中标外交部语音通信项目+回购注销,002396,33,002396.SZ
黄羽肉鸡+预制菜+可转债回售落地,002982,33,002982.SZ
人形机器人+工业机器人+智谱AI+一季报暴增,300607,33,300607.SZ
零售+功率半导体+收购尚阳通+机器人,002277,33,002277.SZ
拟收购存储公司+建筑幕墙,603137,17,603137.SH
,603303,17,603303.SH
中成药集采+中药全产业链,603567,17,603567.SH
申请撤销退市风险警示+储能+再生铜,000820,33,000820.SZ
钛白粉+徐州钛白复产转型+新能源盈利,000545,33,000545.SZ
服务器滑轨+算力+高送转,920699,151,920699.BJ
ITO靶材投产+铟资源循环+ST板块,000711,33,000711.SZ
显示光刻胶+PCB油墨+杭州国资,688571,17,688571.SH
摘帽预期+AI智能体+低空经济,603189,22,603189.SH
机器人+稀土永磁+回购注销,000795,33,000795.SZ
机器人+减速器+新能源电驱齿轮,603166,17,603166.SH
电子化学品+半导体+高股息,603948,17,603948.SH
算力服务器+高管增持+业绩改善,002930,33,002930.SZ
磷化工+产品涨价+精制磷酸,600470,17,600470.SH
临时停产+锂盐+锂矿,002738,33,002738.SZ
算力租赁+Token工厂+东盟出海,002929,33,002929.SZ
氟化工+化工新材料+一季报大增+染料龙头,002440,33,002440.SZ
米格列醇片+设立AI公司+获大额补助,002826,33,002826.SZ
,605336,22,605336.SH
ST整改+乳业+预制菜,600965,22,600965.SH
保险+期货+央企金融,002423,33,002423.SZ
机器人+丝杠+汽车零部件,603040,17,603040.SH
CRO/CMO+国企改革+高端仿制药,688247,17,688247.SH
,603203,17,603203.SH
人形机器人+算力租赁+工业软件,600845,17,600845.SH
GPU模组贸易+装修业务拓展+*ST,603272,22,603272.SH
定增落地+具身智能+商业航天+工业AI,603859,17,603859.SH
拟购慧聚药业+固态电池+烟标,603429,22,603429.SH
AI数智化+量子科技+城市更新+北京国资,600658,17,600658.SH
跨境电商+市值管理+遮阳龙头,605155,17,605155.SH
,600337,22,600337.SH
智能物流+双网协同+回购,002468,33,002468.SZ
控股权划转+无线通信模组+AI模组+一季度扭亏,002313,33,002313.SZ
存储芯片+半导体IP+成品油,603353,17,603353.SH
超纯水+存储芯片+盐湖提锂+生命科学,300487,33,300487.SZ
减持终止+铋材料+离子注入机,600641,17,600641.SH
证券+研究能力+湖北国资,601162,17,601162.SH
ST板块+碳酸锂+一季报扭亏,002667,33,002667.SZ
半导体级氢氟酸涨价+六氟磷酸锂+大圆柱电池,002407,33,002407.SZ
退市复核+OPC感光鼓+分布式光伏,002808,37,002808.SZ
摘帽预期+miRNA肿瘤早筛+医药工业,000078,33,000078.SZ
一季报扭亏+LED封装+ST摘帽+小家电,002005,33,002005.SZ
磷化铟+半导体材料+商业航天+低空经济,000925,33,000925.SZ
创新药+儿科药+ST摘帽进展,605199,22,605199.SH
电声产品+AI眼镜+机器人概念,002981,33,002981.SZ
气力输送系统+合成树脂+在手订单充足,603325,17,603325.SH
资产剥离+定增+中亚钢铁出口+央企,600581,22,600581.SH
涨价+光模块晶振+CPO+人形机器人,603738,17,603738.SH
中报预增+行业反内卷+AI应用+快递物流,600233,17,600233.SH
子公司复产+股东增持+煤化工+陕西国资,002109,33,002109.SZ
高管增持+玉米油龙头+控制权或变更+资产剥离,000639,33,000639.SZ
拟控股鑫兴光电+锂矿+电商直销,300518,33,300518.SZ
算力合同+智算中心+福建国资+一季报减亏,600734,22,600734.SH
ST摘帽+石英晶体元器件+碳酸锂,002199,33,002199.SZ
创新药+ST板块+摘帽,600080,22,600080.SH
MLCC+商业航天+央企,000733,33,000733.SZ
铝业转型+三胎概念+ST板块,603557,22,603557.SH
