market_code,股票代码,涨停原因类别[20260721],code
17,605133.SH,人形机器人+行星滚柱丝杠+员工持股解锁,605133
17,688596.SH,特种气体+碳化硅陶瓷+订单增长,688596
17,603669.SH,,603669
151,920267.BJ,半导体元件分销+回购注销+专精特新,920267
17,688110.SH,GPU+存储芯片+业绩扭亏,688110
17,603986.SH,长鑫+存储芯片+中报预增,603986
17,605288.SH,机器人+智能线性驱动+新能源汽车,605288
17,603516.SH,董事长提议回购+自研ASIC芯片+持有沐曦股份+半年报扭亏,603516
33,002167.SZ,氧化锆粉体涨价+中报预增+固态电池,002167
17,600206.SH,半导体靶材+存储芯片+客户长鑫+终止定增,600206
33,001258.SZ,风电光伏+定增获批+半年报预增+新疆国资,001258
33,001388.SZ,,001388
33,301273.SZ,永磁电机+eVTOL+设备更新,301273
17,600846.SH,建设工程+城市更新+上海国资,600846
17,600667.SH,存储芯片+先进封装+无锡国资,600667
17,688361.SH,半导体量检测+HBM+先进封装,688361
33,001399.SZ,先进封装+半导体显示面板,001399
17,603123.SH,跨境支付+数字人民币+半年报减亏+北京国资,603123
17,603683.SH,,603683
33,002371.SZ,半导体设备+平台型龙头+北京国资,002371
17,605111.SH,功率半导体+超跌反弹+封测,605111
17,688002.SH,中报预增+商业航天+红外芯片,688002
22,600730.SH,,600730
33,000779.SZ,,000779
17,688729.SH,半导体设备+干法去胶+北京国资,688729
33,002484.SZ,AI服务器电源+超级电容+浙江国资,002484
17,603519.SH,,603519
33,002396.SZ,数据中心交换机+CPO+半年报预增+福建国资,002396
33,002036.SZ,CPO光学器件+车载光学+机器视觉+江西国资拟入主,002036
17,605318.SH,AI智算+装配式建筑+集成吊顶,605318
33,002632.SZ,,002632
22,603378.SH,,603378
33,002197.SZ,算力租赁+数据中心REITs+金融科技+中报扭亏,002197
17,688347.SH,晶圆代工+存储芯片+并购重组获批+上海国资,688347
33,301205.SZ,光模块+NPO+海外产能,301205
17,603005.SH,先进封装+分拆上市+车规CIS,603005
33,000021.SZ,高端存储封测+扩产+央企,000021
17,603303.SH,,603303
17,603435.SH,BOPP电工膜+电容膜+复合铜箔+次新股,603435
33,002669.SZ,PCB概念+电子级环氧树脂+风电胶粘剂龙头+唐山国资,002669
17,603936.SH,PCB+光模块+存储芯片,603936
17,688141.SH,模拟芯片+AI服务器电源+虚拟IDM,688141
33,002068.SZ,超级电容+导电炭黑+炭黑龙头+景德镇国资,002068
17,688003.SH,半导体量检测+CPO检测+具身智能,688003
33,002319.SZ,凹印油墨+中报预增,002319
17,605376.SH,MLCC镍粉+H股上市,605376
33,301369.SZ,半导体测试设备+存储芯片+中报预增,301369
17,603120.SH,,603120
33,300093.SZ,算力+HJT电池+风电+控股股东增持,300093
17,688636.SH,,688636
33,000889.SZ,算力销售+通信网络维护+追索款项确认+中报预计扭亏,000889
17,688728.SH,CMOS图像传感器+12英寸产线,688728
17,688797.SH,存储芯片+半导体零部件+中报预增+次新股,688797
33,300604.SZ,半导体测试设备+定增落地+中报预增,300604
17,603306.SH,资产重组+光通信+董事增持,603306
17,600992.SH,,600992
17,603773.SH,TGV玻璃基板+先进封装+PET铜箔,603773
33,002723.SZ,,002723
33,002987.SZ,金融科技+数字人民币+AI应用,002987
33,002448.SZ,人形机器人+中报预增+制动鼓+气缸套,002448
33,300285.SZ,氧化锆提价+MLCC粉体+低轨卫星陶瓷管壳,300285
17,603538.SH,,603538
33,001314.SZ,,001314
33,003033.SZ,人形机器人+灵巧手+链传动龙头+张雪机车合作,003033
33,000510.SZ,钨锡钽铌+氯碱化工+减持终止,000510
17,603221.SH,拟收购欧康诺+股权转让+PVC弹性地板+Home Depot供应链,603221
33,001389.SZ,算力PCB+中报预增+海外产能释放,001389
33,300795.SZ,间接参股月之暗面+AI应用+拟投资阶跃星辰+境外会展,300795
17,603678.SH,MLCC+超级电容+商业航天,603678
17,600641.SH,拟收购先导微电子+半导体设备+铋材料,600641
17,603580.SH,,603580
33,300643.SZ,传感器+车联网+减持落地,300643
33,002970.SZ,HVDC电源+数字能源+Robobus自动驾驶+商用车AIoT,002970
17,600330.SH,光模块上游+铌酸锂+软磁材料+先进封装,600330
33,002879.SZ,回购+增持+液冷+电缆附件,002879
17,600584.SH,先进封装+CPO光引擎+存储芯片+中报预增,600584
17,688001.SH,半导体检测+人形机器人+一季报增长,688001
17,688261.SH,功率半导体+算力电源+人形机器人,688261
33,002913.SZ,拟回购+PCB+AI服务器+AIPC,002913
17,603311.SH,实控人此前变更+AI应用+新能源汽车过滤,603311
22,603398.SH,,603398
33,001206.SZ,,001206
33,002203.SZ,PCB铜箔+固态电池+拟中期分红,002203
17,603161.SH,定增获批+混动零部件+涡轮增压器壳体,603161
33,002851.SZ,AI电源+英伟达产业链+H股上市,002851
17,600881.SH,,600881
17,600988.SH,黄金+紫金矿业入主+半年报预增,600988
17,688147.SH,半导体ALD设备+存储芯片+先进封装,688147
33,000526.SZ,AI教育+个性化教育+回购,000526
17,603192.SH,聚氨酯+机器人材料+新能源电池制件,603192
33,002432.SZ,参股月之暗面/DeepSeek+AI医疗+中报预增,002432
33,301580.SZ,氧化锆粉体替代+口腔修复材料+3D打印+股权激励,301580
33,000603.SZ,白银+金属铅锌+中报预增,000603
33,002245.SZ,BBU电源+人形机器人+中报预增,002245
33,301588.SZ,商业航天+塑木+外销,301588
33,000815.SZ,算力租赁+东数西算+中国诚通旗下,000815
17,688037.SH,涂胶显影龙头+先进封装+券商看好+北京国资,688037
17,688371.SH,纳米镀膜+液冷服务器+汽车电子,688371
