股票代码,code,market_code,涨停原因类别[20260630]
601882.SH,601882,17,工业母机+进口替代+一季报增长
300545.SZ,300545,33,先进封装+UTG折叠屏贴合+京东方订单+AMOLED
603983.SH,603983,17,重组胶原蛋白+新品发布+大单品
688220.SH,688220,17,ASIC定制+蜂窝基带+利空落地
002396.SZ,002396,33,数据中心+交换机+中标外交部语音通信项目+回购注销
002654.SZ,002654,33,存储芯片+长江产业集团
002036.SZ,002036,33,光学器件+机器视觉+车载光学
002202.SZ,002202,33,参股蓝箭航天+风电+一季报增长
603922.SH,603922,22,
603290.SH,603290,17,功率半导体+GaN+低空经济
002569.SZ,002569,33,控制权变更+男装品牌+ST板块
002472.SZ,002472,33,人形机器人+减速器+新能源齿轮
000766.SZ,000766,33,
603005.SH,603005,17,TSV先进封装+分拆上市+车规CIS
600707.SH,600707,17,玻璃基板+芯片封装+显示面板
000820.SZ,000820,33,申请撤销退市风险+储能+再生铜+冶金工程
000711.SZ,000711,33,ITO靶材投产+铟资源循环+ST板块
002726.SZ,002726,33,
600601.SH,600601,17,AI算力PCB+光模块+减持完成+珠海国资
603120.SH,603120,17,光刻胶+半导体清洗+季铵化合物
600370.SH,600370,22,瓶级聚酯切片+司法拍卖暂缓+业绩扭亏
001358.SZ,001358,33,电子化学品+光刻胶+一季报增长
600378.SH,600378,17,六氟化钨+氟化工+PCB概念+央企
688728.SH,688728,17,显示驱动芯片+5000万像素CIS+CMOS图像传感器
603019.SH,603019,17,算力国家队+液冷+可转债获批
001229.SZ,001229,33,AI视觉+边缘计算+光纤KVMS+商业航天
002717.SZ,002717,33,面值退市博弈+生态文旅+中山国资
002929.SZ,002929,33,国产算力+Token工厂
002738.SZ,002738,33,锂盐+铜矿+股权激励
600491.SH,600491,22,
300087.SZ,300087,33,
300270.SZ,300270,33,能源智算+债权转让+一季报扭亏
605336.SH,605336,22,
000970.SZ,000970,33,人形机器人+轴向磁通电机+稀土永磁+中科院
000026.SZ,000026,33,激光器+机器人+收购长空齿轮+央企
002402.SZ,002402,33,机器人+商业航天+参股摩尔线程+智能控制器
600791.SH,600791,17,
002921.SZ,002921,33,机器人+精密制造+智能制造
603985.SH,603985,17,算力+风电+国企
600184.SH,600184,17,光通信材料+防务业务扭亏+央企
300321.SZ,300321,33,超细纤维合成革+控制权变更预期+国企
603125.SH,603125,17,光刻胶原料+风电+券商看好+一季报增长
002600.SZ,002600,33,人形机器人+AI服务器液冷+H股上市调入港股通
603272.SH,603272,22,协议转让进展+装修业务拓展+ST板块
603429.SH,603429,22,
003009.SZ,003009,33,商业航天+小型制导火箭+央企+一季报扭亏
000012.SZ,000012,33,电子玻璃+光伏玻璃+节能玻璃
605018.SH,605018,17,人形机器人+飞行汽车+汽车金属结构件
001314.SZ,001314,33,AI PC+AI眼镜+先进封装+一季报增长
300980.SZ,300980,33,人形机器人+电子皮肤+聚烯烃发泡
002955.SZ,002955,33,AI教育+奇瑞产业链+股份回购
000017.SZ,000017,33,黄金珠宝+黄金概念+两轮车
000829.SZ,000829,33,智能终端销售+抖音电商+深圳国资
603078.SH,603078,17,G5级湿电子化学品+存储芯片+上海国资拟入主
000967.SZ,000967,33,算力租赁+智慧清洁机器人+一季报增长+承诺不减持
000636.SZ,000636,33,
002053.SZ,002053,33,风电+压缩空气储能
600641.SH,600641,17,铋材料+离子注入机+半导体设备
000566.SZ,000566,33,创新药+脑机接口+海南自贸区+国企
002217.SZ,002217,33,
002667.SZ,002667,33,
002290.SZ,002290,33,CPU增资+定增算力+家电复合材料
002779.SZ,002779,33,机器人+智能割草机+一季度营收增长
300563.SZ,300563,33,高速铜缆+商业航天+射频同轴电缆
002407.SZ,002407,33,半导体级氢氟酸涨价+六氟磷酸锂+大圆柱电池
002808.SZ,002808,37,退市复核+OPC感光鼓+光伏
002856.SZ,002856,33,庭外重组+*ST+建筑装饰+佛山国资
300269.SZ,300269,33,LED显示+商业航天+回购注销
002208.SZ,002208,33,间接投资长鑫科技+房地产+合肥国资
688502.SH,688502,17,半导体检测+光刻机+AR/VR检测+精密光学
600391.SH,600391,17,长江系列发动机+燃气轮机+外贸订单+央企
002638.SZ,002638,33,LED照明+车路云协同+储能
300020.SZ,300020,33,智慧城市+医疗AI+央企合作
600745.SH,600745,22,
600363.SH,600363,17,可控核聚变+高温超导+商业航天
000620.SZ,000620,33,存储芯片+封装测试+资产剥离
603130.SH,603130,17,革基布龙头+入股商业卫星+定增过会
605208.SH,605208,17,机器人零部件+一体化压铸
002446.SZ,002446,33,商业航天+6G+回购
000826.SZ,000826,33,预重整+数字环卫+无人环卫
002902.SZ,002902,33,铜铁共烧电感+800G光模块+CPO
688048.SH,688048,17,光通信芯片+高功率激光芯片+可控核聚变
603212.SH,603212,17,先进封装+半导体材料
001237.SZ,001237,33,制冰机龙头+欧洲市场+产品矩阵拓展
600737.SH,600737,17,药用糖+食糖全产业链+央企
603067.SH,603067,17,可转债获批+铬化学品+SOFC+溅射靶材
002514.SZ,002514,33,共享充电宝+澄清机器人传闻+精密钣金+退市风险警示
000801.SZ,000801,33,低空经济+商业航天+回购增持
300518.SZ,300518,33,直播电商+锂矿
000056.SZ,000056,33,债务化解预期+功率半导体+亏损收窄
603662.SH,603662,17,人形机器人+六维力传感器+传感器森林
300671.SZ,300671,33,中报预增+存储芯片+LED涨价
000821.SZ,000821,33,钙钛矿设备+机器人+回购分红
301045.SZ,301045,33,导光板+TAC膜+产品升级
000603.SZ,000603,33,中报预增+白银+贵金属涨价+技改产能释放
600819.SH,600819,17,TCO玻璃+汽车减反射玻璃+上海国资
603226.SH,603226,17,智能家居+木地板+控制权变更
002587.SZ,002587,33,AI视讯+XR拍摄+LED电影屏
603928.SH,603928,17,半导体光刻胶+硅碳负极+一季报增长
002528.SZ,002528,33,
002650.SZ,002650,33,资产收回+调味品+一季度扭亏+ST摘帽预期
603557.SH,603557,22,
