market_code,code,涨停原因类别[20260303],股票代码
17,601022,航运涨价+浙江国资+运力扩张,601022.SH
33,001269,光伏设备+半导体石英坩埚+重大采购修订,001269.SZ
33,002207,油气服务+新疆国资,002207.SZ
17,603318,燃气运营+氢能源+山东国资,603318.SH
33,002040,航运涨价+原油中转+江苏国资,002040.SZ
17,603601,,603601.SH
22,600599,,600599.SH
33,000096,成品油+化工贸易+增持妈湾电力+深圳国资,000096.SZ
17,600610,,600610.SH
33,002569,,002569.SZ
22,603261,,603261.SH
17,600759,油气开采+哈萨克斯坦油田,600759.SH
33,300164,油气+北美巨头合作+射孔技术,300164.SZ
17,600108,玉米种子+土地流转+甘肃国资,600108.SH
33,300839,特种油+液冷算力+国资入主,300839.SZ
33,001270,,001270.SZ
17,600028,油价飙升+炼油龙头+氢能突破+央企,600028.SH
33,000407,燃气并购+天然气+PE管道,000407.SZ
22,600355,,600355.SH
17,601231,,601231.SH
33,000554,油气+新能源转型+央企回购,000554.SZ
33,000908,,000908.SZ
17,600470,,600470.SH
17,601083,航运+上海国资+东南亚航线扩张,601083.SH
33,002165,,002165.SZ
17,600722,甲醇+风电项目+河北国资,600722.SH
33,000301,石油化工+光伏材料,000301.SZ
151,920014,天然气+中俄合作+氢能,920014.BJ
33,002629,油服工程+光伏EPC+改性材料,002629.SZ
22,600753,,600753.SH
17,600968,地缘冲突+油气服务+央企背景,600968.SH
22,603389,,603389.SH
33,002455,,002455.SZ
17,603859,,603859.SH
33,000668,,000668.SZ
17,603429,,603429.SH
17,603163,,603163.SH
33,002151,,002151.SZ
33,000534,,000534.SZ
17,600635,天然气+创投+业绩预增,600635.SH
22,603838,,603838.SH
33,002361,,002361.SZ
17,603353,成品油+铜官油库+拟收购奎芯+超快充,603353.SH
33,300332,天然气+神安线+回购,300332.SZ
33,001209,,001209.SZ
17,605123,,605123.SH
17,603920,,603920.SH
151,920260,天然气设备+中东订单+专精特新,920260.BJ
151,920088,油服+新疆油田,920088.BJ
33,002519,,002519.SZ
33,000636,,000636.SZ
17,600343,,600343.SH
17,601615,,601615.SH
33,002554,油气EPC+天津国资+油气服务,002554.SZ
17,601015,甲醇涨价+天然气+煤焦化链,601015.SH
22,603580,,603580.SH
33,002512,,002512.SZ
17,600026,VLCC运价飙升+油运龙头+央企,600026.SH
17,600590,,600590.SH
22,605081,,605081.SH
33,002808,ST板块+OPC感光鼓+新能源转型,002808.SZ
17,601866,VLCC油轮+集装箱制造+央企回购,601866.SH
33,001299,燃气+西部大开发+综合能源转型,001299.SZ
151,920158,电脱设备+中东扩张+氢能装备+油气涨价,920158.BJ
33,002506,光伏组件+储能系统+TOPCon,002506.SZ
17,601872,VLCC油运+地缘溢价+央企,601872.SH
17,600688,石油化工+航运+央企,600688.SH
33,002058,,002058.SZ
33,002828,油气开采+海外权益,002828.SZ
17,600403,煤炭开采+河南国资重组,600403.SH
33,002364,,002364.SZ
22,603843,,603843.SH
17,600589,,600589.SH
33,002562,,002562.SZ
33,002350,光储充+配电设备+中标,002350.SZ
33,000603,,000603.SZ
17,603727,油气开采+FPSO订单+南美市场,603727.SH
33,301158,油气装备+订单饱满+海外收入,301158.SZ
17,601139,天然气涨价+燃气+电力+国企,601139.SH
33,002115,,002115.SZ
