股票代码,market_code,所属概念数量,所属概念,code
000637.SZ,33,3,碳中和;国企改革;旅游概念,000637
001280.SZ,33,13,小金属概念;稀土永磁;超导概念;军工;核电;注册制次新股;一带一路;央企国企改革;国企改革;深股通;中字头股票;新股与次新股;融资融券,001280
002112.SZ,33,11,智能电网;风电;数据中心(AIDC);核电;储能;光伏概念;国企改革;专精特新;共同富裕示范区;深股通;融资融券,002112
002865.SZ,33,8,钙钛矿电池;TOPCON电池;BC电池;商业航天;光伏概念;海南自贸区;融资融券;深股通,002865
003042.SZ,33,4,草甘膦;供销社;乡村振兴;中俄贸易概念,003042
600233.SH,17,7,统一大市场;跨境电商;长三角一体化;智能物流;沪股通;阿里巴巴概念;融资融券,600233
000698.SZ,33,6,丙烯酸;消毒剂;国企改革;ST板块;央企国企改革;POE胶膜,000698
920799.BJ,151,20,蚂蚁集团概念;华为昇腾;鸿蒙概念;量子科技;融资融券;跨境支付(CIPS);虚拟现实;虚拟数字人;百度概念;汽车电子;星闪概念;数字货币;华为鲲鹏;华为欧拉;华为概念;信创;人工智能;上海自贸区;互联网金融;ChatGPT概念,920799
920245.BJ,151,3,中俄贸易概念;专精特新;融资融券,920245
688329.SH,17,7,智能医疗;人工智能;DeepSeek概念;专精特新;医疗器械概念;低空经济;融资融券,688329
601022.SH,17,7,航运概念;统一大市场;共同富裕示范区;国企改革;一带一路;融资融券;沪股通,601022
000822.SZ,33,7,钒电池;国企改革;污水处理;氢能源;固态电池;深股通;融资融券,000822
601019.SH,17,7,文化传媒概念;职业教育;国企改革;DeepSeek概念;人工智能;沪股通;融资融券,601019
603818.SH,17,4,京津冀一体化;人民币贬值受益;智能家居;海峡两岸,603818
000685.SZ,33,21,参股券商;证金持股;航运概念;国企改革;绿色电力;创投;污水处理;天然气;智慧城市;人工智能;数字经济;虚拟电厂;垃圾分类;固废处理;低空经济;粤港澳大湾区;2025年报预增;充电桩;储能;深股通;融资融券,000685
600477.SH,17,11,雄安新区;装配式建筑;一带一路;建筑节能;光伏建筑一体化;工业互联网;储能;HJT电池;钙钛矿电池;沪股通;融资融券,600477
002445.SZ,33,11,股权转让(并购重组);光伏建筑一体化;绿色电力;独角兽概念;虚拟现实;海工装备;手机游戏;文化传媒概念;国企改革;深股通;融资融券,002445
600356.SH,17,4,烟草;2025年报预增;国企改革;黑龙江自贸区,600356
601766.SH,17,23,中字头股票;证金持股;同花顺中特估100;参股保险;国企改革;PPP概念;央企国企改革;雄安新区;同花顺出海50;一带一路;高铁;氢能源;风电;燃料电池;沪股通;融资融券;高端装备;机器人概念;储能;新能源汽车;特高压;数据中心(AIDC);芯片概念,601766
001313.SZ,33,7,合成生物;数据要素;粤港澳大湾区;一带一路;乡村振兴;预制菜;深股通,001313
600099.SH,17,7,乡村振兴;农机;国企改革;两轮车;专精特新;央企国企改革;无人驾驶,600099
600600.SH,17,7,超级品牌;啤酒概念;证金持股;同花顺漂亮100;国企改革;沪股通;融资融券,600600
600073.SH,17,6,预制菜;猪肉;上海国企改革;国企改革;沪股通;融资融券,600073
920703.BJ,151,4,专精特新;融资融券;京津冀一体化;核电,920703
301539.SZ,33,7,低空经济;飞行汽车(eVTOL);专精特新;商业航天;新能源汽车;比亚迪概念;融资融券,301539
920068.BJ,151,8,无人机;海工装备;3D打印;专精特新;小金属概念;消费电子概念;商业航天;融资融券,920068
300649.SZ,33,8,新型城镇化;共同富裕示范区;PPP概念;水利;雄安新区;碳中和;IP经济(谷子经济);区块链,300649
000656.SZ,33,7,托育服务;ST板块;三胎概念;物业管理;西部大开发;新型城镇化;股权转让(并购重组),000656
601228.SH,17,11,航运概念;自由贸易港;冷链物流;国企改革;养老概念;广东自贸区;数据要素;粤港澳大湾区;网络安全;沪股通;融资融券,601228
603517.SH,22,3,ST板块;预制菜;冷链物流,603517
688578.SH,17,4,创新药;2025年报预增;沪股通;融资融券,688578
300475.SZ,33,14,存储芯片;芯片概念;东数西算(算力);数据中心(AIDC);2026一季报预增;抖音概念(字节概念);2025年报预增;腾讯概念;粤港澳大湾区;阿里巴巴概念;人民币贬值受益;家用电器;深股通;融资融券,300475
920023.BJ,151,6,ST板块;西部大开发;农业种植;乡村振兴;创投;土地流转,920023
600833.SH,17,4,宠物经济;医药电商;上海国企改革;国企改革,600833
603787.SH,17,7,共享单车;两轮车;职业教育;DeepSeek概念;2025年报预增;华为概念;比亚迪概念,603787
301297.SZ,33,9,光刻机;中芯国际概念;OLED;富士康概念;芯片概念;2025年报预增;股权转让(并购重组);深股通;融资融券,301297
603040.SH,17,8,汽车热管理;长安汽车概念;机器人概念;新能源汽车;比亚迪概念;专精特新;污水处理;沪股通,603040
003041.SZ,33,6,人民币贬值受益;共同富裕示范区;一带一路;2025年报预增;深股通;股权转让(并购重组),003041
300158.SZ,33,13,仿制药一致性评价;维生素;创新药;肝炎概念;医美概念;流感;农业种植;医药电商;毛发医疗;土地流转;乡村振兴;融资融券;深股通,300158
000830.SZ,33,14,化肥;煤化工概念;磷化工;消毒剂;生态农业;氟化工概念;天然气;有机硅概念;乡村振兴;氢能源;国企改革;央企国企改革;深股通;融资融券,000830
603366.SH,17,15,建筑节能;参股银行;蚂蚁集团概念;区块链;空气能热泵;创投;家用电器;智能家居;储能;充电桩;华为概念;光伏概念;特斯拉概念;融资融券;沪股通,603366
001268.SZ,33,2,成飞概念;粤港澳大湾区,001268
688076.SH,22,12,肝炎概念;辅助生殖;流感;创新药;智能医疗;合成生物;减肥药;CRO概念;ST板块;AI应用;人民币贬值受益;专精特新,688076
601899.SH,17,19,金属铅;金属锌;黄金概念;金属铜;金属钴;小金属概念;盐湖提锂;同花顺出海50;福建自贸区;2025年报预增;一带一路;锂电池概念;国企改革;证金持股;同花顺中特估100;沪股通;融资融券;同花顺漂亮100;氢能源,601899
002172.SZ,33,10,民营医院;三胎概念;养老概念;冷链物流;医美概念;高压氧舱;毛发医疗;国企改革;脑机接口;股权转让(并购重组),002172
601005.SH,17,11,特钢概念;国企改革;央企国企改革;西部大开发;风电;海工装备;核电;军工;新能源汽车;沪股通;融资融券,601005
920284.BJ,151,7,专精特新;锂电池概念;宁德时代概念;人造肉;新型工业化;固态电池;融资融券,920284
300886.SZ,33,3,烟草;人民币贬值受益;融资融券,300886
301119.SZ,33,3,比亚迪概念;新能源汽车;融资融券,301119
600101.SH,17,12,绿色电力;钒电池;智能电网;央企国企改革;充电桩;国企改革;储能;西部大开发;数据中心(AIDC);小金属概念;沪股通;融资融券,600101
002651.SZ,33,11,西部大开发;军民融合;成飞概念;大飞机;军工;低空经济;高端装备;无人机;机器人概念;商业航天;深股通,002651
600663.SH,17,10,物业管理;参股券商;证金持股;养老概念;国企改革;创投;上海自贸区;沪股通;融资融券;参股保险,600663
600035.SH,17,15,高股息精选;国企改革;在线教育;智能医疗;人工智能;氢能源;ETC;国产操作系统;车联网(车路协同);物联网;华为概念;无线耳机;WiFi 6;沪股通;融资融券,600035
002883.SZ,33,15,地下管网;新型城镇化;污水处理;土壤修复;乡村振兴;PPP概念;雄安新区;水利;固废处理;ST板块;数字经济;国企改革;智慧城市;车联网(车路协同);低空经济,002883
301302.SZ,33,26,空间计算;数字孪生;军工信息化;元宇宙;手机游戏;AI智能体;AI应用;文化传媒概念;数字经济;核污染防治;军民融合;京津冀一体化;网络游戏;DeepSeek概念;腾讯概念;人工智能;卫星导航;军工;成飞概念;机器人概念;虚拟现实;商业航天;无人机;MR(混合现实);核电;融资融券,301302
002612.SZ,33,14,中韩自贸区;毛发医疗;三胎概念;IP经济(谷子经济);网红经济;医美概念;民营医院;C2M概念;医疗器械概念;虚拟数字人;牙科医疗;2025年报预增;融资融券;深股通,002612
301223.SZ,33,8,烟草;职业教育;数字经济;粤港澳大湾区;数字水印;小米概念;新型烟草(电子烟);融资融券,301223
002982.SZ,33,5,养鸡;猪肉;预制菜;冷链物流;乡村振兴,002982
002162.SZ,33,14,三胎概念;职业教育;养老概念;物业管理;民营医院;创投;牙科医疗;参股保险;人工智能;智能医疗;海峡两岸;辅助生殖;租售同权;机器人概念,002162
003032.SZ,33,11,机器人概念;人形机器人;华为概念;职业教育;鸿蒙概念;在线教育;阿里巴巴概念;ChatGPT概念;智谱AI;短剧游戏;摘帽,003032
600372.SH,17,19,国产航母;军民融合;央企国企改革;大飞机;军工信息化;国企改革;军工;低空经济;无人机;飞行汽车(eVTOL);卫星导航;商业航天;新能源汽车;传感器;芯片概念;光纤概念;沪股通;融资融券;中字头股票,600372
002563.SZ,33,11,高股息精选;网红经济;三胎概念;体育产业;足球概念;IP经济(谷子经济);跨境电商;共同富裕示范区;数字经济;深股通;融资融券,002563
300223.SZ,33,31,存储芯片;汽车芯片;MCU芯片;MiniLED;OLED;芯片概念;AI眼镜;汽车电子;消费电子概念;毫米波雷达;智能座舱;传感器;智能音箱;小米概念;机器视觉;3D打印;无人驾驶;人脸识别;抖音概念(字节概念);物联网;机器人概念;安防;人民币贬值受益;人工智能;鸿蒙概念;智能家居;区块链;家用电器;京津冀一体化;深股通;融资融券,300223
300006.SZ,33,14,创新药;细胞免疫治疗;眼科医疗;仿制药一致性评价;幽门螺杆菌概念;医药电商;辅助生殖;肝炎概念;医疗器械概念;西部大开发;知识产权保护;国企改革;深股通;融资融券,300006
300489.SZ,33,11,先进封装;第三代半导体;核污染防治;新能源汽车;核电;军工;氢能源;无人驾驶;无人机;低空经济;深股通,300489
300726.SZ,33,13,超级电容;共封装光学(CPO);芯片概念;华为海思概念股;5G;传感器;商业航天;华为概念;军工;海工装备;大飞机;深股通;融资融券,300726
603529.SH,17,14,共享单车;两轮车;虚拟数字人;AIGC概念;钠离子电池;AI智能体;鸿蒙概念;人工智能;百度概念;抖音概念(字节概念);换电概念;新能源汽车;融资融券;沪股通,603529
000517.SZ,33,5,物业管理;建筑节能;长三角一体化;深股通;融资融券,000517
601188.SH,17,14,冰雪产业;参股银行;旅游概念;乡村振兴;国企改革;黑龙江自贸区;污水处理;水利;石墨电极;绿色电力;DeepSeek概念;风电;石墨烯;宁德时代概念,601188
603218.SH,17,7,核污染防治;风电;海工装备;核电;军工;融资融券;沪股通,603218
002134.SZ,33,9,PCB概念;专精特新;新能源汽车;军工;大飞机;天津自贸区;京津冀一体化;先进封装;深股通,002134
300554.SZ,33,6,第三代半导体;芯片概念;中芯国际概念;钙钛矿电池;光伏概念;股权转让(并购重组),300554
002036.SZ,33,37,华为汽车;智能座舱;人形机器人;毫米波雷达;MR(混合现实);虚拟现实;特斯拉概念;元宇宙;汽车电子;无人驾驶;机器视觉;安防;智能穿戴;传感器;机器人概念;百度概念;英伟达概念;无线充电;无线耳机;新能源汽车;华为概念;比亚迪概念;苹果概念;无人机;消费电子概念;智能家居;AI眼镜;低空经济;军民融合;创投;一带一路;OLED;芯片概念;共封装光学(CPO);深股通;股权转让(并购重组);融资融券,002036
920299.BJ,151,6,数据中心(AIDC);商业航天;融资融券;阿里巴巴概念;特高压;智能电网,920299
002836.SZ,33,1,烟草,002836
300228.SZ,33,10,中俄贸易概念;海工装备;氢能源;燃料电池;页岩气;天然气;储能;商业航天;芯片概念;深股通,300228
301286.SZ,33,13,芯片概念;商业航天;成飞概念;华为概念;宁德时代概念;军工;2025年报预增;军民融合;医疗器械概念;雅下水电概念;西部大开发;深股通;融资融券,301286
603053.SH,17,7,天然气;国企改革;西部大开发;碳中和;氢能源;充电桩;沪股通,603053
920578.BJ,151,8,新能源汽车;融资融券;新型工业化;机器人概念;西部大开发;工业互联网;专精特新;工业母机,920578
603518.SH,17,4,网红经济;三胎概念;IP经济(谷子经济);露营经济,603518
000516.SZ,33,19,高压氧舱;民营医院;毛发医疗;养老概念;三胎概念;医美概念;细胞免疫治疗;辅助生殖;智能医疗;旅游概念;西部大开发;脑机接口;DeepSeek概念;人工智能;阿里巴巴概念;机器人概念;华为概念;深股通;融资融券,000516
688556.SH,17,10,第三代半导体;芯片概念;人形机器人;光伏概念;机器视觉;机器人概念;多模态AI;减速器;沪股通;融资融券,688556
002327.SZ,33,2,高股息精选;深股通,002327
002633.SZ,33,7,高端装备;核电;海工装备;军民融合;风电;国企改革;股权转让(并购重组),002633
000035.SZ,33,13,碳交易;生物质能发电;绿色电力;风电;固废处理;垃圾分类;氢能源;储能;一带一路;人工智能;机器人概念;深股通;融资融券,000035
688285.SH,17,7,高铁;一带一路;西部大开发;国企改革;央企国企改革;新能源汽车;融资融券,688285
002535.SZ,33,7,蚂蚁集团概念;煤炭概念;燃料电池;安防;高端装备;储能;军工,002535
600033.SH,17,7,参股保险;参股银行;国企改革;福建自贸区;海峡两岸;融资融券;沪股通,600033
000902.SZ,33,11,化肥;磷化工;农村电商;大豆;生态农业;氟化工概念;乡村振兴;数字乡村;锂电池概念;深股通;融资融券,000902
000544.SZ,33,10,PPP概念;国企改革;固废处理;污水处理;垃圾分类;绿色电力;水利;机器人概念;深股通;融资融券,000544
002224.SZ,33,5,工业大麻;体育产业;农机;储能;机器人概念,002224
601106.SH,17,19,军民融合;国产航母;军工;商业航天;高端装备;核电;一带一路;中字头股票;央企国企改革;黑龙江自贸区;国企改革;特斯拉概念;工业母机;风电;金属镍;小金属概念;同花顺中特估100;沪股通;融资融券,601106
000786.SZ,33,10,装配式建筑;雅下水电概念;雄安新区;国企改革;央企国企改革;建筑节能;光伏建筑一体化;DeepSeek概念;深股通;融资融券,000786
600801.SH,17,6,水泥概念;雅下水电概念;一带一路;2026一季报预增;沪股通;融资融券,600801
920808.BJ,151,9,数据中心(AIDC);碳中和;抖音概念(字节概念);腾讯概念;东数西算(算力);融资融券;专精特新;液冷服务器;股权转让(并购重组),920808
000543.SZ,33,16,超超临界发电;抽水蓄能;绿色电力;碳交易;风电;参股券商;天然气;新疆振兴;国企改革;参股银行;高股息精选;核电;充电桩;储能;深股通;融资融券,000543
301310.SZ,33,18,军工;可控核聚变;核电;铜缆高速连接;飞行汽车(eVTOL);专精特新;宁德时代概念;新能源汽车;机器人概念;创投;比亚迪概念;人形机器人;高压快充;充电桩;储能;光伏概念;深股通;融资融券,301310
603709.SH,17,4,养老概念;跨境电商;人民币贬值受益;工业互联网,603709
300873.SZ,33,20,新型工业化;工业互联网;数字孪生;机器人概念;人工智能;AI智能体;人形机器人;新能源汽车;粤港澳大湾区;DeepSeek概念;智能物流;数字经济;芯片概念;一带一路;跨境电商;冷链物流;统一大市场;航运概念;深股通;融资融券,300873
000883.SZ,33,14,超超临界发电;抽水蓄能;绿色电力;虚拟电厂;证金持股;天然气;风电;央企国企改革;国企改革;页岩气;核电;储能;深股通;融资融券,000883
603050.SH,17,13,金属回收;高压快充;智能电网;虚拟电厂;充电桩;储能;京津冀一体化;雄安新区;光伏概念;绿色电力;特斯拉概念;沪股通;融资融券,603050
000028.SZ,33,11,医药电商;医美概念;冷链物流;国企改革;医疗器械概念;智能医疗;央企国企改革;智能物流;2025年报预增;深股通;融资融券,000028
603680.SH,17,6,高铁;一带一路;2025年报预增;充电桩;储能;沪股通,603680
600425.SH,17,13,水泥概念;同花顺中特估100;国企改革;化肥;新疆振兴;西部大开发;一带一路;煤炭概念;氢能源;风电;人工智能;沪股通;融资融券,600425
603066.SH,17,20,跨境电商;统一大市场;烟草;智能物流;冷链物流;人工智能;数字孪生;一带一路;国企改革;工业互联网;物联网;新型工业化;机器人概念;专精特新;机器视觉;华为概念;比亚迪概念;特斯拉概念;宁德时代概念;华为数字能源,603066
301167.SZ,33,16,装配式建筑;建筑节能;新型城镇化;房屋检测;地下管网;乡村振兴;智慧城市;数字孪生;国企改革;换电概念;光伏建筑一体化;储能;充电桩;可控核聚变;虚拟电厂;融资融券,301167
000069.SZ,33,15,物业管理;特色小镇;冰雪产业;参股券商;旅游概念;IP经济(谷子经济);新型城镇化;国企改革;体育产业;NFT概念;央企国企改革;DeepSeek概念;粤港澳大湾区;深股通;融资融券,000069
603797.SH,17,4,新型城镇化;污水处理;PPP概念;粤港澳大湾区,603797
603008.SH,22,6,ST板块;跨境电商;脑机接口;人工智能;工业互联网;智能家居,603008
688220.SH,17,21,汽车芯片;存储芯片;WiFi 6;芯片概念;6G概念;AI眼镜;5G;消费电子概念;智能穿戴;卫星导航;商业航天;小米概念;星闪概念;专精特新;物联网;阿里巴巴概念;车联网(车路协同);人工智能;人民币贬值受益;沪股通;融资融券,688220
600305.SH,17,4,超级品牌;国企改革;沪股通;融资融券,600305
300994.SZ,33,7,两轮车;体育产业;跨境电商;中俄贸易概念;三胎概念;人民币贬值受益;融资融券,300994
301353.SZ,33,6,跨境电商;人民币贬值受益;专精特新;锂电池概念;减速器;融资融券,301353
002484.SZ,33,13,超级电容;5G;可控核聚变;东数西算(算力);华为概念;储能;新能源汽车;人形机器人;军工;机器人概念;深股通;国企改革;融资融券,002484
603712.SH,17,15,军工信息化;军民融合;大飞机;军工;卫星导航;无人机;DeepSeek概念;商业航天;高铁;京津冀一体化;一带一路;国企改革;6G概念;融资融券;沪股通,603712
300998.SZ,33,9,比亚迪概念;新能源汽车;海工装备;宁德时代概念;锂电池概念;机器人概念;人形机器人;股权转让(并购重组);融资融券,300998
600019.SH,17,16,同花顺中特估100;证金持股;高股息精选;同花顺漂亮100;特钢概念;参股银行;国企改革;央企国企改革;石墨电极;一带一路;沪股通;融资融券;AI智能体;核电;新能源汽车;特斯拉概念,600019
002943.SZ,33,12,第三代半导体;芯片概念;TOPCON电池;AI眼镜;HJT电池;稀土永磁;智能穿戴;光伏概念;比亚迪概念;工业母机;深股通;融资融券,002943
000001.SZ,33,5,高股息精选;证金持股;跨境支付(CIPS);深股通;融资融券,000001
001255.SZ,33,14,水利;共同富裕示范区;高铁;家用电器;军工;核电;长三角一体化;专精特新;新能源汽车;比亚迪概念;风电;有机硅概念;光伏概念;超导概念,001255
600251.SH,17,17,化肥;生态农业;盐湖提锂;土地流转;农村电商;农业种植;新疆振兴;乡村振兴;西部大开发;国企改革;中俄贸易概念;绿色电力;数字乡村;食品安全;2025年报预增;融资融券;沪股通,600251
603515.SH,17,9,超级品牌;高股息精选;智慧灯杆;智能家居;智慧城市;鸿蒙概念;华为概念;沪股通;融资融券,603515
688569.SH,17,8,高铁;国企改革;一带一路;京津冀一体化;央企国企改革;充电桩;沪股通;融资融券,688569
600082.SH,22,5,天津自贸区;京津冀一体化;创投;国企改革;ST板块,600082
600322.SH,17,6,物业管理;天津自贸区;国企改革;京津冀一体化;股权转让(并购重组);融资融券,600322
001239.SZ,33,6,海工装备;高端装备;机器人概念;风电;股权转让(并购重组);融资融券,001239
300053.SZ,33,24,卫星导航;商业航天;时空大数据;东数西算(算力);芯片概念;汽车芯片;专精特新;低空经济;MCU芯片;数据中心(AIDC);存储芯片;安防;智慧城市;飞行汽车(eVTOL);数据要素;人脸识别;先进封装;人工智能;粤港澳大湾区;横琴新区;地下管网;国企改革;深股通;融资融券,300053
600681.SH,17,8,天然气;高股息精选;氢能源;京津冀一体化;机器人概念;人形机器人;沪股通;融资融券,600681
301557.SZ,33,8,专精特新;海工装备;风电;军工;碳纤维;无人机;深股通;融资融券,301557
920371.BJ,151,3,2025年报预增;预制菜;融资融券,920371
600809.SH,17,5,白酒概念;同花顺漂亮100;国企改革;沪股通;融资融券,600809
002701.SZ,33,16,啤酒概念;预制菜;冰雪产业;工业大麻;体育产业;足球概念;京津冀一体化;一带一路;虚拟数字人;人工智能;锂电池概念;储能;新能源汽车;深股通;融资融券;股权转让(并购重组),002701
002320.SZ,33,9,海南自贸区;自由贸易港;航运概念;旅游概念;国企改革;央企国企改革;股权转让(并购重组);深股通;融资融券,002320
603221.SH,17,1,人民币贬值受益,603221
002817.SZ,33,2,医疗器械概念;专精特新,002817
600354.SH,17,10,粮食概念;转基因;玉米;农业种植;生态农业;供销社;乡村振兴;西部大开发;国企改革;融资融券,600354
300034.SZ,33,13,大飞机;航空发动机;军民融合;军工;商业航天;核电;3D打印;央企国企改革;京津冀一体化;特钢概念;国企改革;融资融券;深股通,300034
603277.SH,17,4,机器人概念;人民币贬值受益;高股息精选;沪股通,603277
603506.SH,17,6,物业管理;养老概念;垃圾分类;长三角一体化;机器人概念;2025年报预增,603506
600780.SH,17,6,绿色电力;风电;国企改革;证金持股;沪股通;融资融券,600780
300664.SZ,33,8,水利;垃圾分类;固废处理;装配式建筑;污水处理;PPP概念;净水概念;生物疫苗,300664
002419.SZ,33,28,预制菜;统一大市场;啤酒概念;农业种植;粮食概念;白酒概念;乡村振兴;跨境电商;新疆振兴;国企改革;无人零售;智能物流;央企国企改革;数字经济;光伏建筑一体化;人工智能;DeepSeek概念;AI应用;AIGC概念;绿色电力;鸿蒙概念;ChatGPT概念;粤港澳大湾区;低空经济;腾讯概念;储能;深股通;融资融券,002419
000061.SZ,33,15,农村电商;统一大市场;农业种植;证金持股;乡村振兴;冷链物流;国企改革;深圳国企改革;农机;区块链;食品安全;粤港澳大湾区;2026一季报预增;深股通;融资融券,000061
600132.SH,17,6,啤酒概念;高股息精选;西部大开发;融资融券;粤港澳大湾区;沪股通,600132
002572.SZ,33,7,高股息精选;参股券商;养老概念;智能家居;虚拟现实;深股通;融资融券,002572
600371.SH,17,7,粮食概念;转基因;玉米;农业种植;乡村振兴;黑龙江自贸区;化肥,600371
600097.SH,17,5,航运概念;上海国企改革;国企改革;上海自贸区;人民币贬值受益,600097
301090.SZ,33,6,国企改革;3D打印;风电;央企国企改革;融资融券;深股通,301090
688303.SH,17,8,硅能源;有机硅概念;新疆振兴;光伏概念;芯片概念;西部大开发;沪股通;融资融券,688303
002487.SZ,33,7,绿色电力;风电;航运概念;2025年报预增;海工装备;融资融券;深股通,002487
001366.SZ,33,3,粤港澳大湾区;乡村振兴;合成生物,001366
300829.SZ,33,7,可降解塑料;土地流转;2025年报预增;玉米;参股银行;乡村振兴;农业种植,300829
600523.SH,17,23,军民融合;西部大开发;国企改革;成飞概念;央企国企改革;低空经济;汽车热管理;军工;航空发动机;长安汽车概念;高端装备;小米汽车;华为汽车;新能源汽车;华为概念;比亚迪概念;储能;小米概念;传感器;汽车电子;华为数字能源;融资融券;沪股通,600523
600119.SH,22,11,跨境电商;物业管理;统一大市场;ST板块;自由贸易港;租售同权;上海国企改革;国企改革;长三角一体化;卫星导航;金属铜,600119
603086.SH,17,4,大豆;生态农业;人民币贬值受益;创新药,603086
920139.BJ,151,9,上海自贸区;融资融券;芯片概念;中芯国际概念;汽车芯片;MCU芯片;存储芯片;先进封装;专精特新,920139
001387.SZ,33,10,中俄贸易概念;家用电器;智能家居;参股银行;充电桩;储能;小米概念;汽车电子;PCB概念;融资融券,001387
002459.SZ,33,17,硅能源;BC电池;HJT电池;TOPCON电池;钙钛矿电池;绿色电力;京津冀一体化;光伏概念;雄安新区;DeepSeek概念;储能;风电;一带一路;人民币贬值受益;比亚迪概念;融资融券;深股通,002459
603373.SH,17,8,安防;无人机;低空经济;职业教育;国企改革;阿里巴巴概念;沪股通;融资融券,603373
605169.SH,17,3,天然气;新疆振兴;西部大开发,605169
600689.SH,17,7,创投;物业管理;国企改革;人民币贬值受益;安防;独角兽概念;股权转让(并购重组),600689
001326.SZ,33,8,物联网;智能家居;充电桩;人民币贬值受益;粤港澳大湾区;一带一路;储能;融资融券,001326
300935.SZ,33,18,空间计算;信创;数字孪生;AI智能体;AI应用;数据要素;人工智能;DeepSeek概念;职业教育;建筑节能;装配式建筑;房屋检测;新型城镇化;数据中心(AIDC);一带一路;光伏概念;风电;融资融券,300935
688657.SH,17,6,新型工业化;人工智能;鸿蒙概念;华为概念;信创;融资融券,688657
002561.SZ,33,4,乡村振兴;物业管理;国企改革;融资融券,002561
300512.SZ,33,4,无人零售;创投;高端装备;柔性屏(折叠屏),300512
300106.SZ,33,8,乳业;三胎概念;养老概念;乡村振兴;国企改革;新疆振兴;西部大开发;股权转让(并购重组),300106
600375.SH,17,7,互联网金融;垃圾分类;氢能源;燃料电池;换电概念;新能源汽车;沪股通,600375
600738.SH,17,5,跨境电商;国企改革;西部大开发;快手概念;2025年报预增,600738
300763.SZ,33,6,绿色电力;储能;光伏概念;芯片概念;融资融券;深股通,300763
603813.SH,17,8,氢能源;燃料电池;粤港澳大湾区;智能物流;统一大市场;数字经济;冷链物流;摘帽,603813
002097.SZ,33,26,农机;雅下水电概念;国企改革;一带一路;高铁;数字经济;人工智能;军民融合;低空经济;工业互联网;人民币贬值受益;飞行汽车(eVTOL);高端装备;海峡两岸;军工;机器人概念;航空发动机;核污染防治;无人机;页岩气;传感器;锂电池概念;5G;消费电子概念;深股通;融资融券,002097
002299.SZ,33,9,养鸡;预制菜;参股银行;食品安全;海峡两岸;2025年报预增;深股通;融资融券;2026一季报预增,002299
603379.SH,17,8,PVDF概念;氟化工概念;锂电池概念;2025年报预增;光伏概念;芯片概念;沪股通;融资融券,603379
002495.SZ,33,2,预制菜;创投,002495
002622.SZ,33,5,民营医院;参股银行;智能医疗;牙科医疗;智能电网,002622
301117.SZ,33,26,军工信息化;军民融合;卫星导航;商业航天;网络安全;军工;数据安全;华为昇腾;智慧政务;DRG/DIP;AI智能体;东数西算(算力);移动支付;安防;人工智能;区块链;数据中心(AIDC);数字经济;华为概念;DeepSeek概念;智能医疗;西部大开发;芯片概念;汽车芯片;深股通;融资融券,301117
300371.SZ,33,12,人工智能;智慧城市;水利;雄安新区;物联网;AI智能体;DeepSeek概念;专精特新;华为概念;核电;传感器;绿色电力,300371
002595.SZ,33,5,工业母机;海工装备;风电;深股通;融资融券,002595
300160.SZ,33,6,光伏建筑一体化;国企改革;家用电器;物联网;充电桩;特斯拉概念,300160
000428.SZ,33,6,预制菜;物业管理;职业教育;国企改革;股权转让(并购重组);融资融券,000428
600395.SH,17,10,煤炭概念;超超临界发电;绿色电力;风电;国企改革;参股券商;西部大开发;2025年报预增;沪股通;融资融券,600395
003016.SZ,33,10,网红经济;跨境电商;IP经济(谷子经济);智能物流;流感;数字经济;福建自贸区;数据要素;海峡两岸;腾讯概念,003016
600579.SH,17,19,跨境电商;核污染防治;人民币贬值受益;新型工业化;机器人概念;新能源汽车;高端装备;低空经济;氢能源;飞行汽车(eVTOL);碳纤维;储能;国企改革;化肥;光热发电;央企国企改革;煤化工概念;中字头股票;股权转让(并购重组),600579
603406.SH,17,5,参股银行;一带一路;注册制次新股;新股与次新股;融资融券,603406
301022.SZ,33,13,小米汽车;PEEK材料;华为汽车;人形机器人;机器人概念;无人驾驶;小米概念;比亚迪概念;新能源汽车;人民币贬值受益;2025年报预增;储能;融资融券,301022
301263.SZ,33,9,创新药;眼科医疗;毛发医疗;合成生物;减肥药;医药电商;医疗器械概念;深股通;融资融券,301263
002802.SZ,33,4,海峡两岸;风电;国企改革;股权转让(并购重组),002802
300393.SZ,33,11,BC电池;TOPCON电池;钙钛矿电池;光伏概念;光伏建筑一体化;华为概念;虚拟电厂;AI智能体;国企改革;深股通;融资融券,300393
688286.SH,17,15,传感器;智能穿戴;专精特新;物联网;消费电子概念;汽车电子;芯片概念;小米概念;机器人概念;AI眼镜;人形机器人;无线耳机;新型烟草(电子烟);中芯国际概念;融资融券,688286
600814.SH,17,7,IP经济(谷子经济);体育产业;国企改革;共同富裕示范区;元宇宙;MR(混合现实);沪股通,600814
600805.SH,17,24,统一大市场;乡村振兴;国企改革;垃圾分类;碳交易;碳中和;光伏建筑一体化;农机;绿色电力;氢能源;钠离子电池;时空大数据;超超临界发电;锂电池概念;风电;储能;虚拟电厂;机器人概念;高端装备;新能源汽车;无人驾驶;光伏概念;工业母机;融资融券,600805
300172.SZ,33,16,土壤修复;固废处理;污水处理;PPP概念;新型城镇化;净水概念;生物质能发电;一带一路;超超临界发电;核电;物联网;PM2.5;核污染防治;高端装备;专精特新;盐湖提锂,300172
