股票代码,所属概念数量,所属概念,market_code,code
600073.SH,6,猪肉;预制菜;国企改革;上海国企改革;沪股通;融资融券,17,600073
301035.SZ,6,草甘膦;回购增持再贷款概念;2025年报预增;人民币贬值受益;深股通;融资融券,33,301035
000591.SZ,17,钙钛矿电池;TOPCON电池;虚拟电厂;光伏建筑一体化;光伏概念;碳交易;绿色电力;储能;碳中和;工业互联网;DeepSeek概念;西部大开发;国企改革;央企国企改革;机器人概念;深股通;融资融券,33,000591
603257.SH,22,金属铜;黄金概念;金属钴;金属回收;稀土永磁;盐湖提锂;固废处理;宁德时代概念;一带一路;参股保险;土壤修复;污水处理;注册制次新股;乡村振兴;工业互联网;数字孪生;DeepSeek概念;新型城镇化;AI智能体;文化传媒概念;新股与次新股;融资融券,17,603257
002390.SZ,17,民营医院;医药电商;土地流转;养老概念;流感;农业种植;医美概念;肝炎概念;乡村振兴;冷链物流;基因测序;牙科医疗;医疗器械概念;创投;西部大开发;深股通;融资融券,33,002390
000037.SZ,5,固废处理;储能;粤港澳大湾区;核电;2025年报预增,33,000037
601718.SH,17,军民融合;央企国企改革;乡村振兴;国企改革;核污染防治;军工;数字孪生;数字经济;露营经济;体育产业;安防;文化传媒概念;储能;专精特新;智能穿戴;沪股通;融资融券,17,601718
603970.SH,7,供销社;农业种植;草甘膦;乡村振兴;农机;京津冀一体化;无人机,17,603970
300390.SZ,13,固态电池;宁德时代概念;锂电池概念;小金属概念;储能;新能源汽车;华为概念;医疗器械概念;存储芯片;芯片概念;中芯国际概念;融资融券;深股通,33,300390
301616.SZ,9,注册制次新股;专精特新;机器人概念;高端装备;2025年报预增;可降解塑料;参股银行;新股与次新股;融资融券,33,301616
300575.SZ,2,创新药;人民币贬值受益,33,300575
000601.SZ,14,生物质能发电;绿色电力;抽水蓄能;充电桩;储能;回购增持再贷款概念;东数西算(算力);数据中心;长安汽车概念;新能源汽车;比亚迪概念;减速器;深股通;融资融券,33,000601
600660.SH,9,证金持股;同花顺出海50;沪股通;融资融券;同花顺漂亮100;特斯拉概念;小米汽车;光伏概念;福建自贸区,17,600660
600694.SH,4,免税店;证金持股;沪股通;融资融券,17,600694
600025.SH,11,绿色电力;央企国企改革;国企改革;风电;西部大开发;水利;同花顺漂亮100;沪股通;DeepSeek概念;华为概念;融资融券,17,600025
300026.SZ,10,流感;仿制药一致性评价;创新药;养老概念;医疗器械概念;血氧仪;国企改革;京津冀一体化;深股通;融资融券,33,300026
603681.SH,12,储能;医疗器械概念;专精特新;可降解塑料;人民币贬值受益;一带一路;跨境电商;长三角一体化;固态电池;人工智能;AI智能体;融资融券,17,603681
002081.SZ,12,光伏建筑一体化;装配式建筑;新型城镇化;PPP概念;人工智能;智能家居;一带一路;长三角一体化;芯片概念;第三代半导体;深股通;融资融券,33,002081
603880.SH,1,医疗器械概念,17,603880
002012.SZ,8,烟草;共同富裕示范区;碳中和;超级电容;数字经济;互联网金融;储能;数据要素,33,002012
600127.SH,10,玉米;粮食概念;俄乌冲突概念;乳业;预制菜;乡村振兴;国企改革;养老概念;沪股通;融资融券,17,600127
002811.SZ,8,装配式建筑;一带一路;人工智能;数字经济;IP经济(谷子经济);DeepSeek概念;AIGC概念;云计算,33,002811
601901.SH,6,期货概念;证金持股;互联网金融;沪股通;融资融券;2025年报预增,17,601901
600248.SH,18,天然气;煤化工概念;新疆振兴;参股保险;国企改革;PPP概念;装配式建筑;乡村振兴;西部大开发;一带一路;水利;雅下水电概念;DeepSeek概念;风电;智慧城市;储能;融资融券;沪股通,17,600248
601966.SH,13,回购增持再贷款概念;农机;一带一路;智能物流;体育产业;长安汽车概念;新能源汽车;机器人概念;比亚迪概念;DeepSeek概念;人工智能;沪股通;融资融券,17,601966
301633.SZ,7,新型工业化;机器人概念;专精特新;高端装备;信创;深股通;融资融券,33,301633
600571.SH,21,跨境支付(CIPS);移动支付;互联网金融;ChatGPT概念;AI智能体;百度概念;信创;阿里巴巴概念;数据安全;数字经济;DeepSeek概念;数字水印;人工智能;独角兽概念;华为概念;量子科技;创投;共同富裕示范区;参股券商;沪股通;融资融券,17,600571
603231.SH,3,人造肉;大豆;融资融券,17,603231
002831.SZ,5,可降解塑料;深股通;宠物经济;机器人概念;融资融券,33,002831
603210.SH,9,注册制次新股;新能源汽车;小米汽车;特斯拉概念;锂电池概念;小米概念;宁德时代概念;新股与次新股;融资融券,17,603210
603995.SH,5,特钢概念;小金属概念;专精特新;沪股通;融资融券,17,603995
002673.SZ,5,期货概念;国企改革;西部大开发;深股通;融资融券,33,002673
301601.SZ,4,环氧丙烷;可降解塑料;高端装备;融资融券,33,301601
001205.SZ,4,航运概念;一带一路;专精特新;股权转让(并购重组),33,001205
600790.SH,12,参股银行;跨境电商;国企改革;数字经济;创投;智能物流;AI智能体;回购增持再贷款概念;AI应用;一带一路;融资融券;沪股通,17,600790
688661.SH,8,芯片概念;消费电子概念;专精特新;英伟达概念;传感器;机器人概念;沪股通;融资融券,17,688661
000685.SZ,22,航运概念;固废处理;天然气;绿色电力;医疗废物处理;垃圾分类;污水处理;充电桩;虚拟电厂;储能;国企改革;参股券商;证金持股;创投;低空经济;2025年报预增;粤港澳大湾区;数字经济;深股通;融资融券;智慧城市;人工智能,33,000685
603355.SH,7,净水概念;家用电器;人民币贬值受益;新能源汽车;机器人概念;沪股通;融资融券,17,603355
000965.SZ,8,物业管理;天津自贸区;参股券商;养老概念;国企改革;京津冀一体化;大飞机;融资融券,33,000965
600936.SH,16,数字乡村;AI应用;文化传媒概念;西部大开发;智慧政务;乡村振兴;DeepSeek概念;鸿蒙概念;无人机;国企改革;AI智能体;机器人概念;5G;股权转让(并购重组);沪股通;融资融券,17,600936
688617.SH,4,医疗器械概念;专精特新;融资融券;沪股通,17,688617
300275.SZ,38,低空经济;卫星导航;军工;商业航天;智慧城市;工业互联网;物联网;人工智能;数字经济;数据要素;机器人概念;新型工业化;DeepSeek概念;鸿蒙概念;数据安全;华为鲲鹏;华为盘古;华为概念;传感器;ChatGPT概念;AI智能体;AIGC概念;华为欧拉;阿里巴巴概念;无人驾驶;星闪概念;多模态AI;专精特新;毫米波雷达;乡村振兴;PPP概念;西部大开发;中俄贸易概念;污水处理;核电;超级电容;F5G概念;AI应用,33,300275
000156.SZ,34,短剧游戏;文化传媒概念;虚拟数字人;IP经济(谷子经济);AIGC概念;抖音概念(字节概念);多模态AI;腾讯概念;AI智能体;阿里巴巴概念;智慧政务;数字乡村;旅游概念;DeepSeek概念;网络安全;信创;算力租赁;人工智能;数字经济;虚拟现实;AI应用;智慧城市;养老概念;东数西算(算力);车联网(车路协同);智能音箱;物联网;智能家居;乡村振兴;机器人概念;5G;国企改革;深股通;融资融券,33,000156
600110.SH,17,PET铜箔;固态电池;PCB概念;宁德时代概念;锂电池概念;比亚迪概念;特斯拉概念;军工;新能源汽车;储能;无人机;核电;粤港澳大湾区;绿色电力;融资融券;股权转让(并购重组);沪股通,17,600110
601800.SH,17,中字头股票;证金持股;同花顺中特估100;参股券商;雄安新区;国企改革;水利;雅下水电概念;央企国企改革;一带一路;风电;高铁;沪股通;融资融券;核电;AI智能体;商业航天,17,601800
603601.SH,14,商业航天;大飞机;核污染防治;核电;PM2.5;芯片概念;建筑节能;特斯拉概念;西部大开发;中芯国际概念;新能源汽车;宁德时代概念;家用电器;融资融券,17,603601
603706.SH,3,天然气;新疆振兴;西部大开发,17,603706
600853.SH,17,黑龙江自贸区;水利;创投;新型城镇化;地下管网;体育产业;冰雪产业;PPP概念;旅游概念;乡村振兴;农村电商;智慧城市;雅下水电概念;国企改革;一带一路;生态农业;商业航天,17,600853
301209.SZ,6,染料;光刻机;光刻胶;专精特新;深股通;融资融券,33,301209
300610.SZ,4,有机硅概念;磷化工;专精特新;风电,33,300610
001213.SZ,8,统一大市场;冷链物流;国企改革;乡村振兴;一带一路;智能物流;中字头股票;深股通,33,001213
603310.SH,5,氟化工概念;专精特新;创投;沪股通;融资融券,17,603310
603711.SH,4,共同富裕示范区;创投;互联网金融;沪股通,17,603711
001338.SZ,6,啤酒概念;粮食概念;乡村振兴;国企改革;粤港澳大湾区;深股通,33,001338
003816.SZ,11,同花顺中特估100;绿色电力;央企国企改革;国企改革;核电;一带一路;核污染防治;DeepSeek概念;中字头股票;融资融券;深股通,33,003816
600993.SH,9,民营医院;医药电商;眼科医疗;仿制药一致性评价;创新药;基因测序;数字经济;沪股通;融资融券,17,600993
301333.SZ,7,CRO概念;AIGC概念;智能医疗;人工智能;创新药;深股通;融资融券,33,301333
300047.SZ,47,智谱AI;华为昇腾;ChatGPT概念;华为鲲鹏;财税数字化;云办公;云计算;华为欧拉;智慧政务;AIGC概念;AI智能体;信创;数字货币;数据安全;蚂蚁集团概念;网络安全;数据要素;移动支付;百度概念;区块链;在线教育;鸿蒙概念;腾讯概念;时空大数据;数字经济;DeepSeek概念;东数西算(算力);人工智能;智慧城市;数字孪生;军工信息化;职业教育;车联网(车路协同);华为概念;AI应用;数据中心;低空经济;5G;军工;无人机;跨境电商;无人驾驶;机器人概念;粤港澳大湾区;乡村振兴;融资融券;深股通,33,300047
920007.BJ,5,新股与次新股;融资融券;一带一路;光伏概念;人民币贬值受益,151,920007
301062.SZ,6,食品安全;高压快充;光伏概念;DeepSeek概念;商业航天;融资融券,33,301062
601500.SH,8,国企改革;一带一路;人民币贬值受益;工业互联网;新能源汽车;股权转让(并购重组);融资融券;沪股通,17,601500
600004.SH,6,免税店;同花顺中特估100;国企改革;粤港澳大湾区;沪股通;融资融券,17,600004
920541.BJ,6,高铁;融资融券;机器人概念;无人驾驶;专精特新;一带一路,151,920541
000651.SZ,23,超级品牌;预制菜;证金持股;同花顺漂亮100;净水概念;家用电器;智能物流;智能家居;空气能热泵;深股通;融资融券;一体化压铸;机器人概念;工业互联网;回购增持再贷款概念;储能;新能源汽车;工业母机;MCU芯片;芯片概念;锂电池概念;第三代半导体;液冷服务器,33,000651
300859.SZ,9,冰雪产业;旅游概念;西部大开发;国企改革;新疆振兴;低空经济;飞行汽车(eVTOL);深股通;股权转让(并购重组),33,300859
603151.SH,4,乡村振兴;回购增持再贷款概念;2025年报预增;股权转让(并购重组),17,603151
600649.SH,10,租售同权;物业管理;参股券商;上海国企改革;参股银行;新型城镇化;国企改革;沪股通;融资融券;宁德时代概念,17,600649
002793.SZ,9,幽门螺杆菌概念;仿制药一致性评价;创新药;流感;医药电商;民营医院;医疗器械概念;股权转让(并购重组);深股通,33,002793
002461.SZ,4,啤酒概念;国企改革;深股通;融资融券,33,002461
002481.SZ,13,预制菜;人造肉;宠物经济;网红经济;跨境电商;合成生物;国企改革;一带一路;回购增持再贷款概念;绿色电力;化肥;深股通;融资融券,33,002481
000100.SZ,23,MicroLED概念;MiniLED;硅能源;OLED;柔性屏(折叠屏);光伏概念;绿色电力;参股银行;回购增持再贷款概念;AI眼镜;2025年报预增;比亚迪概念;消费电子概念;工业互联网;虚拟现实;小米概念;华为概念;粤港澳大湾区;芯片概念;证金持股;超级品牌;深股通;融资融券,33,000100
605088.SH,11,华为汽车;机器人概念;人形机器人;人民币贬值受益;新能源汽车;储能;DeepSeek概念;回购增持再贷款概念;固态电池;锂电池概念;沪股通,17,605088
600655.SH,15,黄金概念;小金属概念;预制菜;白酒概念;IP经济(谷子经济);旅游概念;冰雪产业;宠物经济;跨境电商;蚂蚁集团概念;体育产业;绿色电力;沪股通;融资融券;培育钻石,17,600655
000778.SZ,16,特钢概念;央企国企改革;国企改革;地下管网;钒电池;参股银行;回购增持再贷款概念;PPP概念;小金属概念;水利;核电;京津冀一体化;2025年报预增;储能;深股通;融资融券,33,000778
603687.SH,13,数字水印;烟草;数字孪生;ChatGPT概念;工业互联网;AIGC概念;DeepSeek概念;人工智能;物联网;共同富裕示范区;钙钛矿电池;光伏概念;锂电池概念,17,603687
002242.SZ,7,证金持股;家用电器;智能家居;净水概念;机器人概念;深股通;融资融券,33,002242
601163.SH,6,新能源汽车;人民币贬值受益;大飞机;军工;沪股通;融资融券,17,601163
600690.SH,16,超级品牌;证金持股;同花顺漂亮100;净水概念;空气能热泵;家用电器;智能家居;同花顺出海50;沪股通;融资融券;机器人概念;物联网;工业互联网;阿里巴巴概念;华为概念;无线充电,17,600690
002293.SZ,5,网红经济;三胎概念;智能家居;深股通;融资融券,33,002293
601816.SH,5,同花顺中特估100;国企改革;高铁;沪股通;融资融券,17,601816
002129.SZ,12,BC电池;TOPCON电池;HJT电池;硅能源;光伏概念;同花顺漂亮100;商业航天;一带一路;芯片概念;中芯国际概念;深股通;融资融券,33,002129
001965.SZ,11,同花顺中特估100;参股券商;PPP概念;国企改革;土壤修复;央企国企改革;京津冀一体化;智慧城市;深股通;回购增持再贷款概念;融资融券,33,001965
688005.SH,12,钠离子电池;固态电池;动力电池回收;锂电池概念;金属钴;宁德时代概念;低空经济;储能;新能源汽车;小金属概念;沪股通;融资融券,17,688005
603877.SH,4,共同富裕示范区;回购增持再贷款概念;沪股通;融资融券,17,603877
601668.SH,18,中字头股票;同花顺中特估100;证金持股;装配式建筑;地下管网;PPP概念;新型城镇化;绿色电力;国企改革;央企国企改革;水利;沪股通;融资融券;一带一路;回购增持再贷款概念;风电;数字孪生;核电,17,601668
600648.SH,9,物业管理;跨境电商;国企改革;创投;上海自贸区;自由贸易港;回购增持再贷款概念;沪股通;融资融券,17,600648
600600.SH,7,超级品牌;啤酒概念;证金持股;同花顺漂亮100;国企改革;沪股通;融资融券,17,600600
000597.SZ,9,流感;医药电商;维生素;仿制药一致性评价;创新药;辅助生殖;细胞免疫治疗;回购增持再贷款概念;深股通,33,000597
002169.SZ,16,特高压;宁德时代概念;芯片概念;智能电网;充电桩;数据中心;电力物联网;储能;光伏概念;工业互联网;虚拟电厂;绿色电力;钒电池;碳中和;深股通;融资融券,33,002169
601988.SH,5,同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券,17,601988
000736.SZ,7,ST板块;物业管理;参股券商;国企改革;雄安新区;西部大开发;央企国企改革,33,000736
002990.SZ,28,语音技术;人脸识别;鸿蒙概念;车联网(车路协同);物联网;智慧城市;信创;人工智能;数字经济;网络安全;安防;智慧政务;DeepSeek概念;机器视觉;华为概念;机器人概念;无人驾驶;AIGC概念;华为昇腾;多模态AI;人形机器人;传感器;芯片概念;核污染防治;冷链物流;一带一路;存储芯片;深股通,33,002990
301283.SZ,6,2025年报预增;人民币贬值受益;专精特新;粤港澳大湾区;三胎概念;融资融券,33,301283
000819.SZ,6,POE胶膜;消毒剂;央企国企改革;国企改革;深股通;融资融券,33,000819
002075.SZ,8,特钢概念;军工;无人机;新能源汽车;华为概念;2025年报预增;深股通;融资融券,33,002075
603316.SH,12,房屋检测;新型城镇化;特色小镇;水利;存储芯片;PPP概念;污水处理;共同富裕示范区;数据中心;碳中和;芯片概念;地下管网,17,603316
000833.SZ,15,化肥;磷化工;土地流转;农业种植;锂电池概念;TOPCON电池;西部大开发;2025三季报预增;国企改革;乡村振兴;光伏概念;广东自贸区;2025年报预增;粤港澳大湾区;深股通,33,000833
600826.SH,14,人工智能;宠物经济;AI智能体;创投;体育产业;机器人概念;上海国企改革;参股银行;国企改革;参股券商;人形机器人;证金持股;沪股通;融资融券,17,600826
688710.SH,8,CRO概念;细胞免疫治疗;创新药;智能医疗;央企国企改革;国企改革;沪股通;融资融券,17,688710
600570.SH,27,数字货币;蚂蚁集团概念;ChatGPT概念;华为鲲鹏;AI智能体;鸿蒙概念;华为昇腾;信创;跨境支付(CIPS);智慧政务;AIGC概念;区块链;数据要素;互联网金融;多模态AI;DeepSeek概念;数字经济;人工智能;中国AI 50;华为概念;AI应用;回购增持再贷款概念;碳中和;碳交易;证金持股;沪股通;融资融券,17,600570
688448.SH,2,污水处理;融资融券,17,688448
000567.SZ,5,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通,33,000567
600970.SH,11,中字头股票;水泥概念;同花顺中特估100;央企国企改革;国企改革;绿色电力;同花顺出海50;风电;沪股通;融资融券;DeepSeek概念,17,600970
601607.SH,11,证金持股;医药电商;仿制药一致性评价;生物疫苗;创新药;上海国企改革;国企改革;医疗器械概念;沪股通;融资融券;上海自贸区,17,601607
301073.SZ,6,预制菜;养老概念;共同富裕示范区;低空经济;股权转让(并购重组);融资融券,33,301073
603368.SH,12,医药电商;流感;肝炎概念;创新药;冷链物流;三胎概念;西部大开发;智能医疗;人工智能;华为概念;沪股通;融资融券,17,603368
600526.SH,8,污水处理;PPP概念;碳交易;碳中和;共同富裕示范区;国企改革;PM2.5;机器人概念,17,600526
600282.SH,19,特钢概念;煤化工概念;商业航天;国企改革;海工装备;核电;一带一路;C2M概念;可燃冰;创投;工业互联网;数字经济;污水处理;数据要素;人工智能;机器人概念;人形机器人;融资融券;沪股通,17,600282
300158.SZ,13,仿制药一致性评价;创新药;维生素;医药电商;肝炎概念;流感;毛发医疗;医美概念;乡村振兴;土地流转;农业种植;融资融券;深股通,33,300158
002014.SZ,3,供销社;绿色电力;深股通,33,002014
920357.BJ,6,新能源汽车;融资融券;消费电子概念;汽车电子;专精特新;PCB概念,151,920357
300937.SZ,6,医药电商;智能医疗;人工智能;DeepSeek概念;西部大开发;融资融券,33,300937
600585.SH,11,水泥概念;同花顺中特估100;证金持股;装配式建筑;国企改革;雅下水电概念;同花顺漂亮100;一带一路;沪股通;融资融券;储能,17,600585
600197.SH,8,白酒概念;旅游概念;文化传媒概念;新疆振兴;国企改革;西部大开发;沪股通;融资融券,17,600197
920015.BJ,6,有机硅概念;光刻胶;专精特新;新股与次新股;融资融券;国企改革,151,920015
000039.SZ,28,海工装备;核电;风电;氢能源;商业航天;储能;数据中心;同花顺出海50;机器人概念;无人驾驶;机器视觉;一带一路;粤港澳大湾区;雄安新区;物联网;智能物流;可燃冰;人工智能;冷链物流;天然气;DeepSeek概念;航运概念;统一大市场;参股券商;深股通;融资融券;智谱AI;AI应用,33,000039
601288.SH,5,同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券,17,601288
688011.SH,6,军工信息化;军民融合;军工;专精特新;黑龙江自贸区;融资融券,17,688011
688798.SH,18,汽车芯片;MCU芯片;芯片概念;AI眼镜;消费电子概念;小米概念;智能穿戴;5G;比亚迪概念;专精特新;华为概念;机器人概念;物联网;人民币贬值受益;卫星导航;抖音概念(字节概念);融资融券;沪股通,17,688798
601222.SH,23,虚拟电厂;光伏建筑一体化;智能电网;绿色电力;电力物联网;风电;TOPCON电池;光伏概念;充电桩;储能;华为数字能源;氢能源;锂电池概念;物联网;华为概念;人工智能;量子科技;区块链;低空经济;飞行汽车(eVTOL);蚂蚁集团概念;沪股通;融资融券,17,601222
601328.SH,5,同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券,17,601328
002947.SZ,16,苹果概念;无线耳机;比亚迪概念;柔性屏(折叠屏);消费电子概念;新能源汽车;智能穿戴;AI PC;5G;虚拟现实;人民币贬值受益;数据中心;储能;东数西算(算力);深股通;融资融券,33,002947
603306.SH,13,共封装光学(CPO);光刻胶;芯片概念;特斯拉概念;新能源汽车;比亚迪概念;数据中心;机器人概念;回购增持再贷款概念;海峡两岸;沪股通;福建自贸区;融资融券,17,603306
003030.SZ,4,人造肉;宠物经济;共同富裕示范区;网红经济,33,003030
002277.SZ,14,第三代半导体;芯片概念;机器人概念;NMN概念;跨境电商;免税店;乡村振兴;农村电商;互联网金融;参股银行;证金持股;深股通;融资融券;股权转让(并购重组),33,002277
000800.SZ,15,国企改革;氢能源;央企国企改革;燃料电池;固态电池;DeepSeek概念;新能源汽车;车联网(车路协同);宁德时代概念;无人驾驶;深股通;融资融券;军工;华为概念;股权转让(并购重组),33,000800
600163.SH,11,抽水蓄能;绿色电力;风电;生物质能发电;充电桩;国企改革;福建自贸区;化债概念(AMC概念);海峡两岸;沪股通;融资融券,17,600163
002327.SZ,1,深股通,33,002327
601128.SH,2,沪股通;融资融券,17,601128
600779.SH,4,白酒概念;西部大开发;沪股通;融资融券,17,600779
000014.SZ,5,深圳国企改革;物业管理;粤港澳大湾区;国企改革;股权转让(并购重组),33,000014
300464.SZ,6,跨境电商;家用电器;露营经济;消费电子概念;无线耳机;人民币贬值受益,33,300464
688793.SH,24,脑机接口;医疗器械概念;语音技术;养老概念;电子竞技;智能家居;人工智能;跨境电商;腾讯概念;IP经济(谷子经济);家用电器;传感器;智能穿戴;虚拟数字人;粤港澳大湾区;DeepSeek概念;专精特新;海峡两岸;中俄贸易概念;新能源汽车;回购增持再贷款概念;一带一路;新疆振兴;融资融券,17,688793
600009.SH,9,免税店;证金持股;上海国企改革;同花顺中特估100;国企改革;上海自贸区;同花顺漂亮100;沪股通;融资融券,17,600009
600336.SH,18,无人零售;冰雪产业;物业管理;冷链物流;超级品牌;跨境电商;家用电器;智能家居;空气能热泵;创投;净水概念;国企改革;物联网;一带一路;DeepSeek概念;医疗器械概念;融资融券;沪股通,17,600336
002768.SZ,23,PEEK材料;碳纤维;富士康概念;人形机器人;华为汽车;小米概念;比亚迪概念;新能源汽车;机器人概念;华为概念;充电桩;储能;可降解塑料;足球概念;风电;锂电池概念;体育产业;丙烯酸;人造肉;医美概念;环氧丙烷;融资融券;深股通,33,002768
001201.SZ,3,猪肉;绿色电力;粤港澳大湾区,33,001201
600137.SH,1,西部大开发,17,600137
000792.SZ,15,盐湖提锂;小金属概念;2025年报预增;锂电池概念;化肥;比亚迪概念;新能源汽车;央企国企改革;西部大开发;同花顺漂亮100;融资融券;深股通;特色小镇;旅游概念;股权转让(并购重组),33,000792
300033.SZ,15,AI语料;多模态AI;AIGC概念;ChatGPT概念;鸿蒙概念;AI智能体;互联网金融;数据要素;人工智能;智能医疗;AI应用;证金持股;2025年报预增;融资融券;深股通,33,300033
600698.SH,9,兵装重组概念;高铁;央企国企改革;汽车热管理;新能源汽车;长安汽车概念;国企改革;融资融券;沪股通,17,600698
600621.SH,10,期货概念;物业管理;参股券商;上海国企改革;DeepSeek概念;创投;国企改革;2025年报预增;沪股通;融资融券,17,600621
301212.SZ,6,消毒剂;可降解塑料;专精特新;共同富裕示范区;锂电池概念;融资融券,33,301212
300879.SZ,13,减速器;农机;机器人概念;跨境电商;人民币贬值受益;物联网;乡村振兴;锂电池概念;氢能源;储能;深股通;股权转让(并购重组);融资融券,33,300879
601236.SH,6,期货概念;国企改革;西部大开发;2025年报预增;沪股通;融资融券,17,601236
600161.SH,5,肝炎概念;国企改革;央企国企改革;沪股通;融资融券,17,600161
300541.SZ,36,云计算;数据确权;数据安全;腾讯概念;智慧政务;信创;阿里巴巴概念;华为昇腾;抖音概念(字节概念);区块链;华为盘古;华为鲲鹏;AI智能体;数字货币;数据要素;鸿蒙概念;Web3.0;DeepSeek概念;ETC;蚂蚁集团概念;数字经济;人工智能;华为概念;独角兽概念;互联网金融;跨境支付(CIPS);数据中心;英伟达概念;快手概念;NFT概念;无人驾驶;烟草;智能物流;2025年报预增;AI应用;深股通,33,300541
603858.SH,12,仿制药一致性评价;流感;医药电商;创新药;肝炎概念;生物疫苗;医美概念;医疗器械概念;参股银行;回购增持再贷款概念;融资融券;沪股通,17,603858
600834.SH,9,上海国企改革;物业管理;光伏建筑一体化;碳交易;国企改革;绿色电力;充电桩;无人驾驶;股权转让(并购重组),17,600834
002617.SZ,13,第三代半导体;特斯拉概念;人形机器人;新能源汽车;芯片概念;机器人概念;电力物联网;5G;智能家居;绿色电力;跨境电商;深股通;融资融券,33,002617
603201.SH,5,新能源汽车;人民币贬值受益;专精特新;跨境电商;比亚迪概念,17,603201
688529.SH,20,新型工业化;人形机器人;长安汽车概念;比亚迪概念;小米汽车;机器视觉;机器人概念;特斯拉概念;新能源汽车;小米概念;华为概念;固态电池;智能物流;锂电池概念;高端装备;燃料电池;人工智能;DeepSeek概念;氢能源;融资融券,17,688529
002234.SZ,5,养鸡;生态农业;预制菜;生物质能发电;融资融券,33,002234
600718.SH,43,DRG/DIP;财税数字化;AI智能体;AIGC概念;数据要素;区块链;百度概念;智慧政务;云计算;华为昇腾;信创;DeepSeek概念;互联网金融;数据安全;数字货币;抖音概念(字节概念);数字经济;智能医疗;网络安全;人工智能;独角兽概念;智慧城市;车联网(车路协同);养老概念;东数西算(算力);华为概念;食品安全;中国AI 50;AI应用;工业互联网;无人驾驶;医疗器械概念;机器人概念;智能座舱;参股保险;长安汽车概念;5G;比亚迪概念;汽车电子;新能源汽车;虚拟电厂;融资融券;沪股通,17,600718
600283.SH,19,生物质能发电;PPP概念;地下管网;净水概念;污水处理;绿色电力;固废处理;新型城镇化;水利;创投;数字孪生;智慧城市;数字经济;DeepSeek概念;人工智能;数据要素;数据确权;AI智能体;沪股通,17,600283
600509.SH,14,超超临界发电;抽水蓄能;第三代半导体;绿色电力;智能电网;芯片概念;AI眼镜;一带一路;新疆振兴;国企改革;西部大开发;天然气;融资融券;沪股通,17,600509
603260.SH,8,硅能源;石墨电极;有机硅概念;光伏概念;第三代半导体;长三角一体化;沪股通;融资融券,17,603260
002530.SZ,27,数字货币;财税数字化;区块链;互联网金融;智慧政务;鸿蒙概念;百度概念;华为鲲鹏;数据要素;信创;ERP概念;ChatGPT概念;AI智能体;虚拟数字人;数字经济;云计算;AIGC概念;智慧城市;人工智能;华为概念;跨境电商;养老概念;机器人概念;比亚迪概念;AI应用;深股通;融资融券,33,002530
000034.SZ,35,华为昇腾;东数西算(算力);云计算;华为鲲鹏;信创;网络安全;数据安全;智谱AI;区块链;阿里巴巴概念;腾讯概念;鸿蒙概念;AI智能体;ChatGPT概念;DeepSeek概念;抖音概念(字节概念);数据中心;数字孪生;英伟达概念;人工智能;物联网;AI PC;华为概念;华为海思概念股;低空经济;液冷服务器;机器人概念;无人驾驶;芯片概念;消费电子概念;乡村振兴;回购增持再贷款概念;AI应用;深股通;融资融券,33,000034
002182.SZ,24,小金属概念;央企国企改革;3D打印;宁德时代概念;氢能源;军工;苹果概念;商业航天;国企改革;无人机;飞行汽车(eVTOL);消费电子概念;特斯拉概念;低空经济;比亚迪概念;一体化压铸;富士康概念;华为概念;5G;机器人概念;华为汽车;长安汽车概念;深股通;融资融券,33,002182
600497.SH,12,金属铅;金属锌;小金属概念;黄金概念;金属回收;央企国企改革;西部大开发;军工;国企改革;光纤概念;沪股通;融资融券,17,600497
920003.BJ,3,数字经济;融资融券;新股与次新股,151,920003
301665.SZ,9,草甘膦;氟化工概念;注册制次新股;一带一路;2025年报预增;人民币贬值受益;深股通;新股与次新股;融资融券,33,301665
002508.SZ,5,DeepSeek概念;人工智能;家用电器;深股通;融资融券,33,002508
601878.SH,5,期货概念;国企改革;共同富裕示范区;沪股通;融资融券,17,601878
002174.SZ,16,手机游戏;网络游戏;电子竞技;IP经济(谷子经济);AIGC概念;抖音概念(字节概念);腾讯概念;DeepSeek概念;人工智能;云游戏;虚拟现实;华为概念;AI应用;人民币贬值受益;深股通;融资融券,33,002174
603129.SH,9,同花顺出海50;两轮车;人民币贬值受益;共同富裕示范区;体育产业;工业互联网;车联网(车路协同);融资融券;沪股通,17,603129
002852.SZ,2,农业种植;乡村振兴,33,002852
605177.SH,3,合成生物;仿制药一致性评价;阿尔茨海默概念,17,605177
002117.SZ,24,数字货币;移动支付;电子身份证;蚂蚁集团概念;人脸识别;人形机器人;数据确权;区块链;物联网;数字经济;智慧政务;机器人概念;财税数字化;信创;东数西算(算力);知识产权保护;拼多多概念;Web3.0;阿里巴巴概念;DeepSeek概念;数据中心;ChatGPT概念;深股通;融资融券,33,002117
000858.SZ,9,白酒概念;超级品牌;同花顺漂亮100;证金持股;参股券商;深股通;融资融券;西部大开发;国企改革,33,000858
