股票代码,code,所属同花顺行业,market_code
920578.BJ,920578,机械设备-自动化设备-机器人,151
300695.SZ,300695,汽车-汽车零部件-轮胎轮毂,33
300139.SZ,300139,有色金属-贵金属-贵金属Ⅲ,33
920187.BJ,920187,汽车-汽车零部件-车身附件及饰件,151
300952.SZ,300952,纺织服饰-服装家纺-鞋帽及其他,33
920100.BJ,920100,电力设备-电机-电机Ⅲ,151
301005.SZ,301005,汽车-汽车零部件-其他汽车零部件,33
300809.SZ,300809,机械设备-通用设备-机床工具,33
920593.BJ,920593,机械设备-自动化设备-机器人,151
301232.SZ,301232,电力设备-风电设备-风电零部件,33
688068.SH,688068,医药生物-医疗器械-体外诊断,17
301413.SZ,301413,机械设备-通用设备-仪器仪表,33
688661.SH,688661,电子-消费电子-消费电子零部件及组装,17
300745.SZ,300745,汽车-汽车零部件-汽车电子电气系统,33
301165.SZ,301165,通信-通信设备-通信网络设备及器件,33
688698.SH,688698,机械设备-自动化设备-工控设备,17
688192.SH,688192,医药生物-化学制药-化学制剂,17
301529.SZ,301529,汽车-汽车零部件-车身附件及饰件,33
300969.SZ,300969,汽车-汽车零部件-其他汽车零部件,33
920011.BJ,920011,电力设备-电机-电机Ⅲ,151
688387.SH,688387,通信-通信设备-通信网络设备及器件,17
300115.SZ,300115,电子-消费电子-消费电子零部件及组装,33
300415.SZ,300415,机械设备-专用设备-其他专用设备,33
300878.SZ,300878,医药生物-中药-中药Ⅲ,33
300223.SZ,300223,电子-半导体-数字芯片设计,33
301603.SZ,301603,机械设备-通用设备-机床工具,33
301539.SZ,301539,汽车-汽车零部件-轮胎轮毂,33
300487.SZ,300487,基础化工-塑料制品-合成树脂,33
301588.SZ,301588,基础化工-塑料制品-其他塑料制品,33
688310.SH,688310,机械设备-自动化设备-其他自动化设备,17
688716.SH,688716,基础化工-塑料制品-合成树脂,17
000656.SZ,000656,房地产-房地产-住宅开发,33
600376.SH,600376,房地产-房地产-住宅开发,17
000908.SZ,000908,医药生物-化学制药-化学制剂,33
002677.SZ,002677,家用电器-厨卫电器-厨卫电器Ⅲ,33
002148.SZ,002148,通信-通信服务-通信应用增值服务,33
002434.SZ,002434,汽车-汽车零部件-底盘与发动机系统,33
002141.SZ,002141,电子-元件-印制电路板,33
603327.SH,603327,电子-消费电子-消费电子零部件及组装,17
603717.SH,603717,农林牧渔-养殖业-生猪养殖,17
000595.SZ,000595,公用事业-电力-新能源发电,33
002700.SZ,002700,公用事业-燃气-燃气Ⅲ,33
002072.SZ,002072,商贸零售-贸易-贸易Ⅲ,33
002249.SZ,002249,电力设备-电机-电机Ⅲ,33
002377.SZ,002377,石油石化-石油加工贸易-石油加工,33
600530.SH,600530,食品饮料-食品加工制造-其他食品,17
603178.SH,603178,汽车-汽车零部件-底盘与发动机系统,17
600793.SH,600793,轻工制造-造纸-造纸Ⅲ,17
600592.SH,600592,机械设备-通用设备-金属制品,17
603137.SH,603137,建筑装饰-建筑装饰-装饰园林,17
603013.SH,603013,汽车-汽车零部件-底盘与发动机系统,17
603165.SH,603165,轻工制造-造纸-造纸Ⅲ,17
603466.SH,603466,传媒-文化传媒-数字媒体,17
600143.SH,600143,基础化工-塑料制品-改性塑料,17
600801.SH,600801,建筑材料-建筑材料-水泥,17
601069.SH,601069,有色金属-贵金属-贵金属Ⅲ,17
603915.SH,603915,机械设备-通用设备-金属制品,17
605068.SH,605068,汽车-汽车零部件-车身附件及饰件,17
002664.SZ,002664,汽车-汽车零部件-汽车电子电气系统,33
600580.SH,600580,电力设备-电机-电机Ⅲ,17
002396.SZ,002396,通信-通信设备-通信网络设备及器件,33
002765.SZ,002765,汽车-汽车零部件-底盘与发动机系统,33
003028.SZ,003028,家用电器-白色家电-家电零部件,33
001337.SZ,001337,有色金属-贵金属-贵金属Ⅲ,33
603211.SH,603211,汽车-汽车零部件-其他汽车零部件,17
601689.SH,601689,汽车-汽车零部件-底盘与发动机系统,17
002715.SZ,002715,汽车-汽车零部件-底盘与发动机系统,33
605189.SH,605189,纺织服饰-纺织制造-印染,17
300577.SZ,300577,纺织服饰-服装家纺-鞋帽及其他,33
002623.SZ,002623,电力设备-光伏设备-光伏辅材,33
603338.SH,603338,机械设备-工程机械-工程机械Ⅲ,17
600990.SH,600990,国防军工-军工电子-军工电子Ⅲ,17
002868.SZ,002868,农林牧渔-养殖业-动物保健,33
603286.SH,603286,汽车-汽车零部件-底盘与发动机系统,17
603580.SH,603580,基础化工-塑料制品-其他塑料制品,17
600988.SH,600988,有色金属-贵金属-贵金属Ⅲ,17
600391.SH,600391,国防军工-军工装备-航空装备,17
001270.SZ,001270,国防军工-军工电子-军工电子Ⅲ,33
002353.SZ,002353,机械设备-专用设备-能源及重型设备,33
600841.SH,600841,汽车-汽车零部件-底盘与发动机系统,17
002767.SZ,002767,机械设备-通用设备-仪器仪表,33
000576.SZ,000576,国防军工-军工装备-地面兵装,33
601100.SH,601100,机械设备-工程机械-工程机械Ⅲ,17
600769.SH,600769,环保-环境治理-水务及水治理,17
002747.SZ,002747,机械设备-自动化设备-机器人,33
605305.SH,605305,机械设备-工程机械-工程机械Ⅲ,17
002850.SZ,002850,电力设备-电池-锂电池,33
003011.SZ,003011,轻工制造-家居用品-瓷砖地板,33
301578.SZ,301578,家用电器-黑色家电-其他黑色家电,33
001400.SZ,001400,机械设备-专用设备-其他专用设备,33
605255.SH,605255,汽车-汽车零部件-底盘与发动机系统,17
603713.SH,603713,交通运输-物流-物流Ⅲ,17
003021.SZ,003021,电力设备-电机-电机Ⅲ,33
603303.SH,603303,电子-光学光电子-LED,17
002979.SZ,002979,机械设备-自动化设备-机器人,33
002896.SZ,002896,机械设备-通用设备-金属制品,33
002270.SZ,002270,电力设备-电网设备-输变电设备,33
001268.SZ,001268,家用电器-白色家电-家电零部件,33
001317.SZ,001317,交通运输-物流-物流Ⅲ,33
001306.SZ,001306,机械设备-通用设备-金属制品,33
601177.SH,601177,机械设备-通用设备-金属制品,17
002771.SZ,002771,计算机-IT服务-IT服务Ⅲ,33
000506.SZ,000506,有色金属-贵金属-贵金属Ⅲ,33
002536.SZ,002536,汽车-汽车零部件-底盘与发动机系统,33
603278.SH,603278,机械设备-通用设备-金属制品,17
605028.SH,605028,公用事业-电力-热力,17
603726.SH,603726,家用电器-白色家电-家电零部件,17
002472.SZ,002472,汽车-汽车零部件-底盘与发动机系统,33
603051.SH,603051,基础化工-化学制品-其他化学制品,17
002981.SZ,002981,电子-消费电子-消费电子零部件及组装,33
002283.SZ,002283,汽车-汽车零部件-底盘与发动机系统,33
002294.SZ,002294,医药生物-化学制药-化学制剂,33
603559.SH,603559,通信-通信服务-通信工程及服务,17
002988.SZ,002988,有色金属-工业金属-铝,33
603596.SH,603596,汽车-汽车零部件-底盘与发动机系统,17
603730.SH,603730,汽车-汽车零部件-车身附件及饰件,17
002635.SZ,002635,电子-消费电子-消费电子零部件及组装,33
000975.SZ,000975,有色金属-贵金属-贵金属Ⅲ,33
002090.SZ,002090,电力设备-电网设备-电气自控设备,33
603012.SH,603012,机械设备-专用设备-能源及重型设备,17
002520.SZ,002520,机械设备-通用设备-机床工具,33
603798.SH,603798,石油石化-石油加工贸易-石油加工,17
002471.SZ,002471,电力设备-电网设备-线缆部件及其他,33
002292.SZ,002292,传媒-影视院线-影视院线Ⅲ,33
002067.SZ,002067,轻工制造-造纸-造纸Ⅲ,33
300680.SZ,300680,汽车-汽车零部件-底盘与发动机系统,33
688165.SH,688165,机械设备-自动化设备-机器人,17
300946.SZ,300946,机械设备-通用设备-金属制品,33
002496.SZ,002496,基础化工-农化制品-农药,33
688375.SH,688375,国防军工-军工电子-军工电子Ⅲ,17
000004.SZ,000004,计算机-软件开发-横向通用软件,37
300929.SZ,300929,环保-环境治理-水务及水治理,33
300926.SZ,300926,汽车-汽车零部件-其他汽车零部件,33
688319.SH,688319,医药生物-生物制品-疫苗,17
603725.SH,603725,轻工制造-家居用品-瓷砖地板,17
920418.BJ,920418,汽车-汽车零部件-底盘与发动机系统,151
301018.SZ,301018,机械设备-通用设备-制冷空调设备,33
301316.SZ,301316,计算机-IT服务-IT服务Ⅲ,33
300007.SZ,300007,机械设备-通用设备-仪器仪表,33
688767.SH,688767,医药生物-医疗器械-体外诊断,17
301261.SZ,301261,机械设备-通用设备-金属制品,33
002050.SZ,002050,家用电器-白色家电-家电零部件,33
688400.SH,688400,机械设备-自动化设备-其他自动化设备,17
688255.SH,688255,机械设备-自动化设备-机器人,17
300853.SZ,300853,机械设备-自动化设备-机器人,33
688513.SH,688513,医药生物-化学制药-化学制剂,17
688011.SH,688011,国防军工-军工电子-军工电子Ⅲ,17
002048.SZ,002048,汽车-汽车零部件-车身附件及饰件,33
301007.SZ,301007,汽车-汽车零部件-底盘与发动机系统,33
920533.BJ,920533,汽车-汽车零部件-车身附件及饰件,151
920522.BJ,920522,电力设备-电池-锂电专用设备,151
603228.SH,603228,电子-元件-印制电路板,17
001309.SZ,001309,电子-半导体-数字芯片设计,33
300428.SZ,300428,汽车-汽车零部件-轮胎轮毂,33
920642.BJ,920642,国防军工-军工装备-航空装备,151
301119.SZ,301119,汽车-汽车零部件-底盘与发动机系统,33
603518.SH,603518,纺织服饰-服装家纺-服装,17
300900.SZ,300900,国防军工-军工装备-航空装备,33
688077.SH,688077,有色金属-金属新材料-磁性材料,17
603667.SH,603667,机械设备-通用设备-金属制品,17
300558.SZ,300558,医药生物-化学制药-化学制剂,33
300543.SZ,300543,电子-消费电子-消费电子零部件及组装,33
300865.SZ,300865,机械设备-专用设备-能源及重型设备,33
300342.SZ,300342,家用电器-白色家电-家电零部件,33
002772.SZ,002772,农林牧渔-种植业与林业-其他种植业,33
300421.SZ,300421,机械设备-通用设备-金属制品,33
605186.SH,605186,机械设备-自动化设备-其他自动化设备,17
600110.SH,600110,电力设备-电池-锂电池,17
920579.BJ,920579,机械设备-自动化设备-机器人,151
603662.SH,603662,机械设备-通用设备-仪器仪表,17
301360.SZ,301360,机械设备-自动化设备-其他自动化设备,33
300690.SZ,300690,电力设备-风电设备-风电零部件,33
600222.SH,600222,医药生物-中药-中药Ⅲ,17
300484.SZ,300484,机械设备-自动化设备-工控设备,33
301255.SZ,301255,机械设备-通用设备-金属制品,33
300855.SZ,300855,有色金属-金属新材料-其他金属新材料,33
002821.SZ,002821,医药生物-医疗服务-医疗研发外包,33
301367.SZ,301367,医药生物-医疗器械-医疗设备,33
688611.SH,688611,电力设备-电网设备-电气自控设备,17
688141.SH,688141,电子-半导体-模拟芯片设计,17
920491.BJ,920491,机械设备-通用设备-仪器仪表,151
300953.SZ,300953,电力设备-电池-锂电池,33
001380.SZ,001380,汽车-汽车零部件-底盘与发动机系统,33
301032.SZ,301032,机械设备-通用设备-其他通用设备,33
301023.SZ,301023,电力设备-电机-电机Ⅲ,33
300199.SZ,300199,医药生物-化学制药-原料药,33
600150.SH,600150,国防军工-军工装备-航海装备,17
603903.SH,603903,环保-环境治理-水务及水治理,17
301000.SZ,301000,汽车-汽车零部件-其他汽车零部件,33
002576.SZ,002576,电力设备-电机-电机Ⅲ,33
300716.SZ,300716,电力设备-光伏设备-光伏电池组件,33
300696.SZ,300696,国防军工-军工装备-航空装备,33
300966.SZ,300966,医药生物-化学制药-原料药,33
920425.BJ,920425,机械设备-自动化设备-工控设备,151
002235.SZ,002235,轻工制造-造纸-造纸Ⅲ,33
920089.BJ,920089,基础化工-塑料制品-改性塑料,151
688033.SH,688033,电力设备-光伏设备-光伏辅材,22
000559.SZ,000559,汽车-汽车零部件-底盘与发动机系统,33
688231.SH,688231,国防军工-军工装备-航空装备,17
300836.SZ,300836,机械设备-专用设备-其他专用设备,33
603119.SH,603119,汽车-汽车零部件-其他汽车零部件,17
002841.SZ,002841,电子-消费电子-品牌消费电子,33
600547.SH,600547,有色金属-贵金属-贵金属Ⅲ,17
002028.SZ,002028,电力设备-电网设备-输变电设备,33
300276.SZ,300276,机械设备-自动化设备-机器人,33
603638.SH,603638,机械设备-工程机械-工程机械Ⅲ,17
002860.SZ,002860,家用电器-白色家电-家电零部件,33
300918.SZ,300918,纺织服饰-纺织制造-其他纺织,33
603809.SH,603809,汽车-汽车零部件-底盘与发动机系统,17
688306.SH,688306,机械设备-自动化设备-其他自动化设备,17
920091.BJ,920091,机械设备-专用设备-其他专用设备,151
002534.SZ,002534,电力设备-其他电源设备-其他电源设备Ⅲ,33
920220.BJ,920220,汽车-汽车零部件-底盘与发动机系统,151
920961.BJ,920961,机械设备-通用设备-仪器仪表,151
300100.SZ,300100,汽车-汽车零部件-车身附件及饰件,33
920978.BJ,920978,汽车-汽车零部件-汽车电子电气系统,151
301227.SZ,301227,轻工制造-家居用品-定制家居,33
688818.SH,688818,国防军工-军工装备-航天装备,17
000893.SZ,000893,基础化工-农化制品-钾肥,33
002916.SZ,002916,电子-元件-印制电路板,33
603045.SH,603045,电力设备-电网设备-输变电设备,17
300866.SZ,300866,电子-消费电子-品牌消费电子,33
300804.SZ,300804,基础化工-农化制品-农药,33
603728.SH,603728,电力设备-电机-电机Ⅲ,17
300995.SZ,300995,基础化工-塑料制品-改性塑料,33
002164.SZ,002164,机械设备-通用设备-金属制品,33
002196.SZ,002196,电力设备-电机-电机Ⅲ,33
600699.SH,600699,汽车-汽车零部件-汽车电子电气系统,17
300539.SZ,300539,基础化工-塑料制品-其他塑料制品,33
301510.SZ,301510,机械设备-自动化设备-工控设备,33
688658.SH,688658,医药生物-化学制药-化学制剂,17
002031.SZ,002031,机械设备-专用设备-其他专用设备,33
301398.SZ,301398,汽车-汽车零部件-车身附件及饰件,33
300455.SZ,300455,计算机-计算机设备-其他计算机设备,33
688552.SH,688552,国防军工-军工电子-军工电子Ⅲ,17
002422.SZ,002422,医药生物-化学制药-化学制剂,33
300278.SZ,300278,机械设备-自动化设备-工控设备,33
300151.SZ,300151,机械设备-专用设备-其他专用设备,33
688020.SH,688020,电子-电子化学品-电子化学品Ⅲ,17
600493.SH,600493,纺织服饰-纺织制造-棉纺,17
605123.SH,605123,国防军工-军工装备-航空装备,17
688585.SH,688585,基础化工-塑料制品-合成树脂,17
301028.SZ,301028,机械设备-通用设备-其他通用设备,33
603583.SH,603583,机械设备-自动化设备-工控设备,17
920247.BJ,920247,汽车-汽车零部件-其他汽车零部件,151
002056.SZ,002056,电力设备-光伏设备-光伏电池组件,33
300922.SZ,300922,国防军工-军工装备-地面兵装,33
000887.SZ,000887,汽车-汽车零部件-其他汽车零部件,33
002139.SZ,002139,电子-消费电子-消费电子零部件及组装,33
920111.BJ,920111,电力设备-电网设备-输变电设备,151
300652.SZ,300652,汽车-汽车零部件-轮胎轮毂,33
603121.SH,603121,汽车-汽车零部件-底盘与发动机系统,17
300246.SZ,300246,医药生物-医疗器械-医疗设备,33
605178.SH,605178,建筑装饰-建筑装饰-装饰园林,17
301067.SZ,301067,电子-消费电子-消费电子零部件及组装,33
601168.SH,601168,有色金属-工业金属-铜,17
300684.SZ,300684,电子-电子化学品-电子化学品Ⅲ,33
300681.SZ,300681,汽车-汽车零部件-汽车电子电气系统,33
603055.SH,603055,纺织服饰-纺织制造-其他纺织,17
603351.SH,603351,医药生物-化学制药-原料药,17
920720.BJ,920720,汽车-汽车零部件-其他汽车零部件,151
300328.SZ,300328,有色金属-小金属-其他小金属,33
600992.SH,600992,机械设备-通用设备-金属制品,17
000678.SZ,000678,汽车-汽车零部件-底盘与发动机系统,33
301234.SZ,301234,医药生物-医疗器械-医疗耗材,33
605555.SH,605555,家用电器-小家电-小家电Ⅲ,17
301210.SZ,301210,电力设备-电池-锂电池,33
301022.SZ,301022,汽车-汽车零部件-其他汽车零部件,33
301512.SZ,301512,机械设备-自动化设备-其他自动化设备,33
603863.SH,603863,轻工制造-造纸-造纸Ⅲ,17
002465.SZ,002465,国防军工-军工电子-军工电子Ⅲ,33
603337.SH,603337,机械设备-专用设备-纺织服装设备,17
002552.SZ,002552,电子-元件-印制电路板,33
600761.SH,600761,机械设备-工程机械-工程机械Ⅲ,17
301125.SZ,301125,机械设备-通用设备-其他通用设备,33
603486.SH,603486,家用电器-小家电-小家电Ⅲ,17
002997.SZ,002997,汽车-汽车零部件-其他汽车零部件,33
920690.BJ,920690,汽车-汽车零部件-车身附件及饰件,151
002920.SZ,002920,汽车-汽车零部件-汽车电子电气系统,33
002892.SZ,002892,电力设备-电机-电机Ⅲ,33
301550.SZ,301550,汽车-汽车零部件-底盘与发动机系统,33
603305.SH,603305,汽车-汽车零部件-底盘与发动机系统,17
603180.SH,603180,轻工制造-家居用品-定制家居,17
300644.SZ,300644,基础化工-塑料制品-改性塑料,33
000338.SZ,000338,汽车-汽车零部件-底盘与发动机系统,33
688183.SH,688183,电子-元件-印制电路板,17
688416.SH,688416,电子-半导体-数字芯片设计,17
688669.SH,688669,基础化工-塑料制品-改性塑料,17
688808.SH,688808,机械设备-通用设备-仪器仪表,17
300313.SZ,300313,农林牧渔-养殖业-其他养殖,33
002284.SZ,002284,汽车-汽车零部件-底盘与发动机系统,33
601231.SH,601231,电子-消费电子-消费电子零部件及组装,17
600489.SH,600489,有色金属-贵金属-贵金属Ⅲ,17
600499.SH,600499,轻工制造-家居用品-瓷砖地板,17
603767.SH,603767,汽车-汽车零部件-底盘与发动机系统,17
600449.SH,600449,建筑材料-建筑材料-水泥,17
688570.SH,688570,机械设备-自动化设备-工控设备,17
603087.SH,603087,医药生物-生物制品-其他生物制品,17
301138.SZ,301138,机械设备-专用设备-印刷包装机械,33
920200.BJ,920200,电力设备-风电设备-风电零部件,151
600562.SH,600562,国防军工-军工电子-军工电子Ⅲ,17
002595.SZ,002595,机械设备-专用设备-其他专用设备,33
300992.SZ,300992,机械设备-通用设备-其他通用设备,33
605288.SH,605288,机械设备-自动化设备-工控设备,17
920469.BJ,920469,基础化工-塑料制品-改性塑料,151
920790.BJ,920790,计算机-IT服务-IT服务Ⅲ,151
300765.SZ,300765,医药生物-化学制药-原料药,33
688208.SH,688208,计算机-计算机设备-其他计算机设备,17
688053.SH,688053,国防军工-军工电子-军工电子Ⅲ,22
600879.SH,600879,国防军工-军工装备-航天装备,17
301076.SZ,301076,基础化工-化学制品-其他化学制品,33
300679.SZ,300679,电子-消费电子-消费电子零部件及组装,33
002801.SZ,002801,电力设备-电机-电机Ⅲ,33
603032.SH,603032,电力设备-电池-锂电专用设备,17
300258.SZ,300258,汽车-汽车零部件-底盘与发动机系统,33
688036.SH,688036,电子-消费电子-品牌消费电子,17
605598.SH,605598,建筑装饰-建筑装饰-专业工程,17
920026.BJ,920026,机械设备-专用设备-其他专用设备,151
002527.SZ,002527,机械设备-自动化设备-工控设备,33
300775.SZ,300775,国防军工-军工装备-航空装备,33
000850.SZ,000850,纺织服饰-纺织制造-棉纺,33
002553.SZ,002553,汽车-汽车零部件-底盘与发动机系统,33
002448.SZ,002448,汽车-汽车零部件-底盘与发动机系统,33
920407.BJ,920407,机械设备-通用设备-仪器仪表,151
301033.SZ,301033,医药生物-医疗器械-医疗耗材,33
002599.SZ,002599,轻工制造-包装印刷-印刷,33
300508.SZ,300508,计算机-计算机设备-其他计算机设备,33
300778.SZ,300778,建筑装饰-建筑装饰-工程咨询服务,33
603768.SH,603768,汽车-汽车零部件-其他汽车零部件,17
300218.SZ,300218,基础化工-塑料制品-其他塑料制品,33
603221.SH,603221,轻工制造-家居用品-瓷砖地板,17
300095.SZ,300095,机械设备-专用设备-能源及重型设备,33
603331.SH,603331,机械设备-通用设备-其他通用设备,17
002266.SZ,002266,环保-环境治理-固废治理,33
600546.SH,600546,煤炭-煤炭开采加工-煤炭开采,17
688382.SH,688382,医药生物-化学制药-化学制剂,17
300102.SZ,300102,电子-光学光电子-LED,33
002313.SZ,002313,通信-通信设备-通信终端及配件,33
301353.SZ,301353,机械设备-通用设备-其他通用设备,33
002276.SZ,002276,电力设备-电网设备-线缆部件及其他,33
600685.SH,600685,国防军工-军工装备-航海装备,17
920009.BJ,920009,医药生物-医疗器械-体外诊断,151
301517.SZ,301517,国防军工-军工电子-军工电子Ⅲ,33
600360.SH,600360,电子-半导体-分立器件,17
600893.SH,600893,国防军工-军工装备-航空装备,17
603685.SH,603685,电子-光学光电子-LED,17
300699.SZ,300699,国防军工-军工装备-航空装备,33
603135.SH,603135,机械设备-专用设备-能源及重型设备,17
920663.BJ,920663,汽车-汽车零部件-车身附件及饰件,151
600712.SH,600712,商贸零售-零售-百货零售,17
688597.SH,688597,电力设备-电网设备-电气自控设备,17
301282.SZ,301282,电子-元件-印制电路板,33
301229.SZ,301229,汽车-汽车零部件-底盘与发动机系统,33
603880.SH,603880,医药生物-医疗器械-医疗耗材,17
688090.SH,688090,机械设备-自动化设备-机器人,17
301276.SZ,301276,纺织服饰-服装家纺-服装,33
688646.SH,688646,机械设备-自动化设备-激光设备,22
300611.SZ,300611,汽车-汽车零部件-底盘与发动机系统,33
301043.SZ,301043,机械设备-通用设备-制冷空调设备,33
301260.SZ,301260,机械设备-专用设备-农用机械,33
600118.SH,600118,国防军工-军工装备-航天装备,17
300049.SZ,300049,医药生物-医疗器械-医疗设备,33
688531.SH,688531,机械设备-专用设备-其他专用设备,17
002594.SZ,002594,汽车-汽车整车-乘用车,33
600081.SH,600081,汽车-汽车零部件-车身附件及饰件,17
600203.SH,600203,电子-消费电子-消费电子零部件及组装,17
300884.SZ,300884,计算机-计算机设备-安防设备,33
688279.SH,688279,电子-半导体-数字芯片设计,17
300978.SZ,300978,汽车-汽车零部件-车身附件及饰件,33
920906.BJ,920906,汽车-汽车零部件-车身附件及饰件,151
920405.BJ,920405,机械设备-自动化设备-工控设备,151
603179.SH,603179,汽车-汽车零部件-汽车电子电气系统,17
688238.SH,688238,医药生物-医疗服务-医疗研发外包,17
002475.SZ,002475,电子-消费电子-消费电子零部件及组装,33
600183.SH,600183,电子-元件-印制电路板,17
920378.BJ,920378,汽车-汽车零部件-底盘与发动机系统,151
688729.SH,688729,电子-半导体-半导体设备,17
301228.SZ,301228,社会服务-其他社会服务-专业服务,33
002454.SZ,002454,汽车-汽车零部件-汽车电子电气系统,33
000901.SZ,000901,汽车-汽车零部件-汽车电子电气系统,33
688685.SH,688685,国防军工-军工装备-航空装备,17
601899.SH,601899,有色金属-贵金属-贵金属Ⅲ,17
603320.SH,603320,电力设备-电机-电机Ⅲ,17
920896.BJ,920896,汽车-汽车零部件-底盘与发动机系统,151
688112.SH,688112,机械设备-通用设备-仪器仪表,17
300879.SZ,300879,机械设备-专用设备-农用机械,33
601615.SH,601615,电力设备-风电设备-风电整机,17
603829.SH,603829,电力设备-电网设备-输变电设备,17
002345.SZ,002345,纺织服饰-服装家纺-饰品,33
002154.SZ,002154,纺织服饰-服装家纺-服装,33
688239.SH,688239,国防军工-军工装备-航空装备,17
300466.SZ,300466,机械设备-通用设备-仪器仪表,33
603613.SH,603613,商贸零售-互联网电商-互联网电商Ⅲ,17
002931.SZ,002931,机械设备-通用设备-金属制品,33
688399.SH,688399,医药生物-医疗器械-体外诊断,17
603284.SH,603284,轻工制造-造纸-造纸Ⅲ,17
688331.SH,688331,医药生物-生物制品-其他生物制品,17
603009.SH,603009,汽车-汽车零部件-底盘与发动机系统,17
300034.SZ,300034,国防军工-军工装备-航空装备,33
603530.SH,603530,电力设备-电网设备-线缆部件及其他,17
920035.BJ,920035,机械设备-通用设备-仪器仪表,151
001296.SZ,001296,基础化工-非金属材料-非金属材料Ⅲ,33
002155.SZ,002155,有色金属-贵金属-贵金属Ⅲ,33
688360.SH,688360,机械设备-通用设备-其他通用设备,17
002383.SZ,002383,国防军工-军工电子-军工电子Ⅲ,33
002708.SZ,002708,汽车-汽车零部件-底盘与发动机系统,33
601038.SH,601038,机械设备-专用设备-农用机械,17
688290.SH,688290,机械设备-自动化设备-机器人,17
603262.SH,603262,食品饮料-食品加工制造-其他食品,17
000514.SZ,000514,房地产-房地产-住宅开发,33
920270.BJ,920270,汽车-汽车零部件-车身附件及饰件,151
300581.SZ,300581,国防军工-军工装备-航空装备,33
001326.SZ,001326,电子-光学光电子-LED,33
300008.SZ,300008,国防军工-军工装备-航海装备,33
603601.SH,603601,建筑材料-建筑材料-玻璃玻纤,17
300124.SZ,300124,机械设备-自动化设备-工控设备,33
002625.SZ,002625,国防军工-军工装备-航空装备,33
301182.SZ,301182,电子-消费电子-消费电子零部件及组装,33
002420.SZ,002420,综合-综合-综合Ⅲ,33
301528.SZ,301528,机械设备-通用设备-仪器仪表,33
603109.SH,603109,汽车-汽车零部件-其他汽车零部件,17
300762.SZ,300762,国防军工-军工电子-军工电子Ⅲ,33
603956.SH,603956,机械设备-专用设备-其他专用设备,17
688070.SH,688070,国防军工-军工装备-航空装备,17
605333.SH,605333,汽车-汽车零部件-汽车电子电气系统,17
300138.SZ,300138,农林牧渔-农产品加工-其他农产品加工,33
300536.SZ,300536,计算机-IT服务-IT服务Ⅲ,33
002985.SZ,002985,国防军工-军工装备-航空装备,33
688180.SH,688180,医药生物-生物制品-其他生物制品,17
002126.SZ,002126,汽车-汽车零部件-底盘与发动机系统,33
003036.SZ,003036,机械设备-专用设备-纺织服装设备,33
605011.SH,605011,公用事业-电力-热力,17
300460.SZ,300460,电子-元件-被动元件,33
002286.SZ,002286,农林牧渔-农产品加工-其他农产品加工,33
000561.SZ,000561,国防军工-军工装备-航空装备,33
301170.SZ,301170,汽车-汽车零部件-底盘与发动机系统,33
301383.SZ,301383,电子-消费电子-消费电子零部件及组装,33
000534.SZ,000534,医药生物-生物制品-其他生物制品,33
002137.SZ,002137,电子-光学光电子-LED,33
301008.SZ,301008,家用电器-白色家电-家电零部件,33
