code,股票代码,market_code,所属同花顺行业
603211,603211.SH,17,汽车-汽车零部件-其他汽车零部件
002190,002190.SZ,33,汽车-汽车零部件-其他汽车零部件
603895,603895.SH,17,机械设备-专用设备-其他专用设备
001359,001359.SZ,33,基础化工-非金属材料-非金属材料Ⅲ
605198,605198.SH,17,食品饮料-饮料制造-软饮料
001211,001211.SZ,33,轻工制造-家居用品-其他家居用品
603052,603052.SH,17,电子-消费电子-消费电子零部件及组装
603061,603061.SH,17,电子-半导体-半导体设备
603688,603688.SH,17,基础化工-非金属材料-非金属材料Ⅲ
002300,002300.SZ,33,电力设备-电网设备-线缆部件及其他
002606,002606.SZ,33,电力设备-电网设备-线缆部件及其他
603331,603331.SH,17,机械设备-通用设备-其他通用设备
603320,603320.SH,17,电力设备-电机-电机Ⅲ
600488,600488.SH,17,医药生物-化学制药-化学制剂
002498,002498.SZ,33,电力设备-电网设备-线缆部件及其他
603037,603037.SH,17,汽车-汽车零部件-底盘与发动机系统
002560,002560.SZ,33,电力设备-电网设备-线缆部件及其他
002428,002428.SZ,33,有色金属-小金属-其他小金属
000006,000006.SZ,33,房地产-房地产-住宅开发
603186,603186.SH,17,电子-元件-印制电路板
001259,001259.SZ,33,家用电器-小家电-小家电Ⅲ
002552,002552.SZ,33,电子-元件-印制电路板
600869,600869.SH,17,电力设备-电网设备-线缆部件及其他
002346,002346.SZ,33,电力设备-电网设备-输变电设备
000672,000672.SZ,33,建筑材料-建筑材料-水泥
002787,002787.SZ,33,轻工制造-包装印刷-包装
002491,002491.SZ,33,通信-通信设备-通信线缆及配套
002918,002918.SZ,33,轻工制造-家居用品-瓷砖地板
002254,002254.SZ,33,基础化工-化学纤维-其他纤维
000591,000591.SZ,33,公用事业-电力-新能源发电
002522,002522.SZ,33,基础化工-塑料制品-膜材料
300877,300877.SZ,33,纺织服饰-纺织制造-其他纺织
000767,000767.SZ,33,公用事业-电力-火电
688785,688785.SH,17,电子-半导体-半导体设备
688308,688308.SH,17,机械设备-通用设备-金属制品
688668,688668.SH,17,通信-通信设备-通信网络设备及器件
688109,688109.SH,17,计算机-软件开发-垂直应用软件
300283,300283.SZ,33,电力设备-电网设备-输变电设备
688150,688150.SH,17,电子-电子化学品-电子化学品Ⅲ
301059,301059.SZ,33,美容护理-美容护理-个护用品
300260,300260.SZ,33,轻工制造-包装印刷-包装
300983,300983.SZ,33,建筑装饰-建筑装饰-工程咨询服务
688478,688478.SH,17,电子-半导体-半导体设备
688611,688611.SH,17,电力设备-电网设备-电气自控设备
301361,301361.SZ,33,电力设备-电网设备-输变电设备
688205,688205.SH,17,通信-通信设备-通信网络设备及器件
688813,688813.SH,17,机械设备-专用设备-其他专用设备
688603,688603.SH,17,电子-电子化学品-电子化学品Ⅲ
300444,300444.SZ,33,电力设备-电网设备-输变电设备
301172,301172.SZ,33,计算机-IT服务-IT服务Ⅲ
000981,000981.SZ,33,汽车-汽车零部件-底盘与发动机系统
688601,688601.SH,17,电子-半导体-模拟芯片设计
300001,300001.SZ,33,电力设备-电网设备-输变电设备
301217,301217.SZ,33,电力设备-电池-锂电池
603950,603950.SH,17,汽车-汽车零部件-底盘与发动机系统
603618,603618.SH,17,电力设备-电网设备-线缆部件及其他
300964,300964.SZ,33,电子-元件-印制电路板
000066,000066.SZ,33,计算机-计算机设备-其他计算机设备
300667,300667.SZ,33,机械设备-通用设备-仪器仪表
300308,300308.SZ,33,通信-通信设备-通信网络设备及器件
603916,603916.SH,17,基础化工-化学制品-其他化学制品
300243,300243.SZ,33,基础化工-塑料制品-其他塑料制品
000935,000935.SZ,33,非银金融-多元金融-多元金融Ⅲ
603938,603938.SH,17,基础化工-化学原料-其他化学原料
688222,688222.SH,17,医药生物-医疗服务-医疗研发外包
301093,301093.SZ,33,医药生物-医疗器械-医疗耗材
688213,688213.SH,17,电子-半导体-数字芯片设计
688508,688508.SH,17,电子-半导体-模拟芯片设计
300478,300478.SZ,33,基础化工-塑料制品-改性塑料
920125,920125.BJ,151,机械设备-自动化设备-其他自动化设备
603045,603045.SH,17,电力设备-电网设备-输变电设备
601126,601126.SH,17,电力设备-电网设备-电气自控设备
000949,000949.SZ,33,基础化工-化学纤维-氨纶
688143,688143.SH,17,通信-通信设备-通信线缆及配套
002637,002637.SZ,33,基础化工-化学制品-其他化学制品
003026,003026.SZ,33,电子-半导体-半导体材料
301317,301317.SZ,33,机械设备-通用设备-其他通用设备
600601,600601.SH,17,电子-元件-印制电路板
300310,300310.SZ,33,通信-通信服务-通信工程及服务
002545,002545.SZ,33,基础化工-农化制品-钾肥
688159,688159.SH,17,通信-通信设备-通信终端及配件
300215,300215.SZ,33,社会服务-其他社会服务-专业服务
603777,603777.SH,17,食品饮料-食品加工制造-休闲食品
300267,300267.SZ,33,医药生物-化学制药-原料药
688800,688800.SH,17,电子-其他电子-其他电子Ⅲ
301357,301357.SZ,33,国防军工-军工装备-地面兵装
002831,002831.SZ,33,轻工制造-包装印刷-包装
600032,600032.SH,17,公用事业-电力-新能源发电
688096,688096.SH,17,环保-环境治理-水务及水治理
688383,688383.SH,17,机械设备-专用设备-其他专用设备
300880,300880.SZ,33,电力设备-电网设备-电气自控设备
600192,600192.SH,17,电力设备-电网设备-输变电设备
920086,920086.BJ,151,汽车-汽车零部件-底盘与发动机系统
603126,603126.SH,17,环保-环境治理-固废治理
605068,605068.SH,17,汽车-汽车零部件-车身附件及饰件
002903,002903.SZ,33,机械设备-通用设备-机床工具
601958,601958.SH,17,有色金属-小金属-钼
300295,300295.SZ,33,传媒-文化传媒-数字媒体
600184,600184.SH,17,国防军工-军工装备-地面兵装
688498,688498.SH,17,电子-半导体-分立器件
688256,688256.SH,17,电子-半导体-数字芯片设计
301373,301373.SZ,33,基础化工-化学制品-其他化学制品
605098,605098.SH,17,社会服务-教育-教育Ⅲ
300317,300317.SZ,33,公用事业-电力-新能源发电
002896,002896.SZ,33,机械设备-通用设备-金属制品
600698,600698.SH,17,汽车-汽车零部件-底盘与发动机系统
301150,301150.SZ,33,电力设备-电池-锂电池
688332,688332.SH,17,电子-半导体-数字芯片设计
688272,688272.SH,17,国防军工-军工电子-军工电子Ⅲ
300062,300062.SZ,33,电力设备-电网设备-输变电设备
920118,920118.BJ,151,电力设备-电网设备-线缆部件及其他
600769,600769.SH,17,环保-环境治理-水务及水治理
002897,002897.SZ,33,通信-通信设备-通信网络设备及器件
920007,920007.BJ,151,电力设备-光伏设备-光伏辅材
688409,688409.SH,17,电子-半导体-半导体设备
688796,688796.SH,17,医药生物-医疗服务-医疗研发外包
300323,300323.SZ,33,电子-光学光电子-LED
302132,302132.SZ,33,国防军工-军工装备-航空装备
002126,002126.SZ,33,汽车-汽车零部件-底盘与发动机系统
002392,002392.SZ,33,建筑材料-建筑材料-耐火材料
601179,601179.SH,17,电力设备-电网设备-输变电设备
002870,002870.SZ,33,汽车-汽车零部件-汽车电子电气系统
300567,300567.SZ,33,机械设备-通用设备-仪器仪表
688266,688266.SH,17,医药生物-化学制药-化学制剂
002293,002293.SZ,33,纺织服饰-服装家纺-家纺
601609,601609.SH,17,有色金属-工业金属-铜
300943,300943.SZ,33,机械设备-通用设备-金属制品
300285,300285.SZ,33,电子-电子化学品-电子化学品Ⅲ
920299,920299.BJ,151,电力设备-电网设备-电气自控设备
002129,002129.SZ,33,电力设备-光伏设备-硅料硅片
688545,688545.SH,17,电子-电子化学品-电子化学品Ⅲ
688509,688509.SH,17,计算机-IT服务-IT服务Ⅲ
002939,002939.SZ,33,非银金融-证券-证券Ⅲ
601606,601606.SH,17,国防军工-军工装备-地面兵装
002975,002975.SZ,33,机械设备-自动化设备-工控设备
601858,601858.SH,17,传媒-文化传媒-出版
001210,001210.SZ,33,公用事业-电力-热力
920174,920174.BJ,151,机械设备-工程机械-工程机械Ⅲ
688319,688319.SH,17,医药生物-生物制品-疫苗
603798,603798.SH,17,石油石化-石油加工贸易-石油加工
301179,301179.SZ,33,电力设备-电网设备-电气自控设备
301369,301369.SZ,33,电子-半导体-半导体设备
688519,688519.SH,17,电子-元件-印制电路板
300693,300693.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ
300568,300568.SZ,33,电力设备-电池-电池化学品
920284,920284.BJ,151,机械设备-专用设备-其他专用设备
605208,605208.SH,17,有色金属-工业金属-铝
002283,002283.SZ,33,汽车-汽车零部件-底盘与发动机系统
603920,603920.SH,17,电子-元件-印制电路板
002431,002431.SZ,33,建筑装饰-建筑装饰-装饰园林
688141,688141.SH,17,电子-半导体-模拟芯片设计
300687,300687.SZ,33,计算机-IT服务-IT服务Ⅲ
600187,600187.SH,22,环保-环境治理-水务及水治理
002501,002501.SZ,33,有色金属-工业金属-铝
301123,301123.SZ,33,电子-消费电子-消费电子零部件及组装
603823,603823.SH,17,基础化工-化学制品-涂料油墨
688381,688381.SH,17,电子-半导体-模拟芯片设计
603530,603530.SH,17,电力设备-电网设备-线缆部件及其他
600550,600550.SH,17,电力设备-电网设备-输变电设备
600537,600537.SH,22,电力设备-光伏设备-光伏电池组件
300845,300845.SZ,33,计算机-计算机设备-其他计算机设备
002788,002788.SZ,33,医药生物-医药商业-医药流通
300683,300683.SZ,33,医药生物-医疗服务-医疗研发外包
300502,300502.SZ,33,通信-通信设备-通信网络设备及器件
300287,300287.SZ,33,计算机-IT服务-IT服务Ⅲ
603557,603557.SH,22,纺织服饰-服装家纺-服装
603816,603816.SH,17,轻工制造-家居用品-成品家居
600082,600082.SH,22,房地产-房地产-产业地产
300661,300661.SZ,33,电子-半导体-模拟芯片设计
000908,000908.SZ,33,医药生物-化学制药-化学制剂
600735,600735.SH,22,纺织服饰-服装家纺-饰品
600730,600730.SH,22,社会服务-教育-教育Ⅲ
600084,600084.SH,22,食品饮料-饮料制造-其他酒类
000711,000711.SZ,33,环保-环境治理-综合环境治理
603189,603189.SH,22,计算机-软件开发-垂直应用软件
600381,600381.SH,22,食品饮料-食品加工制造-其他食品
002207,002207.SZ,33,石油石化-油气开采及服务-油服工程
002789,002789.SZ,33,建筑装饰-建筑装饰-装饰园林
603559,603559.SH,22,通信-通信服务-通信工程及服务
002175,002175.SZ,33,机械设备-通用设备-仪器仪表
002112,002112.SZ,33,电力设备-电网设备-输变电设备
300607,300607.SZ,33,机械设备-自动化设备-机器人
603398,603398.SH,22,电力设备-光伏设备-硅料硅片
002856,002856.SZ,33,建筑装饰-建筑装饰-装饰园林
920047,920047.BJ,151,医药生物-生物制品-其他生物制品
603580,603580.SH,22,基础化工-塑料制品-其他塑料制品
000909,000909.SZ,33,房地产-房地产-产业地产
603021,603021.SH,22,轻工制造-家居用品-其他家居用品
000010,000010.SZ,33,建筑装饰-建筑装饰-装饰园林
603272,603272.SH,22,轻工制造-家居用品-其他家居用品
002289,002289.SZ,33,通信-通信服务-通信应用增值服务
002199,002199.SZ,33,电子-元件-被动元件
000632,000632.SZ,33,综合-综合-综合Ⅲ
603378,603378.SH,22,建筑材料-建筑材料-其他建材
002693,002693.SZ,33,医药生物-生物制品-其他生物制品
603738,603738.SH,17,电子-元件-被动元件
600302,600302.SH,22,机械设备-专用设备-纺织服装设备
002528,002528.SZ,33,计算机-计算机设备-安防设备
301666,301666.SZ,33,电子-半导体-数字芯片设计
300931,300931.SZ,33,机械设备-专用设备-楼宇设备
688351,688351.SH,17,医药生物-医疗器械-医疗耗材
600734,600734.SH,22,计算机-IT服务-IT服务Ⅲ
688275,688275.SH,17,电力设备-电池-电池化学品
688082,688082.SH,17,电子-半导体-半导体设备
603959,603959.SH,22,建筑装饰-建筑装饰-专业工程
688209,688209.SH,17,电子-半导体-模拟芯片设计
300163,300163.SZ,33,轻工制造-家居用品-其他家居用品
002514,002514.SZ,33,机械设备-通用设备-金属制品
000826,000826.SZ,33,环保-环境治理-综合环境治理
688079,688079.SH,17,电子-光学光电子-光学元件
600337,600337.SH,22,轻工制造-家居用品-成品家居
300225,300225.SZ,33,基础化工-化学制品-涂料油墨
600276,600276.SH,17,医药生物-化学制药-化学制剂
002015,002015.SZ,33,公用事业-电力-新能源发电
603693,603693.SH,17,公用事业-电力-新能源发电
688261,688261.SH,17,电子-半导体-分立器件
301609,301609.SZ,33,电力设备-电网设备-电气自控设备
002102,002102.SZ,33,医药生物-化学制药-原料药
300677,300677.SZ,33,医药生物-医疗器械-医疗耗材
688089,688089.SH,17,基础化工-化学制品-食品及饲料添加剂
300333,300333.SZ,33,计算机-计算机设备-其他计算机设备
601339,601339.SH,17,纺织服饰-纺织制造-棉纺
688123,688123.SH,17,电子-半导体-数字芯片设计
600353,600353.SH,17,电子-其他电子-其他电子Ⅲ
301502,301502.SZ,33,电力设备-电机-电机Ⅲ
688307,688307.SH,17,电子-光学光电子-光学元件
688766,688766.SH,17,电子-半导体-数字芯片设计
002038,002038.SZ,33,医药生物-化学制药-化学制剂
300780,300780.SZ,33,机械设备-通用设备-金属制品
000037,000037.SZ,33,公用事业-电力-火电
300005,300005.SZ,33,纺织服饰-服装家纺-服装
603386,603386.SH,17,电子-元件-印制电路板
603776,603776.SH,17,汽车-汽车服务及其他-其他运输设备
301629,301629.SZ,33,电子-半导体-半导体设备
688059,688059.SH,17,机械设备-通用设备-金属制品
002080,002080.SZ,33,建筑材料-建筑材料-玻璃玻纤
600552,600552.SH,17,电子-光学光电子-面板
688655,688655.SH,17,电子-元件-印制电路板
300252,300252.SZ,33,国防军工-军工电子-军工电子Ⅲ
300427,300427.SZ,33,电力设备-电网设备-电气自控设备
603459,603459.SH,17,电子-元件-印制电路板
301056,301056.SZ,33,机械设备-专用设备-楼宇设备
002536,002536.SZ,33,汽车-汽车零部件-底盘与发动机系统
600158,600158.SH,17,社会服务-其他社会服务-体育
001317,001317.SZ,33,交通运输-物流-物流Ⅲ
688126,688126.SH,17,电子-半导体-半导体材料
300679,300679.SZ,33,电子-消费电子-消费电子零部件及组装
600624,600624.SH,22,医药生物-化学制药-化学制剂
300084,300084.SZ,33,机械设备-专用设备-能源及重型设备
300131,300131.SZ,33,电子-其他电子-其他电子Ⅲ
002222,002222.SZ,33,电子-光学光电子-光学元件
600819,600819.SH,17,建筑材料-建筑材料-玻璃玻纤
600973,600973.SH,17,电力设备-电网设备-线缆部件及其他
603800,603800.SH,17,机械设备-专用设备-其他专用设备
600703,600703.SH,17,电子-光学光电子-LED
301363,301363.SZ,33,医药生物-医疗器械-医疗设备
301157,301157.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ
300460,300460.SZ,33,电子-元件-被动元件
301007,301007.SZ,33,汽车-汽车零部件-底盘与发动机系统
300236,300236.SZ,33,电子-电子化学品-电子化学品Ⅲ
603997,603997.SH,17,汽车-汽车零部件-车身附件及饰件
688536,688536.SH,17,电子-半导体-模拟芯片设计
920719,920719.BJ,151,基础化工-非金属材料-非金属材料Ⅲ
301200,301200.SZ,33,机械设备-自动化设备-其他自动化设备
300113,300113.SZ,33,通信-通信服务-通信应用增值服务
688630,688630.SH,17,机械设备-专用设备-其他专用设备
688055,688055.SH,17,电子-光学光电子-面板
605055,605055.SH,17,纺织服饰-纺织制造-印染
603826,603826.SH,17,基础化工-非金属材料-非金属材料Ⅲ
002547,002547.SZ,33,通信-通信设备-通信网络设备及器件
603979,603979.SH,17,有色金属-工业金属-铜
002154,002154.SZ,33,纺织服饰-服装家纺-服装
688371,688371.SH,17,电子-电子化学品-电子化学品Ⅲ
300228,300228.SZ,33,机械设备-通用设备-金属制品
688585,688585.SH,17,基础化工-塑料制品-合成树脂
600323,600323.SH,17,环保-环境治理-固废治理
603922,603922.SH,22,汽车-汽车零部件-其他汽车零部件
001382,001382.SZ,33,电力设备-电网设备-线缆部件及其他
688502,688502.SH,17,电子-光学光电子-光学元件
600198,600198.SH,17,电子-半导体-数字芯片设计
000722,000722.SZ,33,公用事业-电力-水电
301387,301387.SZ,33,电子-消费电子-消费电子零部件及组装
003018,003018.SZ,33,轻工制造-包装印刷-包装
603466,603466.SH,17,传媒-文化传媒-数字媒体
605006,605006.SH,17,建筑材料-建筑材料-玻璃玻纤
600382,600382.SH,17,钢铁-钢铁-冶钢原料
601231,601231.SH,17,电子-消费电子-消费电子零部件及组装
688781,688781.SH,17,电子-光学光电子-面板
600707,600707.SH,17,电子-光学光电子-面板
688234,688234.SH,17,电子-半导体-半导体材料
688257,688257.SH,17,机械设备-通用设备-金属制品
605365,605365.SH,17,电子-光学光电子-LED
301696,301696.SZ,33,国防军工-军工装备-航空装备
688152,688152.SH,17,计算机-软件开发-横向通用软件
000837,000837.SZ,33,机械设备-通用设备-机床工具
300875,300875.SZ,33,国防军工-军工装备-地面兵装
920809,920809.BJ,151,电力设备-电池-电池化学品
600278,600278.SH,17,商贸零售-贸易-贸易Ⅲ
002848,002848.SZ,33,家用电器-黑色家电-其他黑色家电
605186,605186.SH,17,机械设备-自动化设备-其他自动化设备
002244,002244.SZ,33,房地产-房地产-住宅开发
301421,301421.SZ,33,电子-光学光电子-光学元件
920091,920091.BJ,151,机械设备-专用设备-其他专用设备
600340,600340.SH,22,房地产-房地产-产业地产
002569,002569.SZ,33,纺织服饰-服装家纺-服装
301389,301389.SZ,33,电子-消费电子-消费电子零部件及组装
600644,600644.SH,17,公用事业-电力-电能综合服务
688208,688208.SH,17,计算机-计算机设备-其他计算机设备
603489,603489.SH,17,电力设备-电机-电机Ⅲ
002559,002559.SZ,33,机械设备-通用设备-机床工具
688028,688028.SH,17,机械设备-通用设备-磨具磨料
920394,920394.BJ,151,轻工制造-造纸-造纸Ⅲ
603558,603558.SH,17,纺织服饰-服装家纺-鞋帽及其他
000966,000966.SZ,33,公用事业-电力-火电
603358,603358.SH,17,汽车-汽车零部件-其他汽车零部件
601636,601636.SH,17,建筑材料-建筑材料-玻璃玻纤
300098,300098.SZ,33,通信-通信设备-通信网络设备及器件
920433,920433.BJ,151,医药生物-中药-中药Ⅲ
002331,002331.SZ,33,计算机-IT服务-IT服务Ⅲ
601816,601816.SH,17,交通运输-公路铁路运输-铁路运输
688685,688685.SH,17,国防军工-军工装备-航空装备
000636,000636.SZ,33,电子-元件-被动元件
601168,601168.SH,17,有色金属-工业金属-铜
920533,920533.BJ,151,汽车-汽车零部件-车身附件及饰件
300303,300303.SZ,33,电子-光学光电子-LED
600777,600777.SH,22,石油石化-油气开采及服务-油气开采
600089,600089.SH,17,综合-综合-综合Ⅲ
688719,688719.SH,17,电力设备-其他电源设备-其他电源设备Ⅲ
002718,002718.SZ,33,建筑材料-建筑材料-其他建材
002608,002608.SZ,33,公用事业-电力-火电
002860,002860.SZ,33,家用电器-白色家电-家电零部件
600358,600358.SH,17,传媒-文化传媒-广告营销
688720,688720.SH,17,电子-半导体-半导体材料
603931,603931.SH,17,电子-电子化学品-电子化学品Ⅲ
000426,000426.SZ,33,有色金属-贵金属-贵金属Ⅲ
301608,301608.SZ,33,汽车-汽车零部件-汽车电子电气系统
600178,600178.SH,17,汽车-汽车零部件-底盘与发动机系统
301419,301419.SZ,33,通信-通信设备-通信网络设备及器件
920699,920699.BJ,151,家用电器-白色家电-家电零部件
600958,600958.SH,17,非银金融-证券-证券Ⅲ
603838,603838.SH,22,轻工制造-家居用品-其他家居用品
603578,603578.SH,17,家用电器-白色家电-家电零部件
600801,600801.SH,17,建筑材料-建筑材料-水泥
600153,600153.SH,17,交通运输-物流-物流Ⅲ
920169,920169.BJ,151,机械设备-通用设备-金属制品
300415,300415.SZ,33,机械设备-专用设备-其他专用设备
002597,002597.SZ,33,基础化工-化学制品-食品及饲料添加剂
920006,920006.BJ,151,国防军工-军工装备-航空装备
000862,000862.SZ,33,公用事业-电力-新能源发电
300867,300867.SZ,33,环保-环境治理-固废治理
300040,300040.SZ,33,公用事业-电力-电能综合服务
301631,301631.SZ,33,汽车-汽车零部件-汽车电子电气系统
301281,301281.SZ,33,医药生物-化学制药-化学制剂
605255,605255.SH,17,汽车-汽车零部件-底盘与发动机系统
300640,300640.SZ,33,轻工制造-家居用品-其他家居用品
300689,300689.SZ,33,通信-通信设备-通信终端及配件
000899,000899.SZ,33,公用事业-电力-火电
300834,300834.SZ,33,基础化工-塑料制品-改性塑料
688551,688551.SH,17,电力设备-其他电源设备-其他电源设备Ⅲ
001258,001258.SZ,33,公用事业-电力-新能源发电
000768,000768.SZ,33,国防军工-军工装备-航空装备
000993,000993.SZ,33,公用事业-电力-水电
688188,688188.SH,17,机械设备-自动化设备-工控设备
300394,300394.SZ,33,通信-通信设备-通信网络设备及器件
601208,601208.SH,17,基础化工-塑料制品-膜材料
688627,688627.SH,17,机械设备-专用设备-其他专用设备
688165,688165.SH,17,机械设备-自动化设备-机器人
920018,920018.BJ,151,电力设备-电网设备-线缆部件及其他
000537,000537.SZ,33,公用事业-电力-新能源发电
300790,300790.SZ,33,计算机-计算机设备-安防设备
002034,002034.SZ,33,环保-环境治理-固废治理
002601,002601.SZ,33,基础化工-化学原料-钛白粉
000070,000070.SZ,33,通信-通信设备-通信线缆及配套
688793,688793.SH,17,家用电器-小家电-小家电Ⅲ
300814,300814.SZ,33,电子-元件-印制电路板
300967,300967.SZ,33,农林牧渔-养殖业-肉鸡养殖
603281,603281.SH,17,基础化工-化学制品-有机硅
688479,688479.SH,17,计算机-软件开发-垂直应用软件
301313,301313.SZ,33,传媒-文化传媒-数字媒体
000793,000793.SZ,33,传媒-文化传媒-出版
920438,920438.BJ,151,电子-光学光电子-光学元件
603132,603132.SH,17,有色金属-工业金属-铅锌
603726,603726.SH,17,家用电器-白色家电-家电零部件
300731,300731.SZ,33,基础化工-橡胶制品-其他橡胶制品
300234,300234.SZ,33,建筑材料-建筑材料-其他建材
301203,301203.SZ,33,环保-环境治理-水务及水治理
300968,300968.SZ,33,电子-消费电子-消费电子零部件及组装
600299,600299.SH,17,基础化工-化学制品-食品及饲料添加剂
002651,002651.SZ,33,国防军工-军工装备-航空装备
300200,300200.SZ,33,基础化工-化学制品-聚氨酯
002493,002493.SZ,33,石油石化-石油加工贸易-石油加工
002951,002951.SZ,33,电力设备-其他电源设备-其他电源设备Ⅲ
688390,688390.SH,17,电力设备-光伏设备-逆变器
301088,301088.SZ,33,纺织服饰-服装家纺-服装
688218,688218.SH,17,机械设备-自动化设备-机器人
002648,002648.SZ,33,基础化工-化学制品-其他化学制品
301566,301566.SZ,33,电子-元件-被动元件
300257,300257.SZ,33,机械设备-通用设备-其他通用设备
688392,688392.SH,17,电力设备-电池-锂电专用设备
603993,603993.SH,17,有色金属-工业金属-铜
603439,603439.SH,17,医药生物-中药-中药Ⅲ
001286,001286.SZ,33,公用事业-电力-火电
688361,688361.SH,17,电子-半导体-半导体设备
603855,603855.SH,17,机械设备-专用设备-其他专用设备
603278,603278.SH,17,机械设备-通用设备-金属制品
300745,300745.SZ,33,汽车-汽车零部件-汽车电子电气系统
601869,601869.SH,17,通信-通信设备-通信线缆及配套
002265,002265.SZ,33,国防军工-军工装备-地面兵装
603042,603042.SH,17,通信-通信设备-通信线缆及配套
301275,301275.SZ,33,电子-其他电子-其他电子Ⅲ
000068,000068.SZ,33,环保-环境治理-综合环境治理
002929,002929.SZ,33,通信-通信服务-通信工程及服务
300432,300432.SZ,33,汽车-汽车零部件-底盘与发动机系统
300401,300401.SZ,33,医药生物-化学制药-原料药
600791,600791.SH,17,房地产-房地产-住宅开发
603969,603969.SH,17,机械设备-通用设备-金属制品
301458,301458.SZ,33,电子-元件-被动元件
688201,688201.SH,22,计算机-软件开发-横向通用软件
301227,301227.SZ,33,轻工制造-家居用品-定制家居
600480,600480.SH,17,汽车-汽车零部件-其他汽车零部件
000011,000011.SZ,33,房地产-房地产-房地产服务
002529,002529.SZ,33,机械设备-专用设备-其他专用设备
920682,920682.BJ,151,电力设备-电网设备-线缆部件及其他
603222,603222.SH,17,医药生物-医疗器械-医疗耗材
300715,300715.SZ,33,建筑材料-建筑材料-其他建材
600236,600236.SH,17,公用事业-电力-水电
300335,300335.SZ,33,公用事业-电力-热力
920725,920725.BJ,151,机械设备-通用设备-磨具磨料
300129,300129.SZ,33,电力设备-风电设备-风电零部件
920062,920062.BJ,151,电力设备-电网设备-输变电设备
300227,300227.SZ,33,机械设备-自动化设备-激光设备
002309,002309.SZ,33,电力设备-电网设备-线缆部件及其他
603636,603636.SH,17,计算机-IT服务-IT服务Ⅲ
603801,603801.SH,17,轻工制造-家居用品-定制家居
600586,600586.SH,17,基础化工-化学原料-纯碱
301031,301031.SZ,33,电子-其他电子-其他电子Ⅲ
600982,600982.SH,17,公用事业-电力-热力
300457,300457.SZ,33,电力设备-电池-锂电专用设备
002810,002810.SZ,33,基础化工-化学制品-其他化学制品
688677,688677.SH,17,医药生物-医疗器械-医疗设备
603365,603365.SH,17,纺织服饰-服装家纺-家纺
688472,688472.SH,17,电力设备-光伏设备-光伏电池组件
300868,300868.SZ,33,电子-消费电子-消费电子零部件及组装
600753,600753.SH,22,交通运输-物流-物流Ⅲ
300205,300205.SZ,33,通信-通信设备-通信终端及配件
