code,market_code,股票代码,所属同花顺行业
603122,17,603122.SH,医药生物-医药商业-医药流通
601101,17,601101.SH,煤炭-煤炭开采加工-煤炭开采
002214,33,002214.SZ,国防军工-军工电子-军工电子Ⅲ
002194,33,002194.SZ,通信-通信设备-通信网络设备及器件
600397,17,600397.SH,机械设备-专用设备-能源及重型设备
002915,33,002915.SZ,基础化工-化学制品-氟化工
003029,33,003029.SZ,计算机-软件开发-横向通用软件
601699,17,601699.SH,煤炭-煤炭开采加工-煤炭开采
002759,33,002759.SZ,电力设备-电池-电池化学品
603988,17,603988.SH,电力设备-电机-电机Ⅲ
603738,17,603738.SH,电子-元件-被动元件
002212,33,002212.SZ,计算机-软件开发-横向通用软件
600330,17,600330.SH,电子-电子化学品-电子化学品Ⅲ
002973,33,002973.SZ,环保-环境治理-固废治理
605336,22,605336.SH,家用电器-厨卫电器-厨卫电器Ⅲ
002104,33,002104.SZ,通信-通信设备-通信终端及配件
002827,33,002827.SZ,基础化工-化学制品-民爆用品
603078,17,603078.SH,电子-电子化学品-电子化学品Ⅲ
002963,33,002963.SZ,建筑装饰-建筑装饰-装饰园林
001267,33,001267.SZ,通信-通信设备-通信网络设备及器件
600584,17,600584.SH,电子-半导体-集成电路封测
603228,17,603228.SH,电子-元件-印制电路板
603773,17,603773.SH,电子-光学光电子-面板
002180,33,002180.SZ,计算机-计算机设备-其他计算机设备
605366,17,605366.SH,基础化工-化学制品-有机硅
003036,33,003036.SZ,机械设备-专用设备-纺织服装设备
600985,17,600985.SH,煤炭-煤炭开采加工-煤炭开采
002971,33,002971.SZ,基础化工-化学制品-其他化学制品
603285,17,603285.SH,基础化工-化学制品-其他化学制品
002826,33,002826.SZ,医药生物-化学制药-化学制剂
002369,33,002369.SZ,电子-消费电子-消费电子零部件及组装
002975,33,002975.SZ,机械设备-自动化设备-工控设备
002428,33,002428.SZ,有色金属-小金属-其他小金属
600206,17,600206.SH,电子-半导体-半导体材料
002407,33,002407.SZ,基础化工-化学制品-氟化工
603823,17,603823.SH,基础化工-化学制品-涂料油墨
001378,33,001378.SZ,基础化工-塑料制品-膜材料
600262,17,600262.SH,机械设备-专用设备-能源及重型设备
603039,17,603039.SH,计算机-软件开发-横向通用软件
002552,33,002552.SZ,电子-元件-印制电路板
600829,17,600829.SH,医药生物-医药商业-医药流通
600721,17,600721.SH,医药生物-医疗服务-医疗研发外包
601666,17,601666.SH,煤炭-煤炭开采加工-煤炭开采
002792,33,002792.SZ,通信-通信设备-通信网络设备及器件
601700,17,601700.SH,电力设备-电网设备-线缆部件及其他
000908,33,000908.SZ,医药生物-化学制药-化学制剂
603221,17,603221.SH,轻工制造-家居用品-瓷砖地板
600127,17,600127.SH,农林牧渔-农产品加工-粮油加工
600272,17,600272.SH,医药生物-医药商业-医药流通
600188,17,600188.SH,煤炭-煤炭开采加工-煤炭开采
003040,33,003040.SZ,通信-通信设备-通信终端及配件
601678,17,601678.SH,基础化工-化学原料-氯碱
603106,17,603106.SH,计算机-计算机设备-其他计算机设备
688800,17,688800.SH,电子-其他电子-其他电子Ⅲ
600601,17,600601.SH,电子-元件-印制电路板
002302,33,002302.SZ,建筑材料-建筑材料-水泥
600156,17,600156.SH,纺织服饰-纺织制造-其他纺织
603421,17,603421.SH,通信-通信设备-通信网络设备及器件
600403,17,600403.SH,煤炭-煤炭开采加工-煤炭开采
600326,17,600326.SH,建筑材料-建筑材料-水泥
600665,17,600665.SH,房地产-房地产-住宅开发
600758,17,600758.SH,煤炭-煤炭开采加工-煤炭开采
688225,17,688225.SH,计算机-软件开发-横向通用软件
300941,33,300941.SZ,计算机-计算机设备-其他计算机设备
600378,17,600378.SH,基础化工-化学制品-氟化工
300400,33,300400.SZ,机械设备-自动化设备-其他自动化设备
601001,17,601001.SH,煤炭-煤炭开采加工-煤炭开采
300534,33,300534.SZ,医药生物-中药-中药Ⅲ
688571,17,688571.SH,基础化工-化学制品-涂料油墨
688310,17,688310.SH,机械设备-自动化设备-其他自动化设备
300189,33,300189.SZ,农林牧渔-种植业与林业-种子生产
688133,17,688133.SH,基础化工-化学制品-其他化学制品
301227,33,301227.SZ,轻工制造-家居用品-定制家居
688253,17,688253.SH,医药生物-医疗器械-体外诊断
301228,33,301228.SZ,社会服务-其他社会服务-专业服务
301328,33,301328.SZ,电子-其他电子-其他电子Ⅲ
603186,17,603186.SH,电子-元件-印制电路板
600121,17,600121.SH,煤炭-煤炭开采加工-煤炭开采
301310,33,301310.SZ,汽车-汽车零部件-汽车电子电气系统
000657,33,000657.SZ,有色金属-小金属-钨
688300,17,688300.SH,基础化工-非金属材料-非金属材料Ⅲ
301205,33,301205.SZ,通信-通信设备-通信网络设备及器件
603629,17,603629.SH,计算机-IT服务-IT服务Ⅲ
688630,17,688630.SH,机械设备-专用设备-其他专用设备
688268,17,688268.SH,电子-电子化学品-电子化学品Ⅲ
688403,17,688403.SH,电子-半导体-集成电路封测
300097,33,300097.SZ,机械设备-自动化设备-其他自动化设备
688215,17,688215.SH,机械设备-自动化设备-其他自动化设备
603124,17,603124.SH,有色金属-金属新材料-其他金属新材料
001339,33,001339.SZ,计算机-计算机设备-其他计算机设备
300127,33,300127.SZ,有色金属-金属新材料-磁性材料
301218,33,301218.SZ,计算机-IT服务-IT服务Ⅲ
301093,33,301093.SZ,医药生物-医疗器械-医疗耗材
603800,17,603800.SH,机械设备-专用设备-其他专用设备
603269,17,603269.SH,机械设备-通用设备-其他通用设备
603990,17,603990.SH,计算机-软件开发-垂直应用软件
920748,151,920748.BJ,计算机-IT服务-IT服务Ⅲ
920403,151,920403.BJ,农林牧渔-种植业与林业-种子生产
600354,17,600354.SH,农林牧渔-种植业与林业-种子生产
300849,33,300849.SZ,美容护理-美容护理-化妆品
301584,33,301584.SZ,医药生物-医药商业-医药流通
600546,17,600546.SH,煤炭-煤炭开采加工-煤炭开采
603398,22,603398.SH,电力设备-光伏设备-硅料硅片
688699,17,688699.SH,电子-半导体-模拟芯片设计
688362,17,688362.SH,电子-半导体-集成电路封测
603713,17,603713.SH,交通运输-物流-物流Ⅲ
603657,17,603657.SH,家用电器-白色家电-家电零部件
920061,151,920061.BJ,机械设备-专用设备-其他专用设备
603256,17,603256.SH,电子-电子化学品-电子化学品Ⅲ
300322,33,300322.SZ,电子-消费电子-消费电子零部件及组装
688296,17,688296.SH,计算机-软件开发-垂直应用软件
688146,17,688146.SH,电子-电子化学品-电子化学品Ⅲ
300961,33,300961.SZ,环保-环境治理-水务及水治理
000603,33,000603.SZ,有色金属-工业金属-铅锌
300369,33,300369.SZ,计算机-软件开发-横向通用软件
002579,33,002579.SZ,电子-元件-印制电路板
920834,151,920834.BJ,基础化工-橡胶制品-其他橡胶制品
688661,17,688661.SH,电子-半导体-半导体材料
300666,33,300666.SZ,电子-半导体-半导体材料
001288,33,001288.SZ,机械设备-专用设备-能源及重型设备
300548,33,300548.SZ,通信-通信设备-通信网络设备及器件
002446,33,002446.SZ,国防军工-军工电子-军工电子Ⅲ
920367,151,920367.BJ,医药生物-化学制药-原料药
601015,17,601015.SH,煤炭-煤炭开采加工-焦炭加工
605003,17,605003.SH,纺织服饰-服装家纺-家纺
301021,33,301021.SZ,机械设备-自动化设备-激光设备
688512,17,688512.SH,电子-半导体-模拟芯片设计
300191,33,300191.SZ,石油石化-油气开采及服务-油气开采
688220,17,688220.SH,电子-半导体-模拟芯片设计
301123,33,301123.SZ,电子-消费电子-消费电子零部件及组装
300469,33,300469.SZ,计算机-软件开发-垂直应用软件
300909,33,300909.SZ,电子-光学光电子-面板
688069,17,688069.SH,环保-环境治理-水务及水治理
002842,33,002842.SZ,有色金属-小金属-钨
600641,17,600641.SH,电子-半导体-半导体材料
688603,17,688603.SH,电子-电子化学品-电子化学品Ⅲ
600549,17,600549.SH,有色金属-小金属-钨
688548,17,688548.SH,电子-电子化学品-电子化学品Ⅲ
603650,17,603650.SH,基础化工-橡胶制品-其他橡胶制品
688038,17,688038.SH,计算机-软件开发-垂直应用软件
300878,33,300878.SZ,医药生物-中药-中药Ⅲ
605100,17,605100.SH,机械设备-通用设备-金属制品
002303,33,002303.SZ,轻工制造-包装印刷-包装
600976,17,600976.SH,医药生物-中药-中药Ⅲ
300721,33,300721.SZ,基础化工-化学制品-其他化学制品
603270,17,603270.SH,机械设备-通用设备-金属制品
300745,33,300745.SZ,汽车-汽车零部件-汽车电子电气系统
002636,33,002636.SZ,电子-元件-印制电路板
003015,33,003015.SZ,电子-光学光电子-光学元件
688103,17,688103.SH,电子-其他电子-其他电子Ⅲ
301201,33,301201.SZ,医药生物-医疗服务-医疗研发外包
600302,22,600302.SH,机械设备-专用设备-纺织服装设备
688319,17,688319.SH,医药生物-生物制品-疫苗
688662,17,688662.SH,电子-其他电子-其他电子Ⅲ
300419,33,300419.SZ,计算机-IT服务-IT服务Ⅲ
002734,33,002734.SZ,基础化工-农化制品-农药
301151,33,301151.SZ,机械设备-通用设备-金属制品
601898,17,601898.SH,煤炭-煤炭开采加工-煤炭开采
688669,17,688669.SH,基础化工-塑料制品-改性塑料
300468,33,300468.SZ,计算机-软件开发-垂直应用软件
688607,17,688607.SH,医药生物-医疗器械-医疗设备
002674,33,002674.SZ,纺织服饰-纺织制造-辅料
688783,17,688783.SH,电子-半导体-半导体材料
300814,33,300814.SZ,电子-元件-印制电路板
603377,22,603377.SH,社会服务-教育-教育Ⅲ
300756,33,300756.SZ,机械设备-专用设备-其他专用设备
605318,17,605318.SH,建筑材料-建筑材料-其他建材
300025,33,300025.SZ,通信-通信服务-通信工程及服务
688584,17,688584.SH,电子-半导体-半导体材料
603976,17,603976.SH,医药生物-医疗器械-医疗耗材
688237,17,688237.SH,国防军工-军工装备-航空装备
600730,22,600730.SH,社会服务-教育-教育Ⅲ
688596,17,688596.SH,机械设备-专用设备-其他专用设备
002631,33,002631.SZ,轻工制造-家居用品-瓷砖地板
300506,33,300506.SZ,建筑装饰-建筑装饰-装饰园林
601208,17,601208.SH,基础化工-塑料制品-膜材料
688612,17,688612.SH,汽车-汽车零部件-汽车电子电气系统
920174,151,920174.BJ,机械设备-工程机械-工程机械Ⅲ
688383,17,688383.SH,机械设备-专用设备-其他专用设备
600151,17,600151.SH,汽车-汽车零部件-底盘与发动机系统
002628,33,002628.SZ,建筑装饰-建筑装饰-基础建设
002493,33,002493.SZ,石油石化-石油加工贸易-石油加工
688646,22,688646.SH,机械设备-自动化设备-激光设备
002816,33,002816.SZ,机械设备-专用设备-其他专用设备
603333,17,603333.SH,电力设备-电网设备-线缆部件及其他
601231,17,601231.SH,电子-消费电子-消费电子零部件及组装
601069,17,601069.SH,有色金属-贵金属-贵金属Ⅲ
301029,33,301029.SZ,机械设备-自动化设备-其他自动化设备
300576,33,300576.SZ,电子-电子化学品-电子化学品Ⅲ
300290,33,300290.SZ,计算机-IT服务-IT服务Ⅲ
603601,17,603601.SH,建筑材料-建筑材料-玻璃玻纤
000505,33,000505.SZ,农林牧渔-农产品加工-粮油加工
300343,33,300343.SZ,基础化工-化学制品-氟化工
000639,33,000639.SZ,食品饮料-食品加工制造-其他食品
300916,33,300916.SZ,电子-消费电子-消费电子零部件及组装
603991,17,603991.SH,电子-半导体-半导体材料
000779,33,000779.SZ,建筑装饰-建筑装饰-工程咨询服务
688409,17,688409.SH,电子-半导体-半导体设备
002586,33,002586.SZ,建筑装饰-建筑装饰-基础建设
002705,33,002705.SZ,家用电器-小家电-小家电Ⅲ
300476,33,300476.SZ,电子-元件-印制电路板
688059,17,688059.SH,机械设备-通用设备-金属制品
688545,17,688545.SH,电子-电子化学品-电子化学品Ⅲ
301578,33,301578.SZ,家用电器-黑色家电-其他黑色家电
300462,33,300462.SZ,计算机-计算机设备-其他计算机设备
300935,33,300935.SZ,计算机-软件开发-垂直应用软件
300996,33,300996.SZ,计算机-软件开发-垂直应用软件
002319,33,002319.SZ,基础化工-化学制品-涂料油墨
688252,17,688252.SH,电子-半导体-数字芯片设计
301528,33,301528.SZ,机械设备-通用设备-仪器仪表
300804,33,300804.SZ,基础化工-农化制品-农药
002943,33,002943.SZ,机械设备-通用设备-机床工具
603262,17,603262.SH,食品饮料-食品加工制造-其他食品
600962,17,600962.SH,食品饮料-饮料制造-软饮料
300050,33,300050.SZ,通信-通信服务-通信工程及服务
688456,17,688456.SH,有色金属-金属新材料-其他金属新材料
603081,17,603081.SH,机械设备-专用设备-其他专用设备
300620,33,300620.SZ,通信-通信设备-通信网络设备及器件
301056,33,301056.SZ,机械设备-专用设备-楼宇设备
301042,33,301042.SZ,计算机-计算机设备-安防设备
920238,151,920238.BJ,机械设备-通用设备-金属制品
600488,17,600488.SH,医药生物-化学制药-化学制剂
301362,33,301362.SZ,电子-光学光电子-LED
002080,33,002080.SZ,建筑材料-建筑材料-玻璃玻纤
920266,151,920266.BJ,医药生物-中药-中药Ⅲ
000506,33,000506.SZ,有色金属-贵金属-贵金属Ⅲ
603663,17,603663.SH,基础化工-非金属材料-非金属材料Ⅲ
600313,17,600313.SH,农林牧渔-种植业与林业-种子生产
000069,33,000069.SZ,社会服务-旅游及酒店-旅游综合
300964,33,300964.SZ,电子-元件-印制电路板
688620,17,688620.SH,电子-半导体-数字芯片设计
605111,17,605111.SH,电子-半导体-分立器件
603330,17,603330.SH,基础化工-塑料制品-其他塑料制品
920505,151,920505.BJ,机械设备-通用设备-金属制品
300331,33,300331.SZ,电子-光学光电子-光学元件
603319,17,603319.SH,汽车-汽车零部件-底盘与发动机系统
300939,33,300939.SZ,电子-光学光电子-面板
002394,33,002394.SZ,纺织服饰-纺织制造-棉纺
603619,17,603619.SH,石油石化-油气开采及服务-油气开采
002569,33,002569.SZ,纺织服饰-服装家纺-服装
000571,33,000571.SZ,煤炭-煤炭开采加工-煤炭开采
920136,151,920136.BJ,汽车-汽车零部件-底盘与发动机系统
688359,17,688359.SH,电子-电子化学品-电子化学品Ⅲ
688106,17,688106.SH,电子-电子化学品-电子化学品Ⅲ
688295,17,688295.SH,基础化工-化学纤维-其他纤维
300765,33,300765.SZ,医药生物-化学制药-原料药
688200,17,688200.SH,电子-半导体-半导体设备
600367,17,600367.SH,基础化工-化学原料-无机盐
301070,33,301070.SZ,机械设备-通用设备-制冷空调设备
603869,22,603869.SH,计算机-IT服务-IT服务Ⅲ
002887,33,002887.SZ,环保-环境治理-综合环境治理
300346,33,300346.SZ,电子-电子化学品-电子化学品Ⅲ
688653,17,688653.SH,电子-半导体-模拟芯片设计
002913,33,002913.SZ,电子-元件-印制电路板
301338,33,301338.SZ,机械设备-专用设备-其他专用设备
002534,33,002534.SZ,电力设备-其他电源设备-其他电源设备Ⅲ
600246,17,600246.SH,房地产-房地产-住宅开发
000975,33,000975.SZ,有色金属-贵金属-贵金属Ⅲ
002156,33,002156.SZ,电子-半导体-集成电路封测
000889,33,000889.SZ,通信-通信服务-通信工程及服务
301058,33,301058.SZ,建筑装饰-建筑装饰-工程咨询服务
920218,151,920218.BJ,轻工制造-家居用品-其他家居用品
603931,17,603931.SH,电子-电子化学品-电子化学品Ⅲ
603061,17,603061.SH,电子-半导体-半导体设备
601869,17,601869.SH,通信-通信设备-通信线缆及配套
300746,33,300746.SZ,计算机-IT服务-IT服务Ⅲ
688565,17,688565.SH,环保-环境治理-水务及水治理
600105,17,600105.SH,通信-通信设备-通信线缆及配套
301237,33,301237.SZ,基础化工-塑料制品-膜材料
688508,17,688508.SH,电子-半导体-模拟芯片设计
300480,33,300480.SZ,机械设备-专用设备-能源及重型设备
000703,33,000703.SZ,基础化工-化学纤维-涤纶
600801,17,600801.SH,建筑材料-建筑材料-水泥
920976,151,920976.BJ,计算机-计算机设备-安防设备
002890,33,002890.SZ,机械设备-专用设备-农用机械
300985,33,300985.SZ,机械设备-通用设备-金属制品
603068,17,603068.SH,电子-半导体-模拟芯片设计
300706,33,300706.SZ,电子-半导体-半导体材料
301326,33,301326.SZ,电子-消费电子-消费电子零部件及组装
301051,33,301051.SZ,电子-消费电子-消费电子零部件及组装
301196,33,301196.SZ,基础化工-塑料制品-其他塑料制品
603928,17,603928.SH,基础化工-塑料制品-合成树脂
920981,151,920981.BJ,电子-元件-被动元件
603459,17,603459.SH,电子-元件-印制电路板
688328,17,688328.SH,机械设备-专用设备-其他专用设备
688191,17,688191.SH,计算机-IT服务-IT服务Ⅲ
300920,33,300920.SZ,基础化工-塑料制品-其他塑料制品
300147,33,300147.SZ,医药生物-中药-中药Ⅲ
002297,33,002297.SZ,国防军工-军工装备-航空装备
002796,33,002796.SZ,通信-通信设备-通信网络设备及器件
301273,33,301273.SZ,机械设备-通用设备-其他通用设备
688651,17,688651.SH,计算机-软件开发-横向通用软件
920701,151,920701.BJ,电子-消费电子-消费电子零部件及组装
001210,33,001210.SZ,公用事业-电力-热力
605566,17,605566.SH,基础化工-化学制品-纺织化学用品
300326,33,300326.SZ,医药生物-医疗器械-医疗耗材
603132,17,603132.SH,有色金属-工业金属-铅锌
002903,33,002903.SZ,机械设备-通用设备-机床工具
688060,17,688060.SH,计算机-计算机设备-其他计算机设备
300870,33,300870.SZ,电力设备-其他电源设备-其他电源设备Ⅲ
300715,33,300715.SZ,建筑材料-建筑材料-其他建材
300780,33,300780.SZ,机械设备-通用设备-金属制品
603666,17,603666.SH,机械设备-自动化设备-机器人
920699,151,920699.BJ,家用电器-白色家电-家电零部件
002972,33,002972.SZ,机械设备-轨交设备-轨交设备Ⅲ
300983,33,300983.SZ,建筑装饰-建筑装饰-工程咨询服务
300211,33,300211.SZ,机械设备-通用设备-仪器仪表
300585,33,300585.SZ,汽车-汽车零部件-底盘与发动机系统
002653,33,002653.SZ,医药生物-化学制药-化学制剂
603236,17,603236.SH,通信-通信设备-通信终端及配件
600172,17,600172.SH,机械设备-通用设备-磨具磨料
000615,33,000615.SZ,美容护理-美容护理-医疗美容
002935,33,002935.SZ,国防军工-军工电子-军工电子Ⅲ
920033,151,920033.BJ,基础化工-化学制品-其他化学制品
920866,151,920866.BJ,基础化工-农化制品-农药
002378,33,002378.SZ,有色金属-小金属-钨
920871,151,920871.BJ,基础化工-塑料制品-其他塑料制品
603716,17,603716.SH,医药生物-医药商业-医药流通
002041,33,002041.SZ,农林牧渔-种植业与林业-种子生产
688610,17,688610.SH,机械设备-通用设备-仪器仪表
300260,33,300260.SZ,轻工制造-包装印刷-包装
001331,33,001331.SZ,公用事业-燃气-燃气Ⅲ
600971,17,600971.SH,煤炭-煤炭开采加工-煤炭开采
000756,33,000756.SZ,医药生物-化学制药-原料药
603916,17,603916.SH,基础化工-化学制品-其他化学制品
002789,33,002789.SZ,建筑装饰-建筑装饰-装饰园林
300998,33,300998.SZ,汽车-汽车零部件-其他汽车零部件
920045,151,920045.BJ,通信-通信设备-通信网络设备及器件
688333,17,688333.SH,机械设备-通用设备-其他通用设备
688216,17,688216.SH,电子-半导体-集成电路封测
301128,33,301128.SZ,机械设备-专用设备-其他专用设备
301141,33,301141.SZ,有色金属-金属新材料-磁性材料
301045,33,301045.SZ,电子-光学光电子-面板
603313,17,603313.SH,轻工制造-家居用品-成品家居
002565,33,002565.SZ,轻工制造-包装印刷-包装
688028,17,688028.SH,机械设备-通用设备-磨具磨料
920275,151,920275.BJ,农林牧渔-农产品加工-畜禽饲料
301026,33,301026.SZ,有色金属-小金属-其他小金属
605358,17,605358.SH,电子-半导体-半导体材料
002899,33,002899.SZ,轻工制造-家居用品-文娱用品
688488,17,688488.SH,医药生物-生物制品-其他生物制品
001400,33,001400.SZ,机械设备-专用设备-其他专用设备
600353,17,600353.SH,电子-其他电子-其他电子Ⅲ
300975,33,300975.SZ,电子-其他电子-其他电子Ⅲ
002305,33,002305.SZ,商贸零售-零售-商业物业经营
688308,17,688308.SH,机械设备-通用设备-金属制品
600379,17,600379.SH,电力设备-电网设备-输变电设备
002741,33,002741.SZ,电子-电子化学品-电子化学品Ⅲ
002193,33,002193.SZ,纺织服饰-服装家纺-服装
301217,33,301217.SZ,电力设备-电池-锂电池
000962,33,000962.SZ,有色金属-小金属-其他小金属
600753,22,600753.SH,交通运输-物流-物流Ⅲ
603379,17,603379.SH,基础化工-化学制品-氟化工
688175,17,688175.SH,国防军工-军工电子-军工电子Ⅲ
603922,22,603922.SH,汽车-汽车零部件-其他汽车零部件
688371,17,688371.SH,电子-电子化学品-电子化学品Ⅲ
688257,17,688257.SH,机械设备-通用设备-金属制品
600611,17,600611.SH,交通运输-公路铁路运输-公交
300564,33,300564.SZ,建筑装饰-建筑装饰-工程咨询服务
301367,33,301367.SZ,医药生物-医疗器械-医疗设备
920247,151,920247.BJ,汽车-汽车零部件-其他汽车零部件
002824,33,002824.SZ,有色金属-工业金属-铝
603196,17,603196.SH,纺织服饰-服装家纺-服装
688102,17,688102.SH,有色金属-金属新材料-其他金属新材料
300570,33,300570.SZ,通信-通信设备-通信网络设备及器件
603660,17,603660.SH,计算机-计算机设备-其他计算机设备
688678,17,688678.SH,电子-消费电子-消费电子零部件及组装
605006,17,605006.SH,建筑材料-建筑材料-玻璃玻纤
920098,151,920098.BJ,基础化工-橡胶制品-其他橡胶制品
603936,17,603936.SH,电子-元件-印制电路板
688506,17,688506.SH,医药生物-化学制药-化学制剂
601225,17,601225.SH,煤炭-煤炭开采加工-煤炭开采
002849,33,002849.SZ,机械设备-通用设备-仪器仪表
603679,17,603679.SH,电子-光学光电子-LED
002289,33,002289.SZ,通信-通信服务-通信应用增值服务
300204,33,300204.SZ,医药生物-化学制药-化学制剂
601918,17,601918.SH,煤炭-煤炭开采加工-煤炭开采
688233,17,688233.SH,电子-半导体-半导体材料
002161,33,002161.SZ,电子-其他电子-其他电子Ⅲ
688184,22,688184.SH,电力设备-电池-电池化学品
603268,17,603268.SH,国防军工-军工装备-航海装备
002851,33,002851.SZ,电力设备-其他电源设备-其他电源设备Ⅲ
600395,17,600395.SH,煤炭-煤炭开采加工-煤炭开采
600405,17,600405.SH,电力设备-其他电源设备-其他电源设备Ⅲ
301373,33,301373.SZ,基础化工-化学制品-其他化学制品
920575,151,920575.BJ,医药生物-生物制品-疫苗
300606,33,300606.SZ,机械设备-通用设备-磨具磨料
600256,17,600256.SH,煤炭-煤炭开采加工-煤炭开采
300170,33,300170.SZ,计算机-IT服务-IT服务Ⅲ
603559,17,603559.SH,通信-通信服务-通信工程及服务
002831,33,002831.SZ,轻工制造-包装印刷-包装
300655,33,300655.SZ,电子-电子化学品-电子化学品Ⅲ
002774,33,002774.SZ,机械设备-专用设备-楼宇设备
300637,33,300637.SZ,基础化工-化学制品-其他化学制品
002185,33,002185.SZ,电子-半导体-集成电路封测
301037,33,301037.SZ,基础化工-化学制品-涂料油墨
300749,33,300749.SZ,轻工制造-家居用品-定制家居
605399,17,605399.SH,基础化工-化学制品-有机硅
600476,22,600476.SH,计算机-IT服务-IT服务Ⅲ
301191,33,301191.SZ,通信-通信设备-通信终端及配件
001337,33,001337.SZ,有色金属-贵金属-贵金属Ⅲ
301307,33,301307.SZ,通信-通信设备-通信网络设备及器件
300776,33,300776.SZ,电力设备-光伏设备-光伏加工设备
301055,33,301055.SZ,轻工制造-家居用品-其他家居用品
301043,33,301043.SZ,机械设备-通用设备-制冷空调设备
300497,33,300497.SZ,医药生物-化学制药-原料药
300716,33,300716.SZ,电力设备-光伏设备-光伏电池组件
688057,17,688057.SH,环保-环境治理-水务及水治理
603602,17,603602.SH,传媒-文化传媒-广告营销
688205,17,688205.SH,通信-通信设备-通信网络设备及器件
301118,33,301118.SZ,基础化工-化学原料-其他化学原料
301556,33,301556.SZ,计算机-IT服务-IT服务Ⅲ
300877,33,300877.SZ,纺织服饰-纺织制造-其他纺织
600199,17,600199.SH,食品饮料-白酒-白酒Ⅲ
688689,17,688689.SH,电子-半导体-分立器件
300648,33,300648.SZ,电力设备-电池-锂电专用设备
301312,33,301312.SZ,机械设备-自动化设备-工控设备
002875,33,002875.SZ,纺织服饰-服装家纺-服装
301536,33,301536.SZ,电子-半导体-数字芯片设计
600818,22,600818.SH,汽车-汽车服务及其他-其他运输设备
002316,33,002316.SZ,综合-综合-综合Ⅲ
605376,17,605376.SH,有色金属-能源金属-镍
301365,33,301365.SZ,建筑装饰-建筑装饰-工程咨询服务
600667,17,600667.SH,建筑装饰-建筑装饰-工程咨询服务
300394,33,300394.SZ,通信-通信设备-通信网络设备及器件
688387,17,688387.SH,通信-通信设备-通信网络设备及器件
002158,33,002158.SZ,机械设备-通用设备-制冷空调设备
301392,33,301392.SZ,机械设备-专用设备-其他专用设备
300626,33,300626.SZ,电力设备-电机-电机Ⅲ
688352,17,688352.SH,电子-半导体-集成电路封测
300522,33,300522.SZ,基础化工-化学制品-涂料油墨
603002,17,603002.SH,电子-电子化学品-电子化学品Ⅲ
600162,17,600162.SH,商贸零售-零售-商业物业经营
603938,17,603938.SH,基础化工-化学原料-其他化学原料
