股票代码,market_code,code,所属同花顺行业
605255.SH,17,605255,汽车-汽车零部件-底盘与发动机系统
002027.SZ,33,002027,传媒-文化传媒-广告营销
600356.SH,17,600356,轻工制造-造纸-造纸Ⅲ
002688.SZ,33,002688,农林牧渔-养殖业-动物保健
300063.SZ,33,300063,传媒-文化传媒-广告营销
688016.SH,17,688016,医药生物-医疗器械-医疗耗材
002730.SZ,33,002730,机械设备-专用设备-能源及重型设备
688022.SH,22,688022,机械设备-专用设备-其他专用设备
000679.SZ,33,000679,商贸零售-零售-百货零售
002743.SZ,33,002743,建筑装饰-建筑装饰-专业工程
920069.BJ,151,920069,医药生物-医疗器械-医疗耗材
301126.SZ,33,301126,医药生物-医药商业-医药流通
603585.SH,17,603585,基础化工-农化制品-农药
605303.SH,17,605303,建筑装饰-建筑装饰-装饰园林
301187.SZ,33,301187,家用电器-小家电-小家电Ⅲ
002110.SZ,33,002110,钢铁-钢铁-普钢
301515.SZ,33,301515,医药生物-医疗器械-医疗设备
603030.SH,17,603030,建筑装饰-建筑装饰-装饰园林
603429.SH,22,603429,轻工制造-包装印刷-包装
002092.SZ,33,002092,基础化工-化学原料-氯碱
000963.SZ,33,000963,医药生物-化学制药-化学制剂
002172.SZ,33,002172,医药生物-医疗服务-医院
002849.SZ,33,002849,机械设备-通用设备-仪器仪表
603165.SH,17,603165,轻工制造-造纸-造纸Ⅲ
301355.SZ,33,301355,轻工制造-包装印刷-包装
603376.SH,17,603376,汽车-汽车零部件-汽车电子电气系统
600066.SH,17,600066,汽车-汽车整车-商用载客车
301107.SZ,33,301107,机械设备-通用设备-其他通用设备
603909.SH,17,603909,建筑装饰-建筑装饰-工程咨询服务
600196.SH,17,600196,医药生物-化学制药-化学制剂
600455.SH,17,600455,社会服务-教育-教育Ⅲ
300653.SZ,33,300653,医药生物-医疗器械-医疗耗材
603055.SH,17,603055,纺织服饰-纺织制造-其他纺织
300771.SZ,33,300771,计算机-计算机设备-其他计算机设备
300171.SZ,33,300171,医药生物-医疗器械-医疗设备
600208.SH,17,600208,房地产-房地产-住宅开发
300923.SZ,33,300923,机械设备-轨交设备-轨交设备Ⅲ
601089.SH,17,601089,医药生物-化学制药-化学制剂
600060.SH,17,600060,家用电器-黑色家电-彩电
920478.BJ,151,920478,医药生物-化学制药-原料药
000710.SZ,33,000710,医药生物-医疗服务-其他医疗服务
301082.SZ,33,301082,电力设备-电网设备-线缆部件及其他
688302.SH,17,688302,医药生物-化学制药-化学制剂
301551.SZ,33,301551,传媒-文化传媒-电视广播
600930.SH,17,600930,公用事业-电力-新能源发电
920050.BJ,151,920050,医药生物-医疗器械-医疗耗材
920245.BJ,151,920245,机械设备-工程机械-工程机械Ⅲ
300979.SZ,33,300979,纺织服饰-纺织制造-其他纺织
300460.SZ,33,300460,电子-元件-被动元件
688283.SH,17,688283,通信-通信设备-其他通信设备
000990.SZ,33,000990,基础化工-化学原料-煤化工
300557.SZ,33,300557,机械设备-通用设备-仪器仪表
000862.SZ,33,000862,公用事业-电力-新能源发电
300719.SZ,33,300719,国防军工-军工装备-航空装备
601567.SH,17,601567,电力设备-电网设备-输变电设备
300733.SZ,33,300733,汽车-汽车零部件-底盘与发动机系统
688196.SH,17,688196,基础化工-化学制品-其他化学制品
000778.SZ,33,000778,钢铁-钢铁-普钢
600372.SH,17,600372,国防军工-军工装备-航空装备
300686.SZ,33,300686,电子-消费电子-消费电子零部件及组装
300741.SZ,33,300741,基础化工-化学制品-食品及饲料添加剂
688215.SH,17,688215,机械设备-自动化设备-其他自动化设备
688252.SH,17,688252,电子-半导体-数字芯片设计
600428.SH,17,600428,交通运输-港口航运-航运
600104.SH,17,600104,汽车-汽车整车-乘用车
002489.SZ,33,002489,轻工制造-家居用品-成品家居
600238.SH,22,600238,食品饮料-饮料制造-其他酒类
002760.SZ,33,002760,机械设备-通用设备-磨具磨料
002078.SZ,33,002078,轻工制造-造纸-造纸Ⅲ
300589.SZ,33,300589,国防军工-军工装备-航海装备
920651.BJ,151,920651,机械设备-通用设备-仪器仪表
600661.SH,17,600661,社会服务-教育-教育Ⅲ
601969.SH,17,601969,钢铁-钢铁-冶钢原料
300157.SZ,33,300157,机械设备-通用设备-其他通用设备
600846.SH,17,600846,建筑装饰-建筑装饰-工程咨询服务
002690.SZ,33,002690,机械设备-专用设备-其他专用设备
301116.SZ,33,301116,食品饮料-食品加工制造-肉制品
002795.SZ,33,002795,机械设备-通用设备-金属制品
000528.SZ,33,000528,机械设备-工程机械-工程机械Ⅲ
001228.SZ,33,001228,交通运输-物流-物流Ⅲ
920508.BJ,151,920508,电力设备-电网设备-电气自控设备
002995.SZ,33,002995,传媒-文化传媒-广告营销
688376.SH,17,688376,环保-环保设备-环保设备Ⅲ
920819.BJ,151,920819,基础化工-农化制品-农药
688536.SH,17,688536,电子-半导体-模拟芯片设计
000985.SZ,33,000985,石油石化-石油加工贸易-石油加工
688682.SH,17,688682,国防军工-军工电子-军工电子Ⅲ
688718.SH,17,688718,环保-环保设备-环保设备Ⅲ
002660.SZ,33,002660,电子-消费电子-消费电子零部件及组装
002066.SZ,33,002066,建筑材料-建筑材料-耐火材料
300106.SZ,33,300106,食品饮料-饮料制造-乳品
002223.SZ,33,002223,医药生物-医疗器械-医疗设备
688089.SH,17,688089,基础化工-化学制品-食品及饲料添加剂
000890.SZ,33,000890,环保-环保设备-环保设备Ⅲ
600486.SH,17,600486,基础化工-农化制品-农药
301025.SZ,33,301025,传媒-文化传媒-出版
600746.SH,17,600746,基础化工-化学原料-煤化工
002629.SZ,33,002629,建筑装饰-建筑装饰-基础建设
301167.SZ,33,301167,建筑装饰-建筑装饰-工程咨询服务
002599.SZ,33,002599,轻工制造-包装印刷-印刷
601995.SH,17,601995,非银金融-证券-证券Ⅲ
300836.SZ,33,300836,机械设备-专用设备-其他专用设备
603238.SH,17,603238,纺织服饰-纺织制造-其他纺织
920879.BJ,151,920879,机械设备-通用设备-仪器仪表
000625.SZ,33,000625,汽车-汽车整车-乘用车
002945.SZ,33,002945,非银金融-证券-证券Ⅲ
300847.SZ,33,300847,计算机-计算机设备-其他计算机设备
600257.SH,17,600257,医药生物-医疗服务-医院
301039.SZ,33,301039,汽车-汽车整车-商用载货车
002012.SZ,33,002012,轻工制造-造纸-造纸Ⅲ
601881.SH,17,601881,非银金融-证券-证券Ⅲ
000768.SZ,33,000768,国防军工-军工装备-航空装备
002073.SZ,33,002073,机械设备-专用设备-其他专用设备
603885.SH,17,603885,交通运输-机场航运-航空运输
300997.SZ,33,300997,食品饮料-饮料制造-软饮料
300841.SZ,33,300841,医药生物-生物制品-疫苗
002696.SZ,33,002696,农林牧渔-农产品加工-水产饲料
920016.BJ,151,920016,基础化工-化学制品-食品及饲料添加剂
002365.SZ,33,002365,医药生物-化学制药-原料药
301602.SZ,33,301602,医药生物-医疗器械-医疗设备
000959.SZ,33,000959,钢铁-钢铁-普钢
920896.BJ,151,920896,汽车-汽车零部件-底盘与发动机系统
603879.SH,17,603879,基础化工-塑料制品-合成树脂
002214.SZ,33,002214,国防军工-军工电子-军工电子Ⅲ
601111.SH,17,601111,交通运输-机场航运-航空运输
002205.SZ,33,002205,建筑材料-建筑材料-水泥
301552.SZ,33,301552,汽车-汽车零部件-车身附件及饰件
301578.SZ,33,301578,家用电器-黑色家电-其他黑色家电
002718.SZ,33,002718,建筑材料-建筑材料-其他建材
300820.SZ,33,300820,电力设备-其他电源设备-其他电源设备Ⅲ
688658.SH,17,688658,医药生物-化学制药-化学制剂
688618.SH,17,688618,通信-通信设备-通信网络设备及器件
603117.SH,17,603117,交通运输-物流-物流Ⅲ
300177.SZ,33,300177,国防军工-军工电子-军工电子Ⅲ
002463.SZ,33,002463,电子-元件-印制电路板
600029.SH,17,600029,交通运输-机场航运-航空运输
605507.SH,17,605507,医药生物-化学制药-原料药
300140.SZ,33,300140,环保-环境治理-固废治理
603061.SH,17,603061,电子-半导体-半导体设备
002251.SZ,33,002251,商贸零售-零售-百货零售
300909.SZ,33,300909,电子-光学光电子-面板
301266.SZ,33,301266,电力设备-光伏设备-光伏辅材
000825.SZ,33,000825,钢铁-钢铁-特钢
600081.SH,17,600081,汽车-汽车零部件-车身附件及饰件
000782.SZ,33,000782,基础化工-化学纤维-其他纤维
000012.SZ,33,000012,建筑材料-建筑材料-玻璃玻纤
301139.SZ,33,301139,通信-通信服务-通信工程及服务
000723.SZ,33,000723,煤炭-煤炭开采加工-焦炭加工
300523.SZ,33,300523,计算机-IT服务-IT服务Ⅲ
300996.SZ,33,300996,计算机-软件开发-垂直应用软件
002682.SZ,33,002682,交通运输-物流-物流Ⅲ
301301.SZ,33,301301,医药生物-化学制药-原料药
600463.SH,17,600463,房地产-房地产-产业地产
600710.SH,17,600710,商贸零售-贸易-贸易Ⅲ
603029.SH,17,603029,机械设备-专用设备-农用机械
688373.SH,17,688373,医药生物-化学制药-化学制剂
920208.BJ,151,920208,社会服务-其他社会服务-专业服务
600073.SH,17,600073,食品饮料-食品加工制造-肉制品
002676.SZ,33,002676,家用电器-白色家电-家电零部件
601619.SH,17,601619,公用事业-电力-新能源发电
600051.SH,17,600051,综合-综合-综合Ⅲ
920076.BJ,151,920076,建筑材料-建筑材料-耐火材料
600173.SH,17,600173,公用事业-电力-新能源发电
000565.SZ,33,000565,基础化工-化学制品-涂料油墨
601117.SH,17,601117,建筑装饰-建筑装饰-专业工程
002339.SZ,33,002339,电力设备-电网设备-电气自控设备
300528.SZ,33,300528,传媒-影视院线-影视院线Ⅲ
688420.SH,17,688420,机械设备-专用设备-能源及重型设备
688153.SH,17,688153,电子-半导体-模拟芯片设计
920855.BJ,151,920855,机械设备-通用设备-其他通用设备
002105.SZ,33,002105,汽车-汽车服务及其他-其他运输设备
002858.SZ,33,002858,社会服务-其他社会服务-体育
688426.SH,17,688426,医药生物-医疗器械-体外诊断
688032.SH,17,688032,电力设备-光伏设备-逆变器
920035.BJ,151,920035,机械设备-通用设备-仪器仪表
600967.SH,17,600967,国防军工-军工装备-地面兵装
603878.SH,17,603878,钢铁-钢铁-普钢
601890.SH,17,601890,国防军工-军工装备-航海装备
688051.SH,17,688051,计算机-IT服务-IT服务Ⅲ
605016.SH,17,605016,基础化工-化学制品-食品及饲料添加剂
301035.SZ,33,301035,基础化工-农化制品-农药
002282.SZ,33,002282,机械设备-通用设备-磨具磨料
688085.SH,17,688085,医药生物-医疗器械-医疗耗材
300698.SZ,33,300698,通信-通信设备-通信网络设备及器件
300937.SZ,33,300937,医药生物-医药商业-医药流通
600267.SH,17,600267,医药生物-化学制药-化学制剂
600130.SH,17,600130,电子-消费电子-消费电子零部件及组装
600406.SH,17,600406,电力设备-电网设备-电气自控设备
002533.SZ,33,002533,电力设备-电网设备-线缆部件及其他
600868.SH,17,600868,公用事业-电力-水电
002593.SZ,33,002593,汽车-汽车零部件-轮胎轮毂
300966.SZ,33,300966,医药生物-化学制药-原料药
002938.SZ,33,002938,电子-元件-印制电路板
600158.SH,17,600158,社会服务-其他社会服务-体育
603041.SH,17,603041,基础化工-化学制品-聚氨酯
301087.SZ,33,301087,医药生物-医疗器械-医疗设备
688700.SH,17,688700,机械设备-专用设备-其他专用设备
920007.BJ,151,920007,电力设备-光伏设备-光伏辅材
000719.SZ,33,000719,传媒-文化传媒-出版
301498.SZ,33,301498,农林牧渔-农产品加工-宠物食品
000737.SZ,33,000737,有色金属-工业金属-铜
300810.SZ,33,300810,国防军工-军工装备-航海装备
000045.SZ,33,000045,电子-光学光电子-面板
301408.SZ,33,301408,医药生物-医药商业-药店
603081.SH,17,603081,机械设备-专用设备-其他专用设备
000957.SZ,33,000957,汽车-汽车整车-商用载客车
000603.SZ,33,000603,有色金属-工业金属-铅锌
688128.SH,17,688128,机械设备-专用设备-其他专用设备
600779.SH,17,600779,食品饮料-白酒-白酒Ⅲ
300215.SZ,33,300215,社会服务-其他社会服务-专业服务
688710.SH,17,688710,医药生物-医疗服务-医疗研发外包
300511.SZ,33,300511,农林牧渔-种植业与林业-其他种植业
000151.SZ,33,000151,商贸零售-贸易-贸易Ⅲ
301006.SZ,33,301006,机械设备-通用设备-仪器仪表
301001.SZ,33,301001,商贸零售-互联网电商-互联网电商Ⅲ
300800.SZ,33,300800,环保-环保设备-环保设备Ⅲ
300341.SZ,33,300341,医药生物-医疗器械-医疗设备
000561.SZ,33,000561,国防军工-军工装备-航空装备
000510.SZ,33,000510,基础化工-化学原料-氯碱
600101.SH,17,600101,公用事业-电力-电能综合服务
300322.SZ,33,300322,电子-消费电子-消费电子零部件及组装
600825.SH,17,600825,传媒-文化传媒-出版
000692.SZ,33,000692,公用事业-电力-热力
002666.SZ,33,002666,基础化工-化学制品-其他化学制品
601108.SH,17,601108,非银金融-证券-证券Ⅲ
002475.SZ,33,002475,电子-消费电子-消费电子零部件及组装
300238.SZ,33,300238,医药生物-医疗器械-医疗耗材
920570.BJ,151,920570,机械设备-通用设备-其他通用设备
300701.SZ,33,300701,电子-光学光电子-光学元件
300407.SZ,33,300407,电力设备-电网设备-电气自控设备
920837.BJ,151,920837,汽车-汽车零部件-底盘与发动机系统
301608.SZ,33,301608,汽车-汽车零部件-汽车电子电气系统
301060.SZ,33,301060,医药生物-医疗服务-其他医疗服务
688478.SH,17,688478,电子-半导体-半导体设备
301089.SZ,33,301089,医药生物-化学制药-原料药
603696.SH,17,603696,食品饮料-食品加工制造-调味发酵品
301068.SZ,33,301068,环保-环境治理-固废治理
603929.SH,17,603929,建筑装饰-建筑装饰-专业工程
002968.SZ,33,002968,房地产-房地产-房地产服务
301065.SZ,33,301065,医药生物-化学制药-原料药
002786.SZ,33,002786,机械设备-专用设备-其他专用设备
002154.SZ,33,002154,纺织服饰-服装家纺-服装
605077.SH,17,605077,基础化工-化学制品-食品及饲料添加剂
920163.BJ,151,920163,轻工制造-包装印刷-包装
688186.SH,17,688186,电力设备-风电设备-风电零部件
002476.SZ,33,002476,石油石化-石油加工贸易-石油加工
300030.SZ,33,300030,医药生物-医疗器械-医疗设备
603093.SH,17,603093,非银金融-多元金融-多元金融Ⅲ
002578.SZ,33,002578,有色金属-工业金属-铝
300928.SZ,33,300928,汽车-汽车零部件-汽车电子电气系统
300960.SZ,33,300960,机械设备-轨交设备-轨交设备Ⅲ
688712.SH,17,688712,医药生物-医疗器械-医疗耗材
601615.SH,17,601615,电力设备-风电设备-风电整机
002286.SZ,33,002286,农林牧渔-农产品加工-其他农产品加工
605588.SH,17,605588,电子-光学光电子-面板
300112.SZ,33,300112,机械设备-通用设备-仪器仪表
301223.SZ,33,301223,轻工制造-包装印刷-包装
688130.SH,17,688130,电子-半导体-模拟芯片设计
000739.SZ,33,000739,医药生物-化学制药-原料药
300414.SZ,33,300414,通信-通信设备-其他通信设备
002627.SZ,33,002627,社会服务-旅游及酒店-旅游综合
600758.SH,17,600758,煤炭-煤炭开采加工-煤炭开采
300192.SZ,33,300192,社会服务-教育-教育Ⅲ
002382.SZ,33,002382,医药生物-医疗器械-医疗耗材
002913.SZ,33,002913,电子-元件-印制电路板
002961.SZ,33,002961,非银金融-多元金融-多元金融Ⅲ
920665.BJ,151,920665,基础化工-橡胶制品-其他橡胶制品
300389.SZ,33,300389,电子-光学光电子-LED
300706.SZ,33,300706,电子-半导体-半导体材料
600881.SH,17,600881,综合-综合-综合Ⅲ
601633.SH,17,601633,汽车-汽车整车-乘用车
601162.SH,17,601162,非银金融-证券-证券Ⅲ
002967.SZ,33,002967,社会服务-其他社会服务-专业服务
000786.SZ,33,000786,建筑材料-建筑材料-其他建材
301382.SZ,33,301382,通信-通信服务-通信应用增值服务
300455.SZ,33,300455,计算机-计算机设备-其他计算机设备
603229.SH,17,603229,医药生物-化学制药-原料药
300018.SZ,33,300018,电力设备-电网设备-电气自控设备
688268.SH,17,688268,电子-电子化学品-电子化学品Ⅲ
301353.SZ,33,301353,机械设备-通用设备-其他通用设备
300314.SZ,33,300314,医药生物-医疗器械-医疗设备
301491.SZ,33,301491,电子-消费电子-消费电子零部件及组装
300739.SZ,33,300739,电子-元件-印制电路板
000802.SZ,33,000802,传媒-影视院线-影视院线Ⅲ
000757.SZ,33,000757,汽车-汽车服务及其他-汽车服务
603045.SH,17,603045,电力设备-电网设备-输变电设备
600171.SH,17,600171,电子-半导体-模拟芯片设计
001336.SZ,33,001336,环保-环保设备-环保设备Ⅲ
600668.SH,17,600668,建筑材料-建筑材料-水泥
003003.SZ,33,003003,轻工制造-包装印刷-包装
000856.SZ,33,000856,机械设备-专用设备-其他专用设备
605365.SH,17,605365,电子-光学光电子-LED
603255.SH,17,603255,基础化工-化学制品-其他化学制品
603788.SH,17,603788,汽车-汽车零部件-底盘与发动机系统
603073.SH,17,603073,纺织服饰-纺织制造-其他纺织
001221.SZ,33,001221,轻工制造-家居用品-其他家居用品
600688.SH,17,600688,石油石化-石油加工贸易-石油加工
600108.SH,17,600108,农林牧渔-种植业与林业-其他种植业
688371.SH,17,688371,电子-电子化学品-电子化学品Ⅲ
603369.SH,17,603369,食品饮料-白酒-白酒Ⅲ
300677.SZ,33,300677,医药生物-医疗器械-医疗耗材
603017.SH,17,603017,建筑装饰-建筑装饰-工程咨询服务
301020.SZ,33,301020,汽车-汽车零部件-底盘与发动机系统
688090.SH,17,688090,机械设备-自动化设备-机器人
001376.SZ,33,001376,公用事业-电力-热力
605168.SH,17,605168,传媒-文化传媒-广告营销
300132.SZ,33,300132,美容护理-美容护理-化妆品
000591.SZ,33,000591,公用事业-电力-新能源发电
300087.SZ,33,300087,农林牧渔-种植业与林业-种子生产
300206.SZ,33,300206,医药生物-医疗器械-医疗设备
603518.SH,17,603518,纺织服饰-服装家纺-服装
000880.SZ,33,000880,机械设备-通用设备-其他通用设备
688636.SH,17,688636,国防军工-军工电子-军工电子Ⅲ
000905.SZ,33,000905,交通运输-港口航运-港口
688315.SH,17,688315,医药生物-医疗服务-其他医疗服务
002544.SZ,33,002544,通信-通信服务-通信工程及服务
688103.SH,17,688103,电子-其他电子-其他电子Ⅲ
688535.SH,17,688535,电子-半导体-半导体材料
300469.SZ,33,300469,计算机-软件开发-垂直应用软件
300359.SZ,33,300359,社会服务-教育-教育Ⅲ
603968.SH,17,603968,基础化工-化学制品-食品及饲料添加剂
001393.SZ,33,001393,电力设备-电网设备-输变电设备
920300.BJ,151,920300,医药生物-医疗器械-医疗设备
300822.SZ,33,300822,电子-消费电子-消费电子零部件及组装
002942.SZ,33,002942,基础化工-农化制品-农药
600689.SH,17,600689,综合-综合-综合Ⅲ
300989.SZ,33,300989,建筑装饰-建筑装饰-工程咨询服务
600610.SH,17,600610,基础化工-化学原料-其他化学原料
002469.SZ,33,002469,基础化工-化学原料-其他化学原料
001367.SZ,33,001367,医药生物-化学制药-原料药
301130.SZ,33,301130,医药生物-化学制药-化学制剂
300176.SZ,33,300176,汽车-汽车零部件-底盘与发动机系统
688288.SH,17,688288,计算机-计算机设备-其他计算机设备
601211.SH,17,601211,非银金融-证券-证券Ⅲ
605167.SH,17,605167,建筑装饰-建筑装饰-专业工程
